strategy,symbol,trend_thr,min_gap_bars,risk_per_trade,sl_atr_mult,total_return,max_drawdown,profit_factor,win_rate,avg_trade,trade_count
trend,YNDX,2.0,20,0.001,1.5,-3.3453917380743547e-06,-2.7675490309242434e-05,0.9963221901393805,0.48273952372161716,-0.00030878638896663025,846
trend,GAZP,2.0,20,0.001,1.5,-0.0004117132650145461,-0.001090807262907778,0.9725563209302868,0.4781516443361754,-0.031342361831192635,1027
trend,ROSN,2.0,20,0.001,1.5,0.00013012347698948545,-0.00023613742058936626,1.0204185656262734,0.48845273597336847,0.009024445314474888,1135
trend,SBER,2.0,20,0.001,1.5,0.0008999704739254266,-0.0004693484968707473,1.0608747052595837,0.4908393970893971,0.05847001519785005,1079
trend,LKOH,2.0,20,0.001,1.5,-2.757197881508855e-05,-3.767449090630315e-05,0.9495999408852058,0.48511515984874526,-0.0018956327820681537,1125
trend,GMKN,2.0,20,0.001,1.5,-0.000712866122227318,-0.001495134612555793,0.966555468177187,0.47897908063096606,-0.04826119573673314,1166
trend,YNDX,2.0,20,0.001,2.0,-2.508976361448312e-06,-2.075665839229579e-05,0.9963222905254981,0.48273952372161716,-0.00023158356668258188,846
trend,GAZP,2.0,20,0.001,2.0,-0.0003087820319124246,-0.0008182123694294718,0.9725580049336219,0.4781516443361754,-0.023506549323419095,1027
trend,ROSN,2.0,20,0.001,2.0,9.75939226770528e-05,-0.00017710722084751662,1.020419617877189,0.48845273597336847,0.006768425180462928,1135
trend,SBER,2.0,20,0.001,2.0,0.0006749383340554083,-0.00035202466078665395,1.0608820007906838,0.4908393970893971,0.04384994374060124,1079
trend,LKOH,2.0,20,0.001,2.0,-2.0679028754133633e-05,-2.8255989885983546e-05,0.9496000527115983,0.48511515984874526,-0.0014217276558383906,1125
trend,GMKN,2.0,20,0.001,2.0,-0.0005346650979684009,-0.0011215398702743018,0.9665558936583412,0.47897908063096606,-0.03619694658238287,1166
trend,YNDX,2.0,20,0.001,2.5,-2.0071487167871993e-06,-1.6605346230602613e-05,0.9963223507571939,0.48273952372161716,-0.00018526386532035207,846
trend,GAZP,2.0,20,0.001,2.5,-0.00024702422427846926,-0.000654621225047558,0.9725590153938712,0.4781516443361754,-0.018805132786119033,1027
trend,ROSN,2.0,20,0.001,2.5,7.807576925378257e-05,-0.00014168777130385557,1.0204202492453374,0.48845273597336847,0.005414783913844263,1135
trend,SBER,2.0,20,0.001,2.5,0.0005399316959198153,-0.0002816261068152581,1.0608863785449345,0.4908393970893971,0.035078722448009976,1079
trend,LKOH,2.0,20,0.001,2.5,-1.6543244431788118e-05,-2.2604850328233894e-05,0.9496001198073605,0.48511515984874526,-0.0011373835979280537,1125
trend,GMKN,2.0,20,0.001,2.5,-0.00042773951894448103,-0.0008973225874520097,0.9665561491297755,0.47897908063096606,-0.02895806099414172,1166
trend,YNDX,2.0,20,0.0015,1.5,-5.018357374542148e-06,-4.151307282229677e-05,0.9963219893673015,0.48273952372161716,-0.0004632044835356743,846
trend,GAZP,2.0,20,0.0015,1.5,-0.0006175815467267531,-0.0016357833119785559,0.9725529532877647,0.4781516443361754,-0.04701442956202793,1027
trend,ROSN,2.0,20,0.0015,1.5,0.00019517995485696105,-0.00035418950975019126,1.0204164612344286,0.48845273597336847,0.01353630313176458,1135
trend,SBER,2.0,20,0.0015,1.5,0.0013501137799039054,-0.0007039695909261123,1.060860116919431,0.4908393970893971,0.08771529235342461,1079
trend,LKOH,2.0,20,0.0015,1.5,-4.1357789651530474e-05,-5.65112495379827e-05,0.949599717231966,0.48511515984874526,-0.002843436895944535,1125
trend,GMKN,2.0,20,0.0015,1.5,-0.0010692371198295358,-0.002241946494437874,0.966554618357063,0.47897908063096606,-0.07238759189151166,1166
trend,YNDX,2.0,20,0.0015,2.0,-3.763616286844851e-06,-3.1134896102624765e-05,0.9963221399463413,0.48273952372161716,-0.0003473893563613937,846
trend,GAZP,2.0,20,0.0015,2.0,-0.00046317960907238387,-0.001227077989080394,0.9725554789741329,0.4781516443361754,-0.03526032346775522,1027
trend,ROSN,2.0,20,0.0015,2.0,0.00014638792532872813,-0.000265651481654694,1.020418039514564,0.48845273597336847,0.0101524325770616,1135
trend,SBER,2.0,20,0.0015,2.0,0.0010124964226572164,-0.0005280070927063951,1.0608710578343101,0.4908393970893971,0.06578069274020787,1079
trend,LKOH,2.0,20,0.0015,2.0,-3.101844268504905e-05,-4.238371099019034e-05,0.9495998849719527,0.48511515984874526,-0.002132584577860411,1125
trend,GMKN,2.0,20,0.0015,2.0,-0.0008019627541893115,-0.0016818847765183165,0.9665552555793805,0.47897908063096606,-0.054293057625706756,1166
trend,YNDX,2.0,20,0.0015,2.5,-3.0108201920509003e-06,-2.4907960795239603e-05,0.9963222302938213,0.48273952372161716,-0.0002779047620516323,846
trend,GAZP,2.0,20,0.0015,2.5,-0.0003705405388623184,-0.0009817778567372537,0.9725569945170575,0.4781516443361754,-0.028208019097319487,1027
trend,ROSN,2.0,20,0.0015,2.5,0.00011711176048057048,-0.0002125256731133618,1.02041898652224,0.48845273597336847,0.008122044557915141,1135
trend,SBER,2.0,20,0.0015,2.5,0.0008099544566630978,-0.0004224200255321664,1.0608776233631312,0.4908393970893971,0.05262178122810698,1079
trend,LKOH,2.0,20,0.0015,2.5,-2.481480236227185e-05,-3.3907100234542575e-05,0.9495999856157812,0.48511515984874526,-0.0017060709771194362,1125
trend,GMKN,2.0,20,0.0015,2.5,-0.0006415869539474484,-0.0013457118232543808,0.9665556383239625,0.47897908063096606,-0.043435580119654815,1166
trend,YNDX,2.0,20,0.002,1.5,-6.691502854594411e-06,-5.535054690641861e-05,0.996321788595431,0.48273952372161716,-0.0006176391780128188,846
trend,GAZP,2.0,20,0.002,1.5,-0.0008234575622447782,-0.002180474495602547,0.9725495861309531,0.4781516443361754,-0.06268708604177325,1027
trend,ROSN,2.0,20,0.002,1.5,0.0002602329240626311,-0.00047223051902245405,1.0204143569892243,0.48845273597336847,0.018047917613052838,1135
trend,SBER,2.0,20,0.002,1.5,0.0018003624358042813,-0.0009385552454500568,1.0608455322079409,0.4908393970893971,0.11696741396856816,1079
trend,LKOH,2.0,20,0.002,1.5,-5.514348144008974e-05,-7.534768362871258e-05,0.9495994935781175,0.48511515984874526,-0.0037912328250338436,1125
trend,GMKN,2.0,20,0.002,1.5,-0.0014255666736631145,-0.002988255149340757,0.966553770059939,0.47897908063096606,-0.09651118229389541,1166
trend,YNDX,2.0,20,0.002,2.0,-5.018357374542148e-06,-4.151307282229677e-05,0.9963219893673015,0.48273952372161716,-0.00046320448353567525,846
trend,GAZP,2.0,20,0.002,2.0,-0.0006175815467267531,-0.0016357833119785559,0.9725529532877645,0.4781516443361754,-0.047014429562027935,1027
trend,ROSN,2.0,20,0.002,2.0,0.00019517995485696105,-0.00035418950975019126,1.0204164612344286,0.48845273597336847,0.013536303131764578,1135
trend,SBER,2.0,20,0.002,2.0,0.0013501137799039054,-0.0007039695909261123,1.060860116919431,0.4908393970893971,0.08771529235342461,1079
trend,LKOH,2.0,20,0.002,2.0,-4.1357789651530474e-05,-5.65112495379827e-05,0.9495997172319659,0.48511515984874526,-0.0028434368959445347,1125
trend,GMKN,2.0,20,0.002,2.0,-0.0010692371198295358,-0.002241946494437874,0.966554618357063,0.47897908063096606,-0.07238759189151169,1166
trend,YNDX,2.0,20,0.002,2.5,-4.014556411413572e-06,-3.321053632587834e-05,0.9963221098305239,0.48273952372161716,-0.00037055163479812167,846
trend,GAZP,2.0,20,0.002,2.5,-0.0004940596480911275,-0.0013088318754818085,0.9725549738150066,0.4781516443361754,-0.03761111815553477,1027
trend,ROSN,2.0,20,0.002,2.5,0.00015614648910022844,-0.0002833595858818816,1.0204177238519379,0.48845273597336847,0.010829217636461217,1135
trend,SBER,2.0,20,0.002,2.5,0.0010800151529128943,-0.0005632011870794207,1.0608688694880268,0.4908393970893971,0.07016730463311746,1079
trend,LKOH,2.0,20,0.002,2.5,-3.308631743537127e-05,-4.520923330419979e-05,0.9495998514239828,0.48511515984874526,-0.0022747554097924225,1125
trend,GMKN,2.0,20,0.002,2.5,-0.0008554194912532287,-0.0017939197712268928,0.9665551280663841,0.47897908063096606,-0.05791209066774431,1166
trend,YNDX,2.0,25,0.001,1.5,4.651354401863372e-06,-2.7270626861142233e-05,1.004598128974299,0.48542619894933065,0.00039411577714727205,792
trend,GAZP,2.0,25,0.001,1.5,-0.0005972431387020194,-0.0010985347534758771,0.9653285888647481,0.48251698754246886,-0.042273721595559026,953
trend,ROSN,2.0,25,0.001,1.5,0.00031573844723120637,-0.00020524947424749307,1.0432378762892582,0.4901781635449977,0.020605524194421136,1033
trend,SBER,2.0,25,0.001,1.5,0.0011592508704136861,-0.0003721310352361451,1.0703763408674836,0.49266916140114103,0.07111532239823648,1009
trend,LKOH,2.0,25,0.001,1.5,-2.6380733523012623e-05,-3.206583426496046e-05,0.956045942944741,0.48662131519274376,-0.0017091502120530316,1043
trend,GMKN,2.0,25,0.001,1.5,-0.00038397849916504967,-0.0011452485394921608,0.9837151490769734,0.485952395984595,-0.02424259733348188,1066
trend,YNDX,2.0,25,0.001,2.0,3.4885995257027957e-06,-2.0453031770228947e-05,1.0045982527507855,0.48542619894933065,0.00029559392694306124,792
trend,GAZP,2.0,25,0.001,2.0,-0.0004479448014148568,-0.0008239990563291277,0.9653291023524778,0.48251698754246886,-0.031706172240571984,953
trend,ROSN,2.0,25,0.001,2.0,0.00023679864284820162,-0.00015394000358770477,1.0432392547044933,0.4901781635449977,0.0154538042712353,1033
trend,SBER,2.0,25,0.001,2.0,0.0008693524446172773,-0.00027910908596628925,1.0703827571031592,0.49266916140114103,0.053331233949899116,1009
trend,LKOH,2.0,25,0.001,2.0,-1.978558565374211e-05,-2.404946207557046e-05,0.9560460662064272,0.48662131519274376,-0.0012818649597472539,1043
trend,GMKN,2.0,25,0.001,2.0,-0.0002879604059448093,-0.0008590342939795992,0.983716767771669,0.485952395984595,-0.01818046631383804,1066
trend,YNDX,2.0,25,0.001,2.5,2.7909198081488285e-06,-1.6362454996032838e-05,1.0045983270169714,0.48542619894933065,0.00023647854670871577,792
trend,GAZP,2.0,25,0.001,2.5,-0.00035836181472925777,-0.0006592462856662706,0.9653294105356032,0.48251698754246886,-0.025365360612206192,953
trend,ROSN,2.0,25,0.001,2.5,0.00018943642179181097,-0.00012315339387547475,1.0432400817730252,0.4901781635449977,0.012362880753895926,1033
trend,SBER,2.0,25,0.001,2.5,0.0006954408170030124,-0.00022329245754937332,1.0703866071470018,0.49266916140114103,0.042662463468685935,1009
trend,LKOH,2.0,25,0.001,2.5,-1.5828485568358808e-05,-1.9239611121601996e-05,0.95604614016334,0.48662131519274376,-0.0010254930721352422,1043
trend,GMKN,2.0,25,0.001,2.5,-0.00023035705726559552,-0.000687274425479556,0.9837177390965308,0.485952395984595,-0.01454366167469979,1066
trend,YNDX,2.0,25,0.0015,1.5,6.976696704352747e-06,-4.090569379522346e-05,1.004597881423161,0.48542619894933065,0.0005911452893063642,792
trend,GAZP,2.0,25,0.0015,1.5,-0.0008958149005523497,-0.00164741024056958,0.9653275624548682,0.48251698754246886,-0.06340705694736273,953
trend,ROSN,2.0,25,0.0015,1.5,0.00047362844035858664,-0.000307862619953192,1.0432351195799743,0.4901781635449977,0.030909641738478717,1033
trend,SBER,2.0,25,0.0015,1.5,0.0017392191577834115,-0.0005581533177859699,1.0703635102862807,0.49266916140114103,0.10669401618204263,1009
trend,LKOH,2.0,25,0.0015,1.5,-3.9570958238366316e-05,-4.809840589214964e-05,0.9560456964207528,0.48662131519274376,-0.0025637161152160027,1043
trend,GMKN,2.0,25,0.0015,1.5,-0.0005760615811420955,-0.0017174813049680715,0.9837119123629355,0.485952395984595,-0.036369820136505235,1066
trend,YNDX,2.0,25,0.0015,2.0,5.232710908797955e-06,-3.0679409000589075e-05,1.0045980670862849,0.48542619894933065,0.0004433749287208412,792
trend,GAZP,2.0,25,0.0015,2.0,-0.0006718891938158889,-0.001235778111298047,0.9653283321915789,0.48251698754246886,-0.04755727589296712,953
trend,ROSN,2.0,25,0.0015,2.0,0.00035520964749258255,-0.00023090348511956016,1.0432371870967898,0.4901781635449977,0.02318146886983385,1033
trend,SBER,2.0,25,0.0015,2.0,0.0013042215121783496,-0.0004186393077759698,1.070373132985919,0.49266916140114103,0.08000868119615134,1009
trend,LKOH,2.0,25,0.0015,2.0,-2.9678298579804974e-05,-3.607399876559558e-05,0.956045881313821,0.48662131519274376,-0.001922792263025898,1043
trend,GMKN,2.0,25,0.0015,2.0,-0.0004319934090084576,-0.001288331194892911,0.9837143398140407,0.485952395984595,-0.027274033020298835,1066
trend,YNDX,2.0,25,0.0015,2.5,4.186259149552285e-06,-2.4543593754700055e-05,1.0045981784848201,0.48542619894933065,0.0003547076045942148,792
trend,GAZP,2.0,25,0.0015,2.5,-0.000537524800009126,-0.000988728312108944,0.9653287942372175,0.48251698754246886,-0.038046772367570515,953
trend,ROSN,2.0,25,0.0015,2.5,0.00028416211009085757,-0.0001847259178111571,1.0432384276505045,0.4901781635449977,0.018544809116415574,1033
trend,SBER,2.0,25,0.0015,2.5,0.001043284642974207,-0.00033492312021721204,1.0703789072861456,0.49266916140114103,0.06400126636243762,1009
trend,LKOH,2.0,25,0.0015,2.5,-2.3742677216165298e-05,-2.8859292299343586e-05,0.9560459922494401,0.48662131519274376,-0.0015382362951881256,1043
