hour,count_trades,win_rate,mean_pnl_rel,pf
6,5,0.2,-0.0031107035363284003,0.13327140513423624
7,6,0.5,0.00024214950865901656,1.154266037293697
8,2,0.5,-0.0007353578377242002,0.5937076349081456
9,5,0.8,0.00163118441553994,2.2795014236177766
10,23,0.34782608695652173,-0.0010252517493158694,0.46658469270413816
11,14,0.42857142857142855,-0.0006041588777641715,0.5356204991425385
12,11,0.45454545454545453,-0.0004451558891229818,0.6657728915477007
13,10,0.4,-0.0005565483377399,0.6274724772905484
14,12,0.25,-0.0013523680371378,0.34886633170043796
15,5,0.0,-0.0024623217414502198,0.0
16,8,0.375,-0.0006608104772525874,0.6093108010395173
17,8,0.5,-0.0007983592926944676,0.4055324666595833
18,10,0.2,-0.00145718530100608,0.09390924417065456
19,1,0.0,-0.0012546248479113,0.0
20,2,0.5,0.00026620926140114996,1.2599350285613977
21,2,0.0,-0.0020263240788899,0.0
22,4,0.5,0.00021301993689365,1.2438605561970817
