hour,count_trades,win_rate,mean_pnl_rel,pf
7,3,0.3333333333333333,-0.0003674243557329666,0.7509895440461538
8,1,0.0,-0.003058539205298,0.0
9,6,0.16666666666666666,-0.002986312154959734,0.04295729356964684
10,37,0.40540540540540543,-0.0008363526128202839,0.5348123844929796
11,17,0.29411764705882354,-0.0008952823873499235,0.43886083942205567
12,9,0.2222222222222222,-0.001101744558240089,0.35246383795633546
13,8,0.5,-0.00021046812186177504,0.8164240735971203
14,14,0.5,-0.0003961339002941286,0.7510743519657704
15,5,0.2,-0.0015207137165895598,0.20930118635668066
16,16,0.625,0.00037266605127194373,1.5006816585889096
17,14,0.5,-0.00031744663228185,0.7682503251045043
18,14,0.5,-0.00030270362730364217,0.737061981134808
19,1,0.0,-0.002420457588187,0.0
20,1,0.0,-0.000243581081081,0.0
21,2,1.0,0.001318481810401,inf
22,1,0.0,-0.0028881959971408,0.0
23,4,0.25,-0.0010863599991034999,0.3513520998008889
