symbol,entry_dt,exit_dt,direction,begin,ma_close,std_close,band_lower,band_upper,dist_from_ma,band_pos,atr_14,atr_14_pct,bar_range,bar_range_pct,bar_body,bar_body_pct,pnl_rel,pnl_abs,bars_in_trade,max_adverse_excursion,profile
OZON,2022-01-04 18:00:00+00:00,2022-01-04 19:00:00+00:00,1,2022-01-04 18:00:00+00:00,2260.98,20.525981544553797,2230.1910276831695,2291.7689723168305,-0.019230599120735263,-0.20609696797564261,14.928571428571429,0.006732162989209213,31.5,0.014205186020293123,21.0,0.00947012401352875,-0.002371489473684211,-2371.4894736842107,3,-20.0,range_v0_conservative
OZON,2022-01-04 19:00:00+00:00,2022-01-05 17:30:00+00:00,1,2022-01-04 19:00:00+00:00,2256.51,23.047752114925263,2221.938371827612,2291.0816281723883,-0.03191211206686441,-0.5414609291892385,17.428571428571427,0.007978288591701271,32.0,0.014648661020828565,5.5,0.0025177386129549098,-0.002057890983606558,-2053.0107168009454,32,0.0,range_v0_conservative
OZON,2022-01-05 17:30:00+00:00,2022-01-05 18:30:00+00:00,1,2022-01-05 17:30:00+00:00,2222.2,32.67418003280902,2173.188729950786,2271.2112700492135,-0.032040320403203953,-0.22636354789934882,13.821428571428571,0.006425582785415421,43.0,0.0199907019990702,38.5,0.01789865178986518,-0.003025928165374677,-3012.539945630582,3,-19.0,range_v0_conservative
OZON,2022-01-05 18:30:00+00:00,2022-01-05 22:00:00+00:00,1,2022-01-05 18:30:00+00:00,2216.98,37.670288189035816,2160.4745677164465,2273.4854322835536,-0.04757823706122744,-0.4333615878795869,15.678571428571429,0.007425323906498427,20.5,0.009708737864077669,20.5,0.009708737864077669,-0.003907100227790433,-3878.0429665805286,8,-29.0,range_v0_conservative
OZON,2022-01-05 22:00:00+00:00,2022-01-06 07:00:00+00:00,1,2022-01-05 22:00:00+00:00,2192.15,52.30846987255879,2113.687295191162,2270.6127048088383,-0.06370458225942571,-0.3899132418404061,23.25,0.011327649208282583,42.0,0.02046285018270402,31.5,0.015347137637028014,-0.0004193333333333334,-414.5885418189361,6,-23.0,range_v0_conservative
OZON,2022-01-06 07:30:00+00:00,2022-01-06 17:30:00+00:00,1,2022-01-06 07:30:00+00:00,2164.3,63.024938374767466,2069.762592437849,2258.8374075621514,-0.04772905789400738,-0.046344577579453074,25.928571428571427,0.012580578082761489,23.0,0.011159631246967491,16.0,0.0077632217370208634,-0.0016477016528925622,-1628.3746535360076,21,-23.5,range_v0_conservative
OZON,2022-01-06 17:30:00+00:00,2022-01-06 19:30:00+00:00,1,2022-01-06 17:30:00+00:00,2108.16,66.9784034641985,2007.6923948037022,2208.6276051962977,-0.041581284153005396,0.06373997454838189,20.964285714285715,0.010375790999399018,48.5,0.024003959415986143,15.5,0.0076713684731502104,0.0031816752981260648,3139.174332188331,5,0.0,range_v0_conservative
OZON,2022-01-06 19:30:00+00:00,2022-01-10 06:30:00+00:00,1,2022-01-06 19:30:00+00:00,2095.7,60.89552780067878,2004.3567082989816,2187.043291701018,-0.0029584387078302327,0.4660620945197954,22.892857142857142,0.010956141250470036,24.0,0.01148600143575018,12.0,0.00574300071787509,-0.0007985394695787831,-790.3792969794695,10,-30.0,range_v0_conservative
OZON,2022-01-10 17:00:00+00:00,2022-01-10 18:00:00+00:00,1,2022-01-10 17:00:00+00:00,2068.31,18.942418116031646,2039.8963728259525,2096.7236271740476,-0.01562144939588357,-0.06856521348163909,17.071428571428573,0.008384788099915802,24.5,0.012033398821218075,17.0,0.008349705304518664,-0.0020036050209205018,-1981.5468298136957,3,-8.0,range_v0_conservative
OZON,2022-01-10 18:00:00+00:00,2022-01-11 16:00:00+00:00,1,2022-01-10 18:00:00+00:00,2065.18,20.94739767581415,2033.7589034862785,2096.601096513721,-0.02962453636002665,-0.4735497291331496,21.25,0.01060379241516966,31.5,0.015718562874251496,21.5,0.010728542914171657,0.0013299788235294119,1312.701337165433,32,-34.5,range_v0_conservative
OZON,2022-01-13 14:30:00+00:00,2022-01-13 15:30:00+00:00,1,2022-01-13 14:30:00+00:00,2073.4,11.513966674103935,2056.129049988844,2090.670950011156,-0.011768110350149557,-0.20638847267345534,12.035714285714286,0.005873945478630692,31.5,0.015373352855051245,18.0,0.008784773060029283,-0.0021791394658753705,-2153.6912643491696,3,-4.5,range_v0_conservative
OZON,2022-01-13 15:30:00+00:00,2022-01-13 18:00:00+00:00,1,2022-01-13 15:30:00+00:00,2072.42,13.720370673911242,2051.839443989133,2093.000556010867,-0.022881462251860177,-0.6520582819764751,14.857142857142858,0.007336860670194004,29.0,0.014320987654320988,18.0,0.008888888888888889,-0.0023686384615384617,-2335.8759564428224,6,-23.0,range_v0_conservative
OZON,2022-01-13 18:00:00+00:00,2022-01-13 18:30:00+00:00,1,2022-01-13 18:00:00+00:00,2068.23,21.235850030822423,2036.3762249537663,2100.0837750462338,-0.036857602877823074,-0.6965614733160664,20.5,0.010291164658634538,32.5,0.01631526104417671,10.0,0.0050200803212851405,-0.0019097804878048781,-1878.9037986095877,2,0.0,range_v0_conservative
OZON,2022-01-13 18:30:00+00:00,2022-01-13 22:00:00+00:00,1,2022-01-13 18:30:00+00:00,2066.09,26.59229019772763,2026.2015647034086,2105.9784352965917,-0.05376822887676729,-0.8925088709796146,22.571428571428573,0.011545487760321521,38.0,0.019437340153452685,37.5,0.01918158567774936,-0.0019982430379746835,-1962.1816095591669,8,-41.0,range_v0_conservative
OZON,2022-01-13 22:00:00+00:00,2022-01-14 06:30:00+00:00,1,2022-01-13 22:00:00+00:00,2045.81,57.1449008563196,1960.0926487155205,2131.527351284479,-0.06540685596414132,-0.2805304176741895,25.821428571428573,0.013504931261207413,11.0,0.005753138075313808,5.0,0.002615062761506276,-0.0015127939142461962,-1482.5247999457208,5,-35.0,range_v0_conservative
OZON,2022-01-14 06:30:00+00:00,2022-01-14 12:00:00+00:00,1,2022-01-14 06:30:00+00:00,2031.25,70.78562418908119,1925.0715637163783,2137.428436283622,-0.07692307692307693,-0.23578970207579636,24.107142857142858,0.012857142857142857,0.0,0.0,0.0,0.0,-0.0018465792592592593,-1806.8939180952975,12,-9.5,range_v0_conservative
OZON,2022-01-14 12:00:00+00:00,2022-01-14 13:00:00+00:00,1,2022-01-14 12:00:00+00:00,1985.29,86.89943108243153,1854.9408533763526,2115.6391466236473,-0.0769610485118043,-0.08607978631860674,22.964285714285715,0.012531670239719354,42.5,0.023192360163710776,38.0,0.020736698499317873,-0.001871194712286159,-1827.599303326821,3,0.0,range_v0_conservative
OZON,2022-01-14 13:00:00+00:00,2022-01-14 20:30:00+00:00,1,2022-01-14 13:00:00+00:00,1974.72,91.33640220278153,1837.7153966958276,2111.7246033041724,-0.0927827742667315,-0.16866366377931827,26.714285714285715,0.014911686136916392,64.5,0.036003349148758024,42.0,0.023444041306168017,-0.0016442307486631016,-1602.9181893106963,16,-45.5,range_v0_conservative
OZON,2022-01-18 13:00:00+00:00,2022-01-18 17:30:00+00:00,1,2022-01-18 13:00:00+00:00,1788.95,26.719680509552823,1748.8704792356707,1829.0295207643294,-0.023170015931132812,-0.017097001280644338,27.285714285714285,0.015614142652769262,11.0,0.006294706723891273,2.5,0.001430615164520744,-0.003969296858638744,-3863.2027708704522,10,-32.0,range_v0_conservative
OZON,2022-01-18 17:30:00+00:00,2022-01-19 07:30:00+00:00,1,2022-01-18 17:30:00+00:00,1781.33,38.97835741717133,1722.8624638742428,1839.797536125757,-0.07877821627660228,-0.700067672581293,35.07142857142857,0.021371985722991205,98.0,0.05971968312004875,81.5,0.049664838513101765,-0.00123346700610998,-1195.7329211559188,16,0.0,range_v0_conservative
OZON,2022-01-19 07:30:00+00:00,2022-01-19 10:00:00+00:00,1,2022-01-19 07:30:00+00:00,1746.13,70.28170792880469,1640.707438106793,1851.5525618932072,-0.08397427453855102,-0.1954393697458049,24.678571428571427,0.015428928683070602,92.0,0.05751797436698968,45.5,0.028446389496717725,0.004401348769898697,4261.440362048466,6,-9.5,range_v0_conservative
OZON,2022-01-19 10:00:00+00:00,2022-01-19 16:00:00+00:00,1,2022-01-19 10:00:00+00:00,1727.86,74.73361126737626,1615.7595830989355,1839.9604169010643,-0.010336485594897677,0.42033927930989556,33.392857142857146,0.019527986633249794,88.0,0.05146198830409357,65.0,0.038011695906432746,-0.00040033561497326197,-389.31590440474366,13,-39.5,range_v0_conservative
OZON,2022-01-19 18:00:00+00:00,2022-01-19 19:00:00+00:00,1,2022-01-19 18:00:00+00:00,1684.05,44.432159937784434,1617.4017600933232,1750.6982399066767,-0.04189305543184582,-0.029271291325821985,26.107142857142858,0.016180441807959627,32.0,0.019832661915091417,6.0,0.0037186241090796405,-0.0017706227086183312,-1721.1948960096333,3,-19.0,range_v0_conservative
OZON,2022-01-19 19:00:00+00:00,2022-01-20 11:30:00+00:00,1,2022-01-19 19:00:00+00:00,1676.68,45.58304375042543,1608.305434374362,1745.0545656256381,-0.06422215330295587,-0.2874273058608202,27.392857142857142,0.017458799963580077,42.5,0.02708731676226896,27.0,0.017208413001912046,-0.0017221953063885267,-1671.1551350019488,21,-26.0,range_v0_conservative
OZON,2022-01-20 11:30:00+00:00,2022-01-21 06:30:00+00:00,1,2022-01-20 11:30:00+00:00,1629.65,50.85154965232744,1553.3726755215089,1705.9273244784913,-0.06513668579142766,-0.19581622537070253,27.035714285714285,0.01774579211402316,24.5,0.01608139153265507,20.0,0.013127666557269446,-0.0012997252311756932,-1259.0336326772854,26,-23.5,range_v0_conservative
OZON,2022-01-21 07:00:00+00:00,2022-01-21 22:00:00+00:00,1,2022-01-21 07:00:00+00:00,1558.27,37.89906169753406,1501.421407453699,1615.118592546301,-0.0665930807883101,-0.4126875033492103,23.107142857142858,0.01588665717232235,52.5,0.036094877964936406,43.0,0.029563423856995532,-0.001603872024729521,-1551.6389161737657,31,-32.5,range_v0_conservative
OZON,2022-01-21 22:00:00+00:00,2022-01-24 10:30:00+00:00,1,2022-01-21 22:00:00+00:00,1498.51,41.21428447638723,1436.6885732854191,1560.3314267145809,-0.053059372309827754,-0.14306183329514777,22.178571428571427,0.01562971911809121,13.0,0.009161381254404511,5.0,0.0035236081747709656,-0.0015116257648953304,-1460.0513318960375,13,-22.5,range_v0_conservative
OZON,2022-01-24 10:30:00+00:00,2022-01-24 12:00:00+00:00,1,2022-01-24 10:30:00+00:00,1464.06,45.84920269489696,1395.2861959576544,1532.8338040423455,-0.05263445487206805,-0.060242384967918935,17.178571428571427,0.012385415593778967,30.0,0.021629416005767843,7.0,0.005046863734679163,-0.0025891792099792107,-2497.059914295137,4,-21.0,range_v0_conservative
OZON,2022-01-24 12:00:00+00:00,2022-01-24 13:00:00+00:00,1,2022-01-24 12:00:00+00:00,1453.65,48.18927922946891,1381.3660811557968,1525.9339188442034,-0.07543081209369525,-0.2584674555092506,25.107142857142858,0.018680909863945577,81.0,0.060267857142857144,35.5,0.026413690476190476,-0.0017298742532005692,-1664.0082000551308,3,-12.0,range_v0_conservative
OZON,2022-01-24 13:30:00+00:00,2022-01-24 16:00:00+00:00,1,2022-01-24 13:30:00+00:00,1440.96,59.95388023393254,1351.0291796491013,1530.8908203508988,-0.1318287808127915,-0.5561451527896661,33.32142857142857,0.026635834189791024,56.5,0.0451638689048761,51.0,0.0407673860911271,0.0016074760986066455,1543.5955789789741,6,0.0,range_v0_conservative
OZON,2022-01-24 19:00:00+00:00,2022-01-24 23:30:00+00:00,1,2022-01-24 19:00:00+00:00,1396.12,81.53661754084945,1273.8150736887258,1518.424926311274,-0.1089591152622983,-0.1218882778803383,36.607142857142854,0.029426963711529624,32.5,0.02612540192926045,16.0,0.012861736334405145,0.0024457385365853662,2352.3210015985997,10,-7.5,range_v0_conservative
OZON,2022-01-24 23:30:00+00:00,2022-01-25 09:00:00+00:00,1,2022-01-24 23:30:00+00:00,1355.46,73.39214215851081,1245.3717867622338,1465.5482132377663,-0.015094506661945048,0.4070745205219611,29.785714285714285,0.02231139646869984,29.5,0.022097378277153558,28.0,0.020973782771535582,0.00025252374100719424,243.4723501666773,7,-17.5,range_v0_conservative
OZON,2022-01-28 18:00:00+00:00,2022-01-31 08:30:00+00:00,1,2022-01-28 18:00:00+00:00,1438.67,30.39814206195812,1393.072786907063,1484.2672130929373,-0.04738404220564832,-0.24752375612358776,21.357142857142858,0.015583467973106791,43.0,0.03137541043414812,34.5,0.025173294418095585,0.0028760003344481607,2773.614003757776,17,-5.5,range_v0_conservative
