day_of_week,n_trades,pf,win_rate,mean_pnl_rel,pnl_std,pnl_sum,mae_mean,mae_p95,bars_in_trade_mean
0,633,0.5357213908769697,0.3696682464454976,-0.0006801974361906481,0.0024487873339129754,-0.43056497710868025,-5.881216429699843,0.0,9.93996840442338
1,673,0.5600832447512414,0.4011887072808321,-0.0007092325384590814,0.0028179368457382508,-0.4773134983829618,-4.7435958395245175,0.0,10.719167904903417
2,599,0.7286101911513903,0.4340567612687813,-0.00036762880793924036,0.0027282403033434778,-0.22020965595560496,-3.9375959933222044,0.0,10.931552587646078
3,685,0.7464173509360886,0.4291970802919708,-0.0003403648835001235,0.002714696454406926,-0.23314994519758458,-4.8033284671532845,0.0,11.337226277372263
4,717,0.6314060303461314,0.4086471408647141,-0.0005427677822033996,0.002728611940499147,-0.38916449983983753,-5.565048814504882,0.0,10.736401673640167
