hour,count_trades,win_rate,mean_pnl_rel,pf
6,3,1.0,0.001762400439986,inf
7,6,0.5,0.0002471196954389999,1.1845280612858864
8,1,1.0,0.0031678371347785,inf
9,14,0.5714285714285714,0.0007104423172262428,1.6823240154542929
10,48,0.4166666666666667,-0.00028554852743497915,0.7886754853008366
11,22,0.4090909090909091,-0.0002895198595698227,0.7810855556956673
12,16,0.25,-0.0013346973085823313,0.2803768143138501
13,18,0.4444444444444444,-0.00037875749196933335,0.7175324206251252
14,14,0.2857142857142857,-0.0012681701077013785,0.27218572707959765
15,21,0.3333333333333333,-0.0004635866110979193,0.6618231297056626
16,18,0.2222222222222222,-0.000987222176733939,0.28851802219049977
17,22,0.36363636363636365,-0.001628413004794868,0.28299280500373253
18,14,0.5,0.0011732141523822712,2.4778223230812286
19,6,0.3333333333333333,-0.0009824912954524334,0.479089076387054
20,3,0.6666666666666666,0.0012029957712368332,4.5924383906674535
21,6,0.5,-5.645072624826695e-05,0.9537012110205427
22,4,0.25,-0.0012924111282288497,0.30894805852777435
23,3,0.6666666666666666,3.72288392222667e-05,1.061955222256314
