symbol,trade_id,entry_dt,exit_dt,entry_price,exit_price,direction,qty,pnl_abs,pnl_rel,bars_in_trade,max_favorable_excursion,max_adverse_excursion,exit_reason,profile
SBER,1,2022-01-05 10:00:00+00:00,2022-01-05 14:00:00+00:00,302.77,299.63,1,995.7325746799512,-3454.7867709815223,-0.003454786770981522,9,0.7800000000000296,-1.5299999999999727,stop_atr,range_v2_aggressive
SBER,2,2022-01-05 14:00:00+00:00,2022-01-05 14:30:00+00:00,299.63,298.32,1,735.457721940234,-1204.79153811184,-0.001208968265682657,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,3,2022-01-05 15:00:00+00:00,2022-01-05 18:00:00+00:00,299.49,297.72,1,712.4113447685403,-1494.2770963612422,-0.001501272392638019,7,0.45999999999997954,-0.7200000000000273,stop_atr,range_v2_aggressive
SBER,4,2022-01-05 18:30:00+00:00,2022-01-05 19:00:00+00:00,297.83,296.67,1,856.7639177539148,-1273.4399112225733,-0.0012813249999999673,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,5,2022-01-10 18:00:00+00:00,2022-01-10 19:00:00+00:00,289.25,290.62,1,743.1025596559641,780.4939942527362,0.000786334331550806,3,0.0,-0.30000000000001137,signal_change,range_v2_aggressive
SBER,6,2022-01-11 17:30:00+00:00,2022-01-11 19:00:00+00:00,289.42,290.94,1,965.7600542698667,1158.8792292819774,0.0011666336111110954,4,0.7099999999999795,0.0,signal_change,range_v2_aggressive
SBER,7,2022-01-12 13:00:00+00:00,2022-01-12 13:30:00+00:00,289.09,288.38,1,649.098792107037,-666.765963030593,-0.0006704453146852982,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,8,2022-01-12 14:00:00+00:00,2022-01-12 14:30:00+00:00,289.8,288.06,1,626.7492958204301,-1289.1393170969905,-0.0012971227027027056,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,9,2022-01-12 15:00:00+00:00,2022-01-12 17:30:00+00:00,288.6,291.09,1,600.5093524967255,1302.9857935567186,0.0013127577355228758,6,1.67999999999995,0.0,signal_change,range_v2_aggressive
SBER,10,2022-01-13 11:30:00+00:00,2022-01-13 14:00:00+00:00,288.07,285.61,1,1019.342726584911,-2827.8310311527684,-0.0028453035897435734,6,0.9700000000000273,-0.14999999999997726,stop_atr,range_v2_aggressive
SBER,11,2022-01-14 10:00:00+00:00,2022-01-14 10:30:00+00:00,274.0,269.58,1,443.982034670332,-2094.0581378399456,-0.0021130090240000076,2,0.0,0.0,stop_atr,range_v2_aggressive
SBER,12,2022-01-14 10:30:00+00:00,2022-01-14 11:00:00+00:00,269.58,272.96,1,382.88500468800135,1179.187795877842,0.0011923787610619461,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,13,2022-01-17 10:00:00+00:00,2022-01-17 10:30:00+00:00,259.5,255.44,1,401.5536036691892,-1743.1377686702926,-0.0017605381228273484,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,14,2022-01-24 10:00:00+00:00,2022-01-24 10:30:00+00:00,243.63,240.8,1,573.9206333429717,-1776.215489720487,-0.0017971099128992062,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,15,2022-02-01 18:00:00+00:00,2022-02-01 19:00:00+00:00,262.71,263.52,1,572.4143992143764,297.7287566345765,0.00030177339411520995,3,0.0,-0.1099999999999568,signal_change,range_v2_aggressive
SBER,16,2022-02-02 10:30:00+00:00,2022-02-02 11:00:00+00:00,260.83,258.6,1,599.6756794980804,-1507.8605090707201,-0.0015278836805555271,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,17,2022-02-02 11:30:00+00:00,2022-02-02 12:30:00+00:00,259.0,255.94,1,463.7115162523976,-1549.5077977489402,-0.0015724865882352954,3,0.0,-1.0600000000000023,signal_change,range_v2_aggressive
SBER,18,2022-02-02 13:00:00+00:00,2022-02-02 15:30:00+00:00,258.77,262.08,1,399.1227035450698,1206.033862774581,0.0012258466531440187,6,3.8600000000000136,0.0,signal_change,range_v2_aggressive
SBER,19,2022-02-02 18:00:00+00:00,2022-02-02 19:00:00+00:00,259.03,257.64,1,396.7378876127491,-663.9027680827194,-0.0006739831990793947,3,0.0,-0.38999999999998636,signal_change,range_v2_aggressive
SBER,20,2022-02-03 11:00:00+00:00,2022-02-03 12:30:00+00:00,253.72,250.92,1,503.15130831201145,-1547.6994621834526,-0.0015722587805768544,4,0.0,-0.46999999999999886,signal_change,range_v2_aggressive
SBER,21,2022-02-03 13:00:00+00:00,2022-02-03 16:30:00+00:00,251.21,251.47,1,407.6932308798652,-6.774638417534447,-6.892977777781564e-06,8,3.0,0.0,signal_change,range_v2_aggressive
SBER,22,2022-02-03 17:00:00+00:00,2022-02-03 19:00:00+00:00,251.17,253.1,1,460.18567549356624,760.0380597884222,0.0007733197324414755,5,1.5400000000000205,-0.21999999999999886,signal_change,range_v2_aggressive
SBER,23,2022-02-11 10:30:00+00:00,2022-02-11 11:00:00+00:00,271.79,270.79,1,606.8837474700173,-787.6556024451638,-0.0008008006170119017,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,24,2022-02-11 13:30:00+00:00,2022-02-11 14:00:00+00:00,268.24,266.96,1,380.5078830658306,-598.7885132338539,-0.0006092694690265606,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,25,2022-02-11 17:00:00+00:00,2022-02-11 17:30:00+00:00,268.02,265.97,1,376.630567309646,-882.2823381708383,-0.0008982727471925343,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,26,2022-02-11 18:00:00+00:00,2022-02-11 19:00:00+00:00,266.19,266.8,1,378.7821907841408,119.8921390270014,0.0001221748001102895,3,0.410000000000025,0.0,signal_change,range_v2_aggressive
SBER,27,2022-02-17 10:00:00+00:00,2022-02-17 11:00:00+00:00,268.27,266.02,1,464.5067122950344,-1181.0649858290249,-0.0012034045977011478,3,0.0,-0.03999999999996362,signal_change,range_v2_aggressive
SBER,28,2022-02-17 15:00:00+00:00,2022-02-17 17:00:00+00:00,266.56,260.81,1,378.4769343597758,-2284.823998744121,-0.002330845945945936,5,0.0,-3.569999999999993,stop_atr,range_v2_aggressive
SBER,29,2022-02-17 18:00:00+00:00,2022-02-17 19:00:00+00:00,260.09,263.23,1,428.3975627003472,1221.124547406535,0.0012486313516896295,3,0.9600000000000364,0.0,signal_change,range_v2_aggressive
SBER,30,2022-02-18 10:00:00+00:00,2022-02-18 14:30:00+00:00,261.95,259.0,1,515.55779795287,-1667.7779205977333,-0.001703219255359153,10,0.0,-3.349999999999966,signal_change,range_v2_aggressive
SBER,31,2022-04-12 18:30:00+00:00,2022-04-13 09:30:00+00:00,135.38,136.78,1,780.6807162965487,975.4933436026264,0.0009979228750713154,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,32,2022-04-13 10:00:00+00:00,2022-04-13 10:30:00+00:00,135.16,135.65,1,725.5820902271682,247.2674926180721,0.0002527007415254317,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,33,2022-04-13 17:00:00+00:00,2022-04-13 18:30:00+00:00,134.87,135.5,1,743.0830590230762,357.3857972371451,0.00036514642082429154,4,0.5300000000000011,0.0,signal_change,range_v2_aggressive
SBER,34,2022-04-14 15:00:00+00:00,2022-04-14 16:30:00+00:00,131.24,130.42,1,961.252104456301,-926.1298750636975,-0.0009458953716690259,4,0.0,-0.2300000000000182,signal_change,range_v2_aggressive
SBER,35,2022-04-14 17:00:00+00:00,2022-04-14 18:00:00+00:00,130.91,129.8,1,930.9645949215444,-1166.2938252257986,-0.0011923127124404994,3,0.09000000000000341,0.0,signal_change,range_v2_aggressive
SBER,36,2022-04-15 18:00:00+00:00,2022-04-18 09:30:00+00:00,130.42,131.41,1,776.7269209394003,656.6829985813021,0.0006721343554798504,3,0.46000000000000796,0.0,signal_change,range_v2_aggressive
SBER,37,2022-04-18 17:00:00+00:00,2022-04-19 09:30:00+00:00,125.16,123.85,1,841.2633460186191,-1216.6644952292397,-0.0012444554394591295,5,0.0,-1.3100000000000023,signal_change,range_v2_aggressive
SBER,38,2022-04-22 18:00:00+00:00,2022-04-25 09:30:00+00:00,116.91,116.0,1,891.7365516496893,-925.2658459917145,-0.000947579908675797,3,0.060000000000002274,0.0,signal_change,range_v2_aggressive
SBER,39,2022-04-25 18:00:00+00:00,2022-04-26 09:30:00+00:00,112.3,112.58,1,930.3383933886788,145.28350418836393,0.00014892833787466013,3,0.0,-0.3999999999999915,signal_change,range_v2_aggressive
SBER,40,2022-04-26 10:00:00+00:00,2022-04-26 13:30:00+00:00,114.9,116.73,1,936.2166952710398,1593.063520023114,0.0016327867032213824,8,0.5499999999999972,-0.4100000000000108,signal_change,range_v2_aggressive
SBER,41,2022-05-05 10:00:00+00:00,2022-05-06 09:30:00+00:00,124.98,124.74,1,803.3884012498415,-303.049352389065,-0.00031009958896066516,19,0.0,-1.5700000000000074,signal_change,range_v2_aggressive
SBER,42,2022-05-06 10:00:00+00:00,2022-05-06 15:30:00+00:00,121.95,123.37,1,1191.4165315637063,1530.1279115715488,0.0015662109756097574,12,1.0499999999999972,0.0,signal_change,range_v2_aggressive
SBER,43,2022-05-12 10:00:00+00:00,2022-05-12 15:30:00+00:00,122.1,120.86,1,1376.7722184033498,-1890.2339101679986,-0.0019317833165829043,12,0.8500000000000085,-0.030000000000001137,stop_atr,range_v2_aggressive
SBER,44,2022-05-12 18:00:00+00:00,2022-05-12 18:30:00+00:00,119.86,119.15,1,1001.6425127011709,-842.446459945004,-0.0008626307692307616,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,45,2022-05-13 10:30:00+00:00,2022-05-13 11:30:00+00:00,119.4,119.37,1,829.9286784891708,-133.87330534105362,-0.0001371991494532207,3,0.09999999999999432,0.0,signal_change,range_v2_aggressive
SBER,46,2022-05-13 14:00:00+00:00,2022-05-16 09:30:00+00:00,119.97,120.9,1,846.2671512798637,674.4833822415699,0.0006913345724907123,11,1.0300000000000011,0.0,signal_change,range_v2_aggressive
SBER,47,2022-05-16 10:00:00+00:00,2022-05-16 10:30:00+00:00,120.64,121.47,1,1108.531596837664,771.9625590006011,0.0007907025141930243,2,0.0,0.0,signal_change,range_v2_aggressive
SBER,48,2022-05-20 14:30:00+00:00,2022-05-20 17:30:00+00:00,122.93,121.5,1,1158.2558903331358,-1811.1068229194157,-0.0018536071126164276,7,0.0,-1.1100000000000136,stop_atr,range_v2_aggressive
SBER,49,2022-05-20 17:30:00+00:00,2022-05-23 09:30:00+00:00,121.5,121.5,1,1035.9367655017825,-138.45294870931323,-0.00014196509863429417,4,0.7000000000000028,0.0,signal_change,range_v2_aggressive
SBER,50,2022-05-23 10:00:00+00:00,2022-05-23 17:00:00+00:00,120.88,119.32,1,1006.7631436601429,-1702.6901802415064,-0.0017461303834808227,15,1.3900000000000006,-0.9599999999999937,stop_atr,range_v2_aggressive
SBER,51,2022-05-23 17:00:00+00:00,2022-05-24 09:30:00+00:00,119.32,119.45,1,1087.6193587795826,-1.5172290054870246,-1.5586592178663116e-06,5,0.15000000000000568,-0.269999999999996,signal_change,range_v2_aggressive
SBER,52,2022-05-24 10:00:00+00:00,2022-05-24 15:00:00+00:00,118.5,121.3,1,1321.8088578372576,3524.6958460430924,0.0036209485935984444,11,2.4000000000000057,-0.9399999999999977,signal_change,range_v2_aggressive
SBER,53,2022-05-27 12:30:00+00:00,2022-05-30 09:30:00+00:00,121.09,121.6,1,1284.2436681827978,483.1838377170841,0.0004945877934272204,14,0.6099999999999994,0.0,signal_change,range_v2_aggressive
SBER,54,2022-05-30 10:00:00+00:00,2022-05-30 16:00:00+00:00,121.9,120.85,1,1734.342159679945,-2051.6140426610154,-0.002098997465145774,13,0.37999999999999545,-0.710000000000008,stop_atr,range_v2_aggressive
