symbol,entry_dt,exit_dt,direction,begin,ma_close,std_close,band_lower,band_upper,dist_from_ma,band_pos,atr_14,atr_14_pct,bar_range,bar_range_pct,bar_body,bar_body_pct,pnl_rel,pnl_abs,bars_in_trade,max_adverse_excursion
SBER,2022-01-05 07:30:00+00:00,2022-01-05 08:00:00+00:00,1,2022-01-05 07:30:00+00:00,304.81899999999996,1.703582359953115,302.26362646007027,307.37437353992965,-0.007968663370721557,0.024727018957313232,0.8042857142857055,0.002659762936227076,0.7799999999999727,0.0025794503786499977,0.14999999999997726,0.0004960481497403263,-0.0021399111900532925,-2139.9111900532926,2,0.0
SBER,2022-01-05 08:30:00+00:00,2022-01-05 10:00:00+00:00,1,2022-01-05 08:30:00+00:00,304.7642,1.7900918799815975,302.0790621800276,307.4493378199724,-0.009201211953372597,-0.022170590116835105,0.9049999999999889,0.002997085706716085,1.25,0.004139621141873096,1.089999999999975,0.003609749635713257,0.0005270198895027712,525.8921137438435,4,0.0
SBER,2022-01-05 10:30:00+00:00,2022-01-05 11:00:00+00:00,1,2022-01-05 10:30:00+00:00,304.7396,1.8185438893663128,302.01178416595053,307.46741583404946,-0.003903660699167369,0.2819500889409361,1.1149999999999929,0.003673200461209003,1.8899999999999864,0.0062263218580134614,0.8299999999999841,0.0027343106572228102,-0.0018672466367713127,-1864.232865079389,2,0.0
SBER,2022-01-05 11:30:00+00:00,2022-01-05 14:00:00+00:00,1,2022-01-05 11:30:00+00:00,304.67800000000005,1.8867237557768648,301.84791436633475,307.50808563366536,-0.008559856635530168,0.039236557195199896,1.2749999999999975,0.004220875955904252,0.9800000000000182,0.0032442811268911785,0.2699999999999818,0.0008938325553679009,-0.0021722298039215716,-2164.6742413889383,6,-0.8299999999999841
SBER,2022-01-05 16:00:00+00:00,2022-01-05 16:30:00+00:00,1,2022-01-05 16:00:00+00:00,303.5984,2.1837697792990234,300.32274533105146,306.8740546689486,-0.012017191131442187,-0.056896310619202424,1.365000000000005,0.004550758459743308,1.0400000000000205,0.003467244540756861,0.15999999999996817,0.0005334222370394005,-0.0004978461538461272,-495.03684474959357,2,0.0
SBER,2022-01-10 19:30:00+00:00,2022-01-10 23:30:00+00:00,1,2022-01-10 19:30:00+00:00,293.0702,2.324010862666637,289.58418370600003,296.55621629399997,-0.004470601241613814,0.3120777573164118,1.4014285714285677,0.004803360883700877,1.8100000000000023,0.006203729092404724,1.25,0.004284343295859611,-0.0002789004077471927,-277.18852735607805,9,-0.5099999999999909
SBER,2022-01-11 17:30:00+00:00,2022-01-11 19:30:00+00:00,1,2022-01-11 17:30:00+00:00,291.7436,1.409364830157636,289.62955275476355,293.8576472452365,-0.007964527756564322,-0.049561984774871115,1.028571428571427,0.0035539058412391226,2.1000000000000227,0.007255891092529966,1.0299999999999727,0.0035588418215740884,0.0019144212499999675,1902.139947541328,5,0.0
SBER,2022-01-12 15:30:00+00:00,2022-01-12 17:30:00+00:00,1,2022-01-12 15:30:00+00:00,290.7616,1.190135234981941,288.97639714752705,292.5468028524729,-0.0060929641328152625,0.003809889854845785,1.7042857142857153,0.0058973864641880865,1.2700000000000387,0.004394615730648253,0.38999999999998636,0.0013495276653170917,0.0010443090528080266,1039.5960739310513,5,0.0
SBER,2022-01-13 11:30:00+00:00,2022-01-13 14:00:00+00:00,1,2022-01-13 11:30:00+00:00,289.9866,1.2230767659897017,288.15198485101547,291.82121514898455,-0.00660927091113871,-0.02234388260144251,0.9749999999999984,0.0033845940222862443,1.3199999999999932,0.004582219599402899,0.6500000000000341,0.0022563960148576185,-0.002845303589743573,-2835.420668057687,6,-0.14999999999997726
SBER,2022-01-24 08:00:00+00:00,2022-01-24 09:00:00+00:00,1,2022-01-24 08:00:00+00:00,251.7326,3.6256956039069115,246.29405659413962,257.17114340586033,-0.012881128626169126,0.2018870901622417,1.3978571428571425,0.005625406023812397,1.4499999999999886,0.005835244879069534,0.7800000000000011,0.0031389593142581236,-0.0005742761369443034,-570.6531228619095,3,-0.20000000000001705
