symbol,source,total_return,pf,win_rate,trade_count,max_drawdown,volatility_ann,sharpe_ann,pnl_sum,pnl_mean,pnl_std,bars_total,bars_in_regime,entries_raw,entries_after_regime_filter,regime_filter,calmar,avg_trade,max_total_dd_limit,max_daily_dd_limit,hit_max_total_dd,hit_max_daily_dd_days,regime_exit_trades,regime_segments_path
CHMF,out/range\CHMF_30min_rangeV2_stats.json,-0.09669791050255427,0.6998368416976832,0.401673640167364,239,-0.10119125839068643,0.0041634013638487295,-0.2111908973135927,-96697.91050255495,-404.59376779311697,2711.94671823008,28862,0,345,0,range,-0.9555954935278705,-404.59376779311697,0.1,0.02,True,1,0,out/regime_segments_SGL_30min.csv
GAZP,out/range\GAZP_30min_rangeV2_stats.json,-0.09787768906553707,0.43547477280127855,0.33858267716535434,127,-0.10016509722457612,0.0024846504481820337,-0.3607089073056227,-97877.68906553651,-770.6904650829646,2145.308147913464,28863,25296,374,549,range,-0.9771636206381297,-770.6904650829646,0.1,0.02,True,0,0,out/regime_segments_SGL_30min.csv
GMKN,out/range\GMKN_30min_rangeV2_stats.json,-0.09053798220255571,0.47706368243372005,0.36363636363636365,110,-0.10081492627324307,0.0027140902305578776,-0.3051936134259814,-90537.98220255488,-823.0725654777717,2481.577510887843,28744,0,386,0,range,-0.8980612846669817,-823.0725654777717,0.1,0.02,True,0,0,out/regime_segments_SGL_30min.csv
LKOH,out/range\LKOH_30min_rangeV2_stats.json,-0.09267344205776173,0.40431446474025245,0.35294117647058826,119,-0.10019804797831833,0.0023418038524251404,-0.3614513954989958,-92673.44205776183,-778.7684206534609,2044.152270613239,28860,24999,369,534,range,-0.9249026695391828,-778.7684206534609,0.1,0.02,True,0,0,out/regime_segments_SGL_30min.csv
MGNT,out/range\MGNT_30min_rangeV2_stats.json,-0.10065606276250139,0.5782212267813925,0.43452380952380953,168,-0.10183631276993621,0.003391691012943372,-0.27145542286019964,-100656.06276250209,-599.1432307291791,2467.7835832710894,28857,0,359,0,range,-0.9884103226508093,-599.1432307291791,0.1,0.02,True,0,0,out/regime_segments_SGL_30min.csv
MTSS,out/range\MTSS_30min_rangeV2_stats.json,-0.09958420538557378,0.5546096621224811,0.373134328358209,134,-0.10181606314308955,0.0034682681350097838,-0.26273270740795046,-99584.20538557362,-743.165711832639,3023.59660256528,28819,0,367,0,range,-0.9780795123223417,-743.165711832639,0.1,0.02,True,0,0,out/regime_segments_SGL_30min.csv
NLMK,out/range\NLMK_30min_rangeV2_stats.json,-0.10525813031652664,0.5056297682034187,0.3873239436619718,142,-0.10795051195904637,0.0031152434982541686,-0.31017070968423954,-105258.13031652734,-741.2544388487842,2487.0470874303683,28861,0,364,0,range,-0.9750591118683981,-741.2544388487842,0.1,0.02,True,0,0,out/regime_segments_SGL_30min.csv
NVTK,out/range\NVTK_30min_rangeV2_stats.json,-0.1043701861138322,0.45637171916830627,0.3230769230769231,130,-0.10578500572805694,0.00283052872118823,-0.33959114905373494,-104370.18611383239,-802.8475854910184,2296.7285135191532,28778,0,379,0,range,-0.986625518385263,-802.8475854910184,0.1,0.02,True,0,0,out/regime_segments_SGL_30min.csv
OZON,out/range\OZON_30min_rangeV2_stats.json,-0.09590852014607443,0.500027381104599,0.3203125,128,-0.10150788476575812,0.0033077922582720556,-0.29567383956081744,-95908.52014607502,-749.2853136412111,2487.9635181855783,25834,0,306,0,range,-0.944838131219019,-749.2853136412111,0.1,0.02,True,0,0,out/regime_segments_SGL_30min.csv
PIKK,out/range\PIKK_30min_rangeV2_stats.json,-0.09405047714925774,0.8452730714553978,0.45454545454545453,473,-0.10212873540599421,0.005789020446722869,-0.14611084820479892,-94050.47714925815,-198.83821807454152,2696.1416409263343,28855,0,361,0,range,-0.9209012211438551,-198.83821807454152,0.1,0.02,True,0,0,out/regime_segments_SGL_30min.csv
PLZL,out/range\PLZL_30min_rangeV2_stats.json,-0.09838331762079289,0.5649255807799164,0.4117647058823529,153,-0.10286041703879967,0.0032446142609155524,-0.2785928591632204,-98383.31762079289,-643.0282197437444,2608.2541601139133,28705,0,357,0,range,-0.9564740300798316,-643.0282197437444,0.1,0.02,True,0,0,out/regime_segments_SGL_30min.csv
ROSN,out/range\ROSN_30min_rangeV2_stats.json,-0.09953308725907983,0.5545572615824426,0.3611111111111111,144,-0.10052689459111708,0.0031910500594964954,-0.285325435169126,-99533.08725907962,-691.2019948547196,2719.52656501452,28856,0,367,0,range,-0.9901140153977753,-691.2019948547196,0.1,0.02,True,1,0,out/regime_segments_SGL_30min.csv
