bin_x,bin_y,count_trades,win_rate,mean_pnl_rel,pf
"(-1.132, -0.488]","(0.00929, 0.0278]",12,0.5833333333333334,-5.095265780902502e-05,0.9528640563824787
"(-0.488, -0.258]","(0.00649, 0.00929]",12,0.5833333333333334,0.0001426454289696167,1.1098550753568275
"(-0.0936, -0.00874]","(0.0048, 0.00649]",10,0.4,-0.0006955516428753901,0.5058112914560209
