symbol,trade_id,entry_dt,exit_dt,entry_price,exit_price,direction,qty,pnl_abs,pnl_rel,bars_in_trade,max_favorable_excursion,max_adverse_excursion,exit_reason,profile
MGNT,1,2022-01-05 19:00:00+00:00,2022-01-05 21:30:00+00:00,5506.0,5470.5,1,48.61111111111111,-2018.214236111111,-0.002018214236111111,6,14.0,-21.5,stop_atr,range_v0_baseline
MGNT,2,2022-01-05 21:30:00+00:00,2022-01-05 22:00:00+00:00,5470.5,5430.0,1,47.201841218562315,-2193.6111669502466,-0.0021980472972972977,2,0.0,0.0,stop_atr,range_v0_baseline
MGNT,3,2022-01-05 22:00:00+00:00,2022-01-06 15:00:00+00:00,5430.0,5516.5,1,40.882798957059066,3288.2791532943315,0.003302187390029326,22,87.0,-32.0,signal_change,range_v0_baseline
MGNT,4,2022-01-10 17:00:00+00:00,2022-01-10 18:00:00+00:00,5489.0,5443.0,1,43.84661552508859,-2279.467155287438,-0.002281574294670846,3,0.0,-15.5,stop_atr,range_v0_baseline
MGNT,5,2022-01-10 18:00:00+00:00,2022-01-11 11:30:00+00:00,5443.0,5504.5,1,44.79986456606497,2483.9307308587004,0.002491912359550562,23,53.0,0.0,take_atr,range_v0_baseline
MGNT,6,2022-01-13 15:30:00+00:00,2022-01-13 17:00:00+00:00,5475.0,5384.0,1,31.332436377516817,-3036.814931556236,-0.0030390002239641654,4,0.0,-22.0,stop_atr,range_v0_baseline
MGNT,7,2022-01-13 17:00:00+00:00,2022-01-13 18:00:00+00:00,5384.0,5285.0,1,21.474083808344066,-2250.773883245871,-0.002259259430331024,3,0.0,-23.0,stop_atr,range_v0_baseline
MGNT,8,2022-01-13 18:00:00+00:00,2022-01-14 08:00:00+00:00,5285.0,5389.0,1,20.02288719302738,1963.6865950833007,0.00197555309352518,16,102.5,0.0,take_atr,range_v0_baseline
MGNT,9,2022-01-14 08:00:00+00:00,2022-01-14 10:30:00+00:00,5389.0,5333.5,1,33.19856717020285,-2037.2914917487626,-0.0020455616666666667,6,0.0,-30.0,stop_atr,range_v0_baseline
MGNT,10,2022-01-14 10:30:00+00:00,2022-01-14 12:00:00+00:00,5333.5,5249.5,1,34.52822861191244,-3099.7527331087026,-0.0031187153846153844,4,0.0,-39.5,stop_atr,range_v0_baseline
