hour,n_trades,pf,win_rate,mean_pnl_rel,pnl_std,pnl_sum,mae_mean,mae_p95,bars_in_trade_mean
6,40,0.667983680430685,0.45,-0.00040687172345688744,0.002383012680450074,-0.016274868938275497,-3.183749999999997,0.0,6.6
7,74,0.6451133722616613,0.40540540540540543,-0.0005871775678058394,0.0029125504927850986,-0.04345114001763211,-8.024797297297292,0.0,11.14864864864865
8,24,0.5877692159147685,0.375,-0.0006523260763263932,0.0027085642657978214,-0.015655825831833437,-9.850416666666659,0.0,9.25
9,216,0.7218175583421739,0.4444444444444444,-0.0004243118520426713,0.0030675824512972068,-0.091651360041217,-3.0436574074074048,0.0,6.953703703703703
10,637,0.5928811270422923,0.3814756671899529,-0.0006619893699113116,0.0029032600021685084,-0.4216872286335055,-4.6998116169544755,0.0,10.384615384615385
11,349,0.8092233942939902,0.42406876790830944,-0.0002478438107065324,0.0026588685480972134,-0.0864974899365798,-5.586676217765043,0.0,11.484240687679083
12,248,0.5361299511331719,0.3911290322580645,-0.0007112442313671487,0.002538934333062875,-0.1763885693790529,-6.53342741935484,0.0,12.108870967741936
13,224,0.6359093051053866,0.41517857142857145,-0.0005028527043241913,0.0025506126393713365,-0.11263900576861885,-6.262968750000001,0.0,11.598214285714286
14,257,0.51583714982137,0.3657587548638132,-0.0007534063523872299,0.0025252921939904836,-0.1936254325635181,-5.905564202334631,0.0,11.155642023346303
15,187,0.5549507961294751,0.39572192513368987,-0.0006250983342060029,0.002409656927356764,-0.11689338849652253,-3.5162299465240627,0.0,11.67379679144385
16,180,0.5817964413701893,0.40555555555555556,-0.0005493961211631814,0.0023520895206738265,-0.09889130180937267,-4.96638888888889,0.0,10.561111111111112
17,257,0.6556239629271732,0.43190661478599224,-0.0004449684639220329,0.002565465783357779,-0.11435689522796245,-4.996400778210122,0.0,11.361867704280156
18,239,0.7905507722644689,0.45188284518828453,-0.00027592526926811784,0.002870795232017797,-0.06594613935508016,-3.396861924686193,0.0,11.656903765690377
19,72,0.3307438259823154,0.3055555555555556,-0.0010936416772463521,0.002222071943810038,-0.07874220076173735,-4.99361111111112,0.0,12.291666666666666
20,56,1.1260070069973884,0.5178571428571429,0.00013181741324325494,0.002501479935913351,0.0073817751416222765,-4.3525,0.0,10.732142857142858
21,100,0.7232789992282113,0.41,-0.0003940954171615301,0.0028143294046374086,-0.03940954171615301,-3.9569500000000044,0.0,9.55
22,74,0.46738916004169007,0.3783783783783784,-0.0008030662630716756,0.002320835646372102,-0.059426903467304,-5.793310810810801,0.0,9.662162162162161
23,73,0.7503666441159828,0.5068493150684932,-0.0003595487627661111,0.003069044005638023,-0.02624705968192611,-5.201643835616439,0.0,9.150684931506849
