hour,count_trades,win_rate,mean_pnl_rel,pf
6,3,0.3333333333333333,-0.0004112121403615332,0.746291017816588
7,8,0.625,0.0002436341354594999,1.203578975259653
9,6,0.3333333333333333,-0.00043004782424723337,0.7188235587970142
10,36,0.4722222222222222,-0.0006839074318578945,0.6378314769157534
11,15,0.3333333333333333,-0.0008073608793425067,0.5140129023018284
12,11,0.2727272727272727,-0.0012051041198813091,0.4398477278094516
13,7,0.42857142857142855,4.8559859386671364e-05,1.0345122285106876
14,8,0.125,-0.0014741857614303752,0.1692413586425299
15,6,0.3333333333333333,-0.0007836129341818498,0.46426775732670705
16,9,0.0,-0.0019985420199654953,0.0
17,11,0.45454545454545453,0.0001535700496812818,1.1653026101841506
18,5,0.4,-0.0023878038078417605,0.2939514060081895
19,2,0.5,-0.00064412481927715,0.4817648607495656
21,5,0.4,-0.0012650724450531,0.31077365580247274
22,2,0.5,-0.00016648515799755,0.8812986047523927
