hour,count_trades,win_rate,mean_pnl_rel,pf
7,3,0.0,-0.004249744146421067,0.0
8,3,0.3333333333333333,-0.0005996756536985333,0.7041511028548276
9,4,0.25,-0.001855539581800425,0.32442768526025967
10,33,0.30303030303030304,-0.0008562584744670544,0.5109862503732694
11,12,0.16666666666666666,-0.0014322940937044864,0.08712532881082019
12,15,0.4666666666666667,-0.0003631467073696133,0.6964923527689655
13,10,0.4,-0.0008524990151474804,0.359458424302255
14,11,0.18181818181818182,-0.0015136890879611639,0.2083843947596557
15,8,0.25,-0.0007370266460243,0.533140527804578
16,4,0.5,0.00046758442446942977,2.543268849749685
17,9,0.4444444444444444,-9.744551868604443e-05,0.9006908667540968
18,7,0.2857142857142857,-0.0007736317719838142,0.4127946226791795
19,2,0.0,-0.00175401669437315,0.0
20,1,0.0,-0.0018726550632911,0.0
21,2,0.5,-0.0008681386636324501,0.20927051063694072
22,2,0.5,0.0005155200742302001,1.4879830206506575
23,4,0.75,0.00116016458697185,3.7315449417010287
