bin_x,bin_y,count_trades,win_rate,mean_pnl_rel,pf
"(-0.185, -0.034]","(0.00672, 0.00909]",11,0.5454545454545454,0.00011684894672278177,1.08612515360519
"(-0.185, -0.034]","(0.00909, 0.0299]",33,0.3939393939393939,-0.0005982379953039244,0.5574944812259051
"(-0.034, -0.0224]","(0.00498, 0.00672]",16,0.4375,8.926148250463747e-05,1.0638791250017932
"(-0.034, -0.0224]","(0.00672, 0.00909]",17,0.4117647058823529,7.957898997500124e-06,1.0057715011803727
"(-0.0224, -0.0155]","(0.0037, 0.00498]",14,0.2857142857142857,-7.406303290772144e-05,0.9480253482518205
"(-0.0224, -0.0155]","(0.00498, 0.00672]",13,0.46153846153846156,-7.09056998400461e-05,0.9419245939079692
"(-0.0224, -0.0155]","(0.00672, 0.00909]",14,0.07142857142857142,-0.001505305375680943,0.11152620131138706
"(-0.0155, -0.00979]","(0.0007199999999999999, 0.0037]",18,0.4444444444444444,0.00017202616161725548,1.150995780179244
"(-0.0155, -0.00979]","(0.0037, 0.00498]",13,0.3076923076923077,-0.0009214188883886077,0.3579733290618943
"(-0.0155, -0.00979]","(0.00498, 0.00672]",12,0.5833333333333334,0.00020759644288584992,1.1989617609618248
"(-0.00979, -0.000398]","(0.0007199999999999999, 0.0037]",26,0.4230769230769231,-0.0008592609281647308,0.46123421398649034
"(-0.00979, -0.000398]","(0.0037, 0.00498]",15,0.4,-0.0005125451015483732,0.6190343207456209
