year,month,count_trades,win_rate,mean_pnl_rel,pf
2022,1,22,0.36363636363636365,-0.000490098546161145,0.6154509970032463
2022,2,18,0.3888888888888889,-0.0007611322985353269,0.4489041627264948
2022,3,1,1.0,0.0032102317008952,inf
2022,4,17,0.4117647058823529,6.690724667471771e-05,1.0572195620469036
2022,5,13,0.3076923076923077,-0.0003321118701947077,0.6899679252124558
2022,6,8,0.625,0.000933880745078225,2.0617343808330557
2022,7,12,0.4166666666666667,0.0005267608637843001,1.522110685223242
2022,8,15,0.3333333333333333,-0.0009139142877132264,0.5429466794365286
2022,9,22,0.2727272727272727,-0.00148820047437815,0.2671765051439091
2022,10,14,0.5714285714285714,0.0002582553347663356,1.2517335891943495
2022,11,24,0.375,-0.0005589249902969207,0.5993911967666788
2022,12,21,0.47619047619047616,-3.994911554337421e-05,0.9672869933527037
2023,1,11,0.8181818181818182,0.0017585966616698275,9.129640640143872
2023,2,17,0.4117647058823529,-0.0005475584271803295,0.6284532439792432
2023,3,16,0.75,0.0010560145107457,2.3033307199677258
2023,4,15,0.6,0.00039576998759231335,1.4232682677424116
2023,5,14,0.5714285714285714,-3.9751498041507117e-05,0.9696147173079944
2023,6,10,0.6,1.9717867078829913e-05,1.015643577501881
2023,7,12,0.5,0.00047703211609546664,1.391361031659371
2023,8,16,0.3125,-0.0008465755518818751,0.3770113283836108
2023,9,26,0.38461538461538464,-0.00024715723201510376,0.8444803380417266
2023,10,23,0.391304347826087,-0.0008621665341296045,0.5533039445339759
2023,11,21,0.47619047619047616,-0.00036316594052072373,0.7664080618386145
2023,12,22,0.5,-0.00019898068594629097,0.8577027609513923
2024,1,18,0.5,-9.014651024694993e-05,0.9289425938038525
2024,2,9,0.5555555555555556,0.000302728267732689,1.2787772525572583
2024,3,16,0.375,-0.00060469155524065,0.5923190436111897
2024,4,28,0.5,0.00016598487101916786,1.1375398212109669
2024,5,12,0.3333333333333333,-0.0009669130630890334,0.535756062285722
