symbol,trade_id,entry_dt,exit_dt,entry_price,exit_price,direction,qty,pnl_abs,pnl_rel,bars_in_trade,max_favorable_excursion,max_adverse_excursion,exit_reason,profile
MTSS,1,2022-01-05 07:00:00+00:00,2022-01-05 11:30:00+00:00,303.45,304.65,1,1296.2962962963086,1121.1472222222183,0.0011211472222222183,10,0.75,0.0,signal_change,range_v2_aggressive
MTSS,2,2022-01-05 19:00:00+00:00,2022-01-05 21:00:00+00:00,302.5,301.1,1,1437.507288319113,-2488.626992610899,-0.00248584000000001,5,0.6000000000000227,-0.35000000000002274,stop_atr,range_v2_aggressive
MTSS,3,2022-01-05 21:00:00+00:00,2022-01-05 22:30:00+00:00,301.1,299.15,1,1075.4504064011292,-2451.0213804646382,-0.0024543776923077625,4,0.0,-0.75,stop_atr,range_v2_aggressive
MTSS,4,2022-01-05 22:30:00+00:00,2022-01-06 07:00:00+00:00,299.15,296.25,1,866.2447816079584,-2794.397384869553,-0.0028051086956521697,5,0.8500000000000227,-1.1499999999999773,stop_atr,range_v2_aggressive
MTSS,5,2022-01-06 07:00:00+00:00,2022-01-06 17:30:00+00:00,296.25,300.1,1,651.4013780093649,2292.861196441398,0.0023081245901639593,22,3.6499999999999773,0.0,take_atr,range_v2_aggressive
MTSS,6,2022-01-06 17:30:00+00:00,2022-01-06 19:00:00+00:00,300.1,298.25,1,857.8165832153882,-1868.388854486876,-0.001876495384615404,4,0.0,-1.6000000000000227,stop_atr,range_v2_aggressive
MTSS,7,2022-01-06 19:00:00+00:00,2022-01-10 06:30:00+00:00,298.25,300.0,1,838.154339354655,1190.17916188361,0.0011975903614457857,11,1.5500000000000114,0.0,signal_change,range_v2_aggressive
MTSS,8,2022-01-10 15:00:00+00:00,2022-01-10 17:30:00+00:00,297.05,294.05,1,1075.6775707763325,-3574.9660009844556,-0.003592924324324296,6,0.5,-0.5500000000000114,stop_atr,range_v2_aggressive
MTSS,9,2022-01-10 17:30:00+00:00,2022-01-11 15:30:00+00:00,294.05,297.0,1,1080.1536978630104,2833.567195604023,0.002858070038910463,31,3.099999999999966,-1.3000000000000114,signal_change,range_v2_aggressive
MTSS,10,2022-01-12 11:30:00+00:00,2022-01-12 12:30:00+00:00,294.3,296.65,1,1079.0422448277857,2183.6416052242803,0.0021962472868216915,3,0.5999999999999659,0.0,signal_change,range_v2_aggressive
MTSS,11,2022-01-13 14:00:00+00:00,2022-01-13 14:30:00+00:00,294.1,292.15,1,1148.1659210495022,-2607.9038872646547,-0.0026172106995885343,2,0.0,0.0,stop_atr,range_v2_aggressive
MTSS,12,2022-01-13 14:30:00+00:00,2022-01-13 17:00:00+00:00,292.15,290.35,1,986.7876089595534,-2091.382856614698,-0.002104353900709172,6,0.0,-0.8999999999999773,stop_atr,range_v2_aggressive
MTSS,13,2022-01-13 17:00:00+00:00,2022-01-13 18:30:00+00:00,290.35,287.95,1,841.4803591719465,-2286.0875583786183,-0.0023051169696969988,4,0.44999999999998863,-0.10000000000002274,stop_atr,range_v2_aggressive
MTSS,14,2022-01-13 18:30:00+00:00,2022-01-14 06:30:00+00:00,287.95,291.9,1,690.8938005246787,2507.191421662004,0.002533902244389018,12,3.900000000000034,0.0,take_atr,range_v2_aggressive
MTSS,15,2022-01-14 06:30:00+00:00,2022-01-14 12:00:00+00:00,291.9,289.15,1,814.5173830160106,-2498.9922747230166,-0.0025192322580644974,12,0.4500000000000455,-1.6499999999999773,stop_atr,range_v2_aggressive
MTSS,16,2022-01-14 12:00:00+00:00,2022-01-14 13:00:00+00:00,289.15,286.0,1,725.2636381453898,-2512.7484007185008,-0.002539497382198933,3,0.0,-0.5,stop_atr,range_v2_aggressive
MTSS,17,2022-01-14 13:00:00+00:00,2022-01-14 17:30:00+00:00,286.0,291.3,1,524.3778751790092,2611.1763359051447,0.002645691840607215,10,2.4499999999999886,-2.8500000000000227,signal_change,range_v2_aggressive
MTSS,18,2022-01-17 13:00:00+00:00,2022-01-17 15:00:00+00:00,285.2,281.6,1,448.34671455241374,-1752.92805068843,-0.0017714122977346139,5,0.6000000000000227,-1.8999999999999773,stop_atr,range_v2_aggressive
MTSS,19,2022-01-17 15:00:00+00:00,2022-01-17 17:00:00+00:00,281.6,277.75,1,426.1748069941415,-1770.9800648343394,-0.0017928305084745804,5,0.0,-2.2000000000000455,stop_atr,range_v2_aggressive
MTSS,20,2022-01-17 17:00:00+00:00,2022-01-17 21:00:00+00:00,277.75,283.1,1,432.06819299067945,2177.0144765209175,0.002207832863849768,9,4.149999999999977,-0.14999999999997726,take_atr,range_v2_aggressive
MTSS,21,2022-01-17 21:00:00+00:00,2022-01-18 06:30:00+00:00,283.1,278.0,1,561.2599175952737,-3034.0588625365435,-0.003070231237322517,7,0.0,-2.3000000000000114,stop_atr,range_v2_aggressive
MTSS,22,2022-01-18 06:30:00+00:00,2022-01-18 15:00:00+00:00,278.0,274.0,1,536.6762702197682,-2308.4593087233106,-0.0023431750972762655,18,3.8000000000000114,-2.8500000000000227,stop_atr,range_v2_aggressive
MTSS,23,2022-01-18 15:00:00+00:00,2022-01-18 17:00:00+00:00,274.0,269.35,1,418.88163513929896,-2071.907948664978,-0.002108005783866058,5,0.0,-3.25,stop_atr,range_v2_aggressive
MTSS,24,2022-01-18 17:00:00+00:00,2022-01-18 19:00:00+00:00,269.35,274.7,1,441.5194534741041,2228.715142830172,0.002272335048231503,5,3.5,0.0,signal_change,range_v2_aggressive
MTSS,25,2022-01-19 07:30:00+00:00,2022-01-19 10:00:00+00:00,269.0,279.95,1,468.11078282463285,4981.660696912792,0.005067645238095227,6,2.0,-0.35000000000002274,take_atr,range_v2_aggressive
MTSS,26,2022-01-21 07:00:00+00:00,2022-01-21 12:00:00+00:00,273.65,276.4,1,663.4148808058045,1622.6862618557655,0.0016423712230215855,11,1.5,-0.6499999999999773,signal_change,range_v2_aggressive
MTSS,27,2022-01-21 21:00:00+00:00,2022-01-24 09:00:00+00:00,273.0,275.05,1,545.4692075774394,953.1774394351647,0.0009631586614173277,12,1.5,-0.30000000000001137,signal_change,range_v2_aggressive
