bin_x,bin_y,count_trades,win_rate,mean_pnl_rel,pf
"(-1.712, -0.487]","(2.0000000000000052e-05, 0.00236]",15,0.26666666666666666,-0.0021406925532504667,0.22444317155908294
"(-1.712, -0.487]","(0.00236, 0.00326]",19,0.42105263157894735,-0.00035474604935732104,0.7463703642764238
"(-1.712, -0.487]","(0.00326, 0.00441]",15,0.8,0.001491417328078241,3.975187318138654
"(-1.712, -0.487]","(0.00441, 0.00664]",22,0.36363636363636365,-0.0004205546409036745,0.7249153922947053
"(-1.712, -0.487]","(0.00664, 0.03]",26,0.46153846153846156,-0.0006211867508277268,0.6451628651512032
"(-0.487, -0.254]","(2.0000000000000052e-05, 0.00236]",12,0.6666666666666666,0.0007311614511670252,1.6516141444509345
"(-0.487, -0.254]","(0.00236, 0.00326]",18,0.5,-0.0002474115307748556,0.8226933363353804
"(-0.487, -0.254]","(0.00326, 0.00441]",19,0.42105263157894735,0.00026612392805362635,1.2055297038910642
"(-0.487, -0.254]","(0.00441, 0.00664]",24,0.5416666666666666,-0.0001467349925940116,0.8809496427718062
"(-0.487, -0.254]","(0.00664, 0.03]",23,0.5217391304347826,0.00011144615714068698,1.1102082662590969
"(-0.254, -0.122]","(2.0000000000000052e-05, 0.00236]",24,0.625,9.005609695937913e-05,1.0835263480341066
"(-0.254, -0.122]","(0.00236, 0.00326]",19,0.42105263157894735,-0.00023647674594704735,0.8343583815093178
"(-0.254, -0.122]","(0.00326, 0.00441]",22,0.45454545454545453,-0.00035971183366295906,0.7470340197412896
"(-0.254, -0.122]","(0.00441, 0.00664]",14,0.5,0.00019408880067272135,1.1725043336856098
"(-0.254, -0.122]","(0.00664, 0.03]",17,0.5294117647058824,0.0001428508882148412,1.1027428852685865
"(-0.122, -0.0166]","(2.0000000000000052e-05, 0.00236]",25,0.52,-0.0004676264682270199,0.6701256430412027
"(-0.122, -0.0166]","(0.00236, 0.00326]",20,0.65,0.000320924127649685,1.429548420709479
"(-0.122, -0.0166]","(0.00326, 0.00441]",19,0.5263157894736842,-0.00012809875267134733,0.9006799217232022
"(-0.122, -0.0166]","(0.00441, 0.00664]",18,0.3333333333333333,-0.0011749344110559999,0.371709957966056
"(-0.122, -0.0166]","(0.00664, 0.03]",14,0.7857142857142857,0.0012734205282355642,4.434286052064367
"(-0.0166, 0.494]","(2.0000000000000052e-05, 0.00236]",21,0.5238095238095238,0.00017216903714269496,1.1671615317725925
"(-0.0166, 0.494]","(0.00236, 0.00326]",20,0.45,-0.000695503145531353,0.3999397780617748
"(-0.0166, 0.494]","(0.00326, 0.00441]",21,0.38095238095238093,-0.0006996476343642098,0.4348412247890196
"(-0.0166, 0.494]","(0.00441, 0.00664]",18,0.2777777777777778,-0.0012919086250268391,0.3064845220771012
"(-0.0166, 0.494]","(0.00664, 0.03]",16,0.4375,-0.0004641272431503125,0.5959787899827196
