year,month,count_trades,win_rate,mean_pnl_rel,pf
2022,1,21,0.3333333333333333,-0.0008775199778160476,0.49037545635511265
2022,2,22,0.36363636363636365,-0.0009489689770697455,0.4213306294160605
2022,4,19,0.3157894736842105,-0.0008611047940619787,0.4864998414323703
2022,5,9,0.6666666666666666,0.0012354583127718334,2.8686003785668834
2022,6,7,0.5714285714285714,0.0008431296309792146,1.7240674950445127
2022,7,18,0.3888888888888889,-0.00013830700421152217,0.883771417399436
2022,8,9,0.4444444444444444,0.0004279419106907666,1.3843138108135162
2022,9,30,0.36666666666666664,-0.0010552043794631498,0.47100504564777296
2022,10,15,0.6666666666666666,-0.00029581922099035395,0.815332967204379
2022,11,22,0.6363636363636364,0.00027242565315605455,1.2691187109476643
2022,12,17,0.5294117647058824,4.7566163836218665e-05,1.0482702178976655
2023,1,20,0.4,-0.0010001397646467655,0.3537328592387733
2023,2,20,0.5,-9.038556228732507e-05,0.9188285432963567
2023,3,9,0.6666666666666666,0.00039905515650705557,1.472921217625869
2023,4,13,0.46153846153846156,0.001059391366900254,1.8996752243119768
2023,5,12,0.5833333333333334,-2.9651166082758374e-05,0.9754386272812295
2023,6,10,0.6,0.00021476358748867994,1.1699030374805957
2023,7,14,0.42857142857142855,-0.00040564246739933566,0.6941113465028668
2023,8,8,0.75,0.0006409300255850624,2.0555103346399504
2023,9,14,0.5714285714285714,0.0006187630267432641,1.641100710570876
2023,10,23,0.5217391304347826,-0.0005436520971712652,0.6151811020899501
2023,11,17,0.5294117647058824,0.0002357585862545177,1.203141990152876
2023,12,16,0.625,0.0006379829716271625,1.737918802351237
2024,1,18,0.6666666666666666,0.00031215840739020565,1.3448509421130193
2024,2,15,0.4666666666666667,-0.0003344675455970401,0.7825516610543432
2024,3,14,0.42857142857142855,-0.0012008746356752815,0.22414657911655297
2024,4,16,0.625,0.0002020655513719086,1.2257995188009383
2024,5,24,0.375,-0.0008540502515892366,0.49810142036806104
2024,6,18,0.5555555555555556,0.00019448480992398333,1.1890437896620223
2024,7,11,0.18181818181818182,-0.0014433773379298818,0.08297422237873643
