symbol,trade_id,entry_dt,exit_dt,entry_price,exit_price,direction,qty,pnl_abs,pnl_rel,bars_in_trade,max_favorable_excursion,max_adverse_excursion,exit_reason,profile
PLZL,1,2022-01-05 11:00:00+00:00,2022-01-05 22:00:00+00:00,1281.55,1268.2,1,190.47619047618926,-2808.575238095203,-0.002808575238095203,23,2.900000000000091,-7.5,stop_atr,range_v0_conservative
PLZL,2,2022-01-05 22:00:00+00:00,2022-01-05 23:30:00+00:00,1268.2,1255.15,1,199.58084269716517,-2880.084281380478,-0.0028881959971408136,4,0.0,-8.25,stop_atr,range_v0_conservative
PLZL,3,2022-01-05 23:30:00+00:00,2022-01-06 12:30:00+00:00,1255.15,1236.75,1,165.52150733326272,-3270.775331545903,-0.0032894881093936076,14,19.34999999999991,-15.650000000000091,stop_atr,range_v0_conservative
PLZL,4,2022-01-06 12:30:00+00:00,2022-01-06 17:00:00+00:00,1236.75,1227.1,1,91.61154118247416,-1007.7095468143993,-0.0010168196764608875,10,8.450000000000045,-4.75,signal_change,range_v0_conservative
PLZL,5,2022-01-06 17:30:00+00:00,2022-01-10 07:00:00+00:00,1219.9,1236.8,1,106.74208685737607,1658.720793561918,0.001675419946091628,15,14.299999999999955,0.0,take_atr,range_v0_conservative
PLZL,6,2022-01-10 07:00:00+00:00,2022-01-10 11:00:00+00:00,1236.8,1226.25,1,226.3028862190722,-2692.7497552599525,-0.0027153096984514815,9,5.5,-5.149999999999864,stop_atr,range_v0_conservative
PLZL,7,2022-01-10 11:00:00+00:00,2022-01-10 18:00:00+00:00,1226.25,1213.55,1,146.90698751158044,-2061.8256135612246,-0.00208476042440318,15,9.25,-9.049999999999955,stop_atr,range_v0_conservative
PLZL,8,2022-01-10 18:00:00+00:00,2022-01-10 23:30:00+00:00,1213.55,1225.15,1,150.84189972026905,1546.4816879686252,0.0015669507641921582,12,13.299999999999955,-1.7000000000000455,signal_change,range_v0_conservative
PLZL,9,2022-01-12 11:00:00+00:00,2022-01-12 18:00:00+00:00,1216.3,1235.45,1,165.33773904430322,2941.524542025909,0.0029757953405017976,15,10.400000000000091,0.0,take_atr,range_v0_conservative
PLZL,10,2022-01-13 18:00:00+00:00,2022-01-14 07:00:00+00:00,1216.65,1229.8,1,173.7165219223601,2049.3720267528815,0.0020670973717146174,13,10.599999999999909,0.0,signal_change,range_v0_conservative
PLZL,11,2022-01-14 13:00:00+00:00,2022-01-14 18:30:00+00:00,1204.8,1185.9,1,131.27551967882079,-2652.35492459552,-0.002669776875884821,12,8.900000000000091,-13.049999999999955,stop_atr,range_v0_conservative
PLZL,12,2022-01-14 18:30:00+00:00,2022-01-17 11:30:00+00:00,1185.9,1168.8,1,86.23878359357661,-1585.5586787407613,-0.001600245694746671,22,18.399999999999864,-5.7000000000000455,stop_atr,range_v0_conservative
PLZL,13,2022-01-17 11:30:00+00:00,2022-01-17 16:30:00+00:00,1168.8,1150.4,1,109.00677307772118,-2143.6661555535266,-0.0021669906336088092,11,1.25,-8.200000000000045,stop_atr,range_v0_conservative
PLZL,14,2022-01-17 16:30:00+00:00,2022-01-17 19:00:00+00:00,1150.4,1158.55,1,106.79520242153507,734.2805597934798,0.0007438819938176032,6,4.7999999999999545,-7.2000000000000455,signal_change,range_v0_conservative
PLZL,15,2022-01-18 08:00:00+00:00,2022-01-18 10:00:00+00:00,1146.4,1131.15,1,183.17323339316263,-3021.3078524936736,-0.0030585392052980133,5,1.5,-1.300000000000182,stop_atr,range_v0_conservative
PLZL,16,2022-01-18 10:00:00+00:00,2022-01-18 17:00:00+00:00,1131.15,1110.0,1,152.34564432319152,-3408.1244091541316,-0.0034607071823204477,15,24.299999999999955,-11.550000000000182,stop_atr,range_v0_conservative
PLZL,17,2022-01-18 17:00:00+00:00,2022-01-18 23:00:00+00:00,1110.0,1143.45,1,83.39646172698458,2684.7159921897455,0.002735604673748107,13,34.15000000000009,0.0,take_atr,range_v0_conservative
PLZL,18,2022-01-18 23:00:00+00:00,2022-01-19 07:30:00+00:00,1143.45,1120.0,1,89.84123308386954,-2217.461314976072,-0.0022533289859797937,4,0.4500000000000455,-10.049999999999955,stop_atr,range_v0_conservative
PLZL,19,2022-01-19 07:30:00+00:00,2022-01-19 10:00:00+00:00,1120.0,1158.4,1,87.9188272145937,3264.0532786504823,0.003324340518068451,6,5.0499999999999545,-6.0,signal_change,range_v0_conservative
