hour,count_trades,win_rate,mean_pnl_rel,pf
6,2,0.5,2.0976935927950182e-05,1.0174895899337701
7,2,0.0,-0.0028358734740137,0.0
8,1,1.0,0.0037880747166521,inf
9,11,0.36363636363636365,-0.0005752071788354285,0.6950707447444847
10,30,0.26666666666666666,-0.0012745430587130905,0.32518262757726274
11,16,0.25,-0.0006867287237529625,0.5695077920649695
12,9,0.3333333333333333,-0.0011345364807449111,0.3957805274970239
13,13,0.46153846153846156,-0.0001892249457408923,0.8425846381506543
14,15,0.3333333333333333,-0.00017288641679484,0.8960707974369114
15,10,0.4,-0.00100153183238969,0.3698056729765335
16,11,0.36363636363636365,-0.001541235562690482,0.30433343509493377
17,10,0.5,-0.00022279805543376003,0.8257699259732616
18,7,0.5714285714285714,0.00017930291779671596,1.2269238126494053
19,1,0.0,-0.0021181644498186,0.0
20,2,0.0,-0.00146208683188835,0.0
21,2,1.0,0.0023091914757232502,inf
22,1,1.0,0.0008474370034052,inf
23,1,0.0,-0.0040234695340501,0.0
