symbol,entry_dt,exit_dt,direction,begin,ma_close,std_close,band_lower,band_upper,dist_from_ma,band_pos,atr_14,atr_14_pct,bar_range,bar_range_pct,bar_body,bar_body_pct,pnl_rel,pnl_abs,bars_in_trade,max_adverse_excursion,profile
MGNT,2022-01-05 19:00:00+00:00,2022-01-05 21:30:00+00:00,1,2022-01-05 19:00:00+00:00,5555.84,15.817337426548386,5532.113993860177,5579.566006139823,-0.008970740698076284,-0.550324266677701,20.571428571428573,0.0037361839032743504,55.0,0.009989102796948783,42.5,0.007718852161278605,-0.002018214236111111,-2018.214236111111,6,-21.5,range_v0_aggressive
MGNT,2022-01-05 21:30:00+00:00,2022-01-05 22:00:00+00:00,1,2022-01-05 21:30:00+00:00,5551.07,24.66117538619235,5514.078236920711,5588.0617630792885,-0.01451431886104836,-0.5890262222336426,21.142857142857142,0.0038648856855602125,16.0,0.002924778356640161,13.0,0.002376382414770131,-0.0021980472972972977,-2193.6111669502466,2,0.0,range_v0_aggressive
MGNT,2022-01-05 22:00:00+00:00,2022-01-06 15:00:00+00:00,1,2022-01-05 22:00:00+00:00,5548.64,30.021427721694735,5503.607858417458,5593.672141582542,-0.021381816084662244,-0.8172813442875948,24.357142857142858,0.00448566166798211,61.0,0.011233885819521179,40.5,0.007458563535911602,0.003302187390029326,3288.2791532943315,22,-32.0,range_v0_aggressive
MGNT,2022-01-10 17:00:00+00:00,2022-01-10 18:00:00+00:00,1,2022-01-10 17:00:00+00:00,5522.81,22.13315225111858,5489.610271623323,5556.009728376678,-0.0061218836063526355,-0.009190912895410401,22.785714285714285,0.004151159461780704,10.0,0.0018218254691200583,5.5,0.001002004008016032,-0.002281574294670846,-2279.467155287438,3,-15.5,range_v0_aggressive
MGNT,2022-01-10 18:00:00+00:00,2022-01-11 11:30:00+00:00,1,2022-01-10 18:00:00+00:00,5520.95,25.51055203843896,5482.684171942341,5559.215828057659,-0.014118946920366934,-0.5185327739745366,22.25,0.004087819217343377,30.0,0.00551166636046298,28.5,0.005236083042439831,0.002491912359550562,2483.9307308587004,23,0.0,range_v0_aggressive
MGNT,2022-01-13 15:30:00+00:00,2022-01-13 17:00:00+00:00,1,2022-01-13 15:30:00+00:00,5560.03,50.66389951716469,5484.034150724253,5636.025849275747,-0.015293082950991226,-0.05943844835178389,31.892857142857142,0.0058251793868232225,22.5,0.00410958904109589,12.5,0.00228310502283105,-0.0030390002239641654,-3036.814931556236,4,-22.0,range_v0_aggressive
MGNT,2022-01-13 17:00:00+00:00,2022-01-13 18:00:00+00:00,1,2022-01-13 17:00:00+00:00,5556.18,58.04148410878818,5469.117773836818,5643.242226163183,-0.03098891684574659,-0.48883297377027723,46.392857142857146,0.008616801103799619,205.5,0.03816864784546806,66.0,0.01225854383358098,-0.002259259430331024,-2250.773883245871,3,-23.0,range_v0_aggressive
MGNT,2022-01-13 18:00:00+00:00,2022-01-14 08:00:00+00:00,1,2022-01-13 18:00:00+00:00,5549.52,73.62029999550623,5439.089550006741,5659.95044999326,-0.04766538367282223,-0.6976769089329353,49.642857142857146,0.009393161238005137,108.5,0.02052980132450331,79.5,0.015042573320719016,0.00197555309352518,1963.6865950833007,16,0.0,range_v0_aggressive
MGNT,2022-01-14 08:00:00+00:00,2022-01-14 10:30:00+00:00,1,2022-01-14 08:00:00+00:00,5493.18,117.14302090581033,5317.465468641285,5668.8945313587155,-0.018965335197463087,0.20355325995400927,30.0,0.005566895527927259,33.0,0.006123585080719985,20.0,0.0037112636852848395,-0.0020455616666666667,-2037.2914917487626,6,-30.0,range_v0_aggressive
MGNT,2022-01-14 10:30:00+00:00,2022-01-14 12:00:00+00:00,1,2022-01-14 10:30:00+00:00,5467.25,114.77565739569029,5295.0865139064645,5639.4134860935355,-0.024463852942521378,0.11156107187753415,28.785714285714285,0.005397152767547443,40.5,0.00759351270272804,26.5,0.004968594731414643,-0.0031187153846153844,-3099.7527331087026,4,-39.5,range_v0_aggressive
