bin_x,bin_y,count_trades,win_rate,mean_pnl_rel,pf
"(-1.7659999999999998, -0.462]","(0.00017, 0.00263]",11,0.09090909090909091,-0.002955857569085819,0.08116895234506599
"(-1.7659999999999998, -0.462]","(0.00263, 0.00366]",12,0.5833333333333334,0.0012335870269097834,2.313183516354326
"(-1.7659999999999998, -0.462]","(0.00366, 0.0054]",12,0.4166666666666667,-0.0006384863096597082,0.6601278873867638
"(-1.7659999999999998, -0.462]","(0.0054, 0.00774]",12,0.4166666666666667,-0.00031421048249877123,0.7379405380358666
"(-1.7659999999999998, -0.462]","(0.00774, 0.028]",10,0.8,0.0009651415063778781,4.469310599036827
"(-0.462, -0.226]","(0.00017, 0.00263]",10,0.3,-0.00160117762810661,0.2201825169142236
"(-0.462, -0.226]","(0.00263, 0.00366]",14,0.35714285714285715,-0.0009977227182517857,0.4295293361867776
"(-0.462, -0.226]","(0.00366, 0.0054]",14,0.42857142857142855,-8.706208454082837e-05,0.930429597356844
"(-0.462, -0.226]","(0.0054, 0.00774]",12,0.4166666666666667,2.3870749550691534e-05,1.0242494553659796
"(-0.226, -0.0891]","(0.00017, 0.00263]",13,0.46153846153846156,-5.8265592486084654e-05,0.961238718851746
"(-0.226, -0.0891]","(0.00263, 0.00366]",11,0.5454545454545454,0.00042658980525722733,1.345868556828379
"(-0.226, -0.0891]","(0.00366, 0.0054]",10,0.4,-0.0005856562986703602,0.6298922290514182
"(-0.226, -0.0891]","(0.0054, 0.00774]",10,0.3,-0.0007765639958862039,0.33973421064552684
"(-0.226, -0.0891]","(0.00774, 0.028]",12,0.25,-0.0006048890022310312,0.358882149576944
"(-0.0891, -0.0113]","(0.00017, 0.00263]",14,0.6428571428571429,-0.0004256900437225784,0.665737821468279
"(-0.0891, -0.0113]","(0.00263, 0.00366]",14,0.5714285714285714,0.00020117493191084288,1.200890165578521
"(-0.0891, -0.0113]","(0.00366, 0.0054]",10,0.4,-0.00038684359797686,0.6999695469018082
"(-0.0891, -0.0113]","(0.0054, 0.00774]",12,0.4166666666666667,-0.00041535163419765007,0.629923542257705
"(-0.0113, 0.486]","(0.00366, 0.0054]",10,0.6,0.00039391690613069426,1.6289776617277993
"(-0.0113, 0.486]","(0.0054, 0.00774]",11,0.45454545454545453,-0.0007105240681985273,0.36737239283905615
"(-0.0113, 0.486]","(0.00774, 0.028]",21,0.47619047619047616,-0.00021212994467888964,0.6297135035089523
