year,month,count_trades,win_rate,mean_pnl_rel,pf
2022,1,28,0.42857142857142855,-0.0002831346502261787,0.7932432726561088
2022,2,15,0.5333333333333333,-7.408640248710675e-05,0.9416187909611474
2022,3,4,0.5,0.0005237038226652249,1.7393386444958259
2022,4,14,0.42857142857142855,8.06557133098214e-05,1.0821986975559883
2022,5,13,0.23076923076923078,-0.0014302481705076922,0.2508390413578785
2022,6,11,0.36363636363636365,-0.0017974713384472632,0.4033570001005339
2022,7,20,0.3,-0.0009010876520819551,0.35981542518219983
2022,8,12,0.5,0.0010005483121314082,2.1743833174960923
2022,9,19,0.3157894736842105,-0.001093998857763179,0.41485694695657566
2022,10,12,0.5,7.453025158319162e-05,1.0542982946294865
2022,11,22,0.4090909090909091,2.7334464857840856e-05,1.0204562894353202
2022,12,5,0.4,-0.0006891006255436603,0.46207907323965663
2023,1,13,0.23076923076923078,-0.0008792091775736689,0.3443737227426328
2023,2,13,0.38461538461538464,-0.0003925210643199,0.7018790887216849
2023,3,18,0.5555555555555556,-7.35099531566671e-06,0.9932560385343601
2023,4,16,0.4375,-0.0004971670457487189,0.6011395098117156
2023,5,4,0.25,-0.0007890300209393749,0.502492622262311
