feature,bin_idx,bin_low,bin_high,trades,win_rate,pf,mean_pnl_rel,symbol,profile,share
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.43478260869565216,0.5142552431885327,-0.000745759688767139,CHMF,range_v0_aggressive,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.43478260869565216,0.5142552431885327,-0.000745759688767139,CHMF,range_v0_baseline,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.43478260869565216,0.5142552431885327,-0.000745759688767139,CHMF,range_v0_conservative,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.43478260869565216,0.5142552431885327,-0.000745759688767139,CHMF,range_v2_aggressive,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.43478260869565216,0.5142552431885327,-0.000745759688767139,CHMF,range_v2_balanced,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.43478260869565216,0.5142552431885327,-0.000745759688767139,CHMF,range_v2_conservative,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,23,0.43478260869565216,0.5142552431885327,-0.000745759688767139,CHMF,,0.000995800320387929
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,13,0.46153846153846156,0.5192969589059553,-0.0009124166909087263,GAZP,range_v0_aggressive,0.0005628436593496991
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,13,0.46153846153846156,0.5192969589059553,-0.0009124166909087263,GAZP,range_v0_baseline,0.0005628436593496991
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,13,0.46153846153846156,0.5192969589059553,-0.0009124166909087263,GAZP,range_v0_conservative,0.0005628436593496991
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,13,0.46153846153846156,0.5192969589059553,-0.0009124166909087263,GAZP,range_v2_aggressive,0.0005628436593496991
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,13,0.46153846153846156,0.5192969589059553,-0.0009124166909087263,GAZP,range_v2_balanced,0.0005628436593496991
dist_from_ma,0,-0.2596822987456136,-0.057195197321045,13,0.46153846153846156,0.5192969589059553,-0.0009124166909087263,GAZP,range_v2_conservative,0.0005628436593496991
