symbol,trade_id,entry_dt,exit_dt,entry_price,exit_price,direction,qty,pnl_abs,pnl_rel,bars_in_trade,max_favorable_excursion,max_adverse_excursion,exit_reason
SBER,1,2022-01-05 07:00:00+00:00,2022-01-05 14:00:00+00:00,302.24,299.63,1,1229.1483757682254,-3613.1959613696617,-0.003613195961369662,15,1.3100000000000023,-1.240000000000009,stop_atr
SBER,2,2022-01-05 14:00:00+00:00,2022-01-05 18:00:00+00:00,299.63,297.72,1,735.3408147886561,-1645.3191903630764,-0.001651285608856063,9,0.3199999999999932,-1.3100000000000023,stop_atr
SBER,3,2022-01-05 18:00:00+00:00,2022-01-05 21:00:00+00:00,297.72,295.64,1,846.588497743201,-2036.2180411259724,-0.0020469821276595966,7,0.1099999999999568,-1.240000000000009,stop_atr
SBER,4,2022-01-05 21:00:00+00:00,2022-01-05 21:30:00+00:00,295.64,293.03,1,775.1184459174577,-2272.9053978724874,-0.002289607473508104,2,0.0,0.0,stop_atr
SBER,5,2022-01-05 22:00:00+00:00,2022-01-05 22:30:00+00:00,291.16,287.98,1,627.7072458003522,-2194.9528875552683,-0.0022161562698053486,2,0.0,0.0,stop_atr
SBER,6,2022-01-06 06:30:00+00:00,2022-01-06 07:00:00+00:00,286.6,288.48,1,487.15928589098706,761.2701756018382,0.0007703312676056337,2,0.0,0.0,signal_change
SBER,7,2022-01-06 09:30:00+00:00,2022-01-06 10:30:00+00:00,292.48,291.1,1,326.5561674943968,-555.2140615356469,-0.0005613900943396214,3,0.37999999999999545,0.0,signal_change
SBER,8,2022-01-10 18:00:00+00:00,2022-01-11 06:30:00+00:00,289.25,293.4,1,740.0111499947019,2832.215073928706,0.0028653283422459736,13,3.6200000000000045,-0.30000000000001137,take_atr
SBER,9,2022-01-11 17:30:00+00:00,2022-01-11 19:30:00+00:00,289.42,291.71,1,963.7402441622181,1897.719225844428,0.0019144212499999677,5,1.5199999999999818,0.0,signal_change
SBER,10,2022-01-12 11:00:00+00:00,2022-01-12 17:30:00+00:00,289.43,291.09,1,1006.1090871995393,1347.985961138998,0.0013572513748190598,14,0.8499999999999659,-1.75,signal_change
SBER,11,2022-01-13 11:30:00+00:00,2022-01-13 14:00:00+00:00,288.07,285.61,1,1020.0219332273781,-2829.715266523308,-0.0028453035897435734,6,0.9700000000000273,-0.14999999999997726,stop_atr
SBER,12,2022-01-13 14:00:00+00:00,2022-01-13 14:30:00+00:00,285.61,283.06,1,809.5442201062639,-2316.402306908589,-0.0023358089795918564,2,0.0,0.0,stop_atr
SBER,13,2022-01-13 14:30:00+00:00,2022-01-13 17:30:00+00:00,283.06,275.14,1,685.3663405505044,-5635.530281592979,-0.005696049282533433,7,0.6800000000000068,-0.9700000000000273,stop_atr
SBER,14,2022-01-13 17:30:00+00:00,2022-01-13 18:30:00+00:00,275.14,270.5,1,403.17202337773415,-1990.682024028726,-0.002023586065573774,3,0.0,-2.3899999999999864,stop_atr
SBER,15,2022-01-13 18:30:00+00:00,2022-01-13 19:30:00+00:00,270.5,272.49,1,347.8736211148312,587.9972146991789,0.0005989282207036245,3,2.0,0.0,signal_change
SBER,16,2022-01-14 06:30:00+00:00,2022-01-14 07:00:00+00:00,272.39,274.99,1,363.73231238436256,835.6789887585174,0.0008507049457815491,2,0.0,0.0,signal_change
SBER,17,2022-01-14 08:30:00+00:00,2022-01-14 10:30:00+00:00,274.67,269.58,1,468.9750677034194,-2526.1520232370563,-0.0025693878023850267,5,1.7299999999999613,-0.6700000000000159,stop_atr
SBER,18,2022-01-14 23:30:00+00:00,2022-01-17 07:00:00+00:00,261.0,258.87,1,342.88341929995073,-827.9801369384895,-0.0008443206293706278,3,1.1499999999999773,0.0,signal_change
SBER,19,2022-01-19 06:30:00+00:00,2022-01-19 07:00:00+00:00,232.9,229.82,1,331.0996955552231,-1103.4897275458427,-0.0011262183924692299,2,0.0,0.0,signal_change
SBER,20,2022-01-21 23:00:00+00:00,2022-01-24 10:00:00+00:00,246.7,243.63,1,518.6226923038319,-1731.1589165513412,-0.001768807797123387,10,1.7900000000000205,-0.18999999999999773,stop_atr
SBER,21,2022-01-24 10:00:00+00:00,2022-01-24 11:00:00+00:00,243.63,239.92,1,567.3071466543156,-2254.428677775349,-0.002307539112401502,3,0.0,-2.829999999999984,stop_atr
SBER,22,2022-01-24 23:30:00+00:00,2022-01-25 07:00:00+00:00,236.97,239.04,1,393.8301097935546,711.6730628830989,0.0007301236363636334,3,0.030000000000001137,0.0,signal_change
SBER,23,2022-02-01 18:00:00+00:00,2022-02-02 06:30:00+00:00,262.71,265.88,1,565.9418453057191,1628.5157700062655,0.0016695171156237104,13,1.990000000000009,-0.6999999999999886,signal_change
SBER,24,2022-02-02 10:30:00+00:00,2022-02-02 12:30:00+00:00,260.83,255.94,1,593.7055532989182,-3070.3684548741594,-0.0031424251736110924,5,0.0,-2.8899999999999864,stop_atr
SBER,25,2022-02-02 12:30:00+00:00,2022-02-02 16:30:00+00:00,255.94,260.53,1,432.61392099108156,1861.7181020296666,0.001911416180203036,9,6.689999999999998,0.0,signal_change
SBER,26,2022-02-02 17:00:00+00:00,2022-02-03 07:00:00+00:00,259.35,256.45,1,348.2552853190742,-1108.1814021374112,-0.0011355934234004695,16,1.6499999999999773,-1.7100000000000364,stop_atr
SBER,27,2022-02-03 07:00:00+00:00,2022-02-03 10:30:00+00:00,256.45,252.93,1,624.8415889852284,-2373.2876946402303,-0.002434758333333325,8,1.660000000000025,-2.4599999999999795,stop_atr
SBER,28,2022-02-03 10:30:00+00:00,2022-02-03 16:30:00+00:00,252.93,251.47,1,531.1476502423866,-922.4000389209868,-0.0009486007803355456,13,1.2800000000000011,-2.0100000000000193,signal_change
SBER,29,2022-02-03 17:00:00+00:00,2022-02-04 08:00:00+00:00,251.17,254.87,1,454.8628988350344,1555.4687279609414,0.0016011706354515146,18,2.530000000000001,-0.37999999999999545,signal_change
SBER,30,2022-02-10 23:30:00+00:00,2022-02-11 09:00:00+00:00,275.2,272.28,1,654.912367180721,-2108.495605437279,-0.0021669765384615537,7,0.03000000000002956,-1.670000000000016,stop_atr
SBER,31,2022-02-11 09:00:00+00:00,2022-02-11 11:30:00+00:00,272.28,267.76,1,669.5890787627052,-3223.7607249098673,-0.003320369655172418,6,0.0,-1.4899999999999523,stop_atr
SBER,32,2022-02-11 11:30:00+00:00,2022-02-11 21:00:00+00:00,267.76,265.4,1,492.1004594527469,-1305.0208924411245,-0.0013486073374500628,20,0.4800000000000182,-1.839999999999975,stop_atr
SBER,33,2022-02-11 21:00:00+00:00,2022-02-11 21:30:00+00:00,265.4,261.9,1,623.7554336671262,-2362.841720720104,-0.002445055786076539,2,0.0,0.0,stop_atr
SBER,34,2022-02-11 21:30:00+00:00,2022-02-11 22:30:00+00:00,261.9,261.34,1,535.987909934467,-454.2358179838037,-0.00047119285146942236,3,0.09000000000003183,0.0,signal_change
SBER,35,2022-02-14 06:30:00+00:00,2022-02-14 07:00:00+00:00,256.69,251.93,1,485.59453818207777,-2445.999416951318,-0.0025385069114470878,2,0.0,0.0,stop_atr
SBER,36,2022-02-14 23:00:00+00:00,2022-02-15 06:30:00+00:00,256.0,257.89,1,358.242073452097,575.451765669641,0.0005987351970180993,3,0.6999999999999886,0.0,signal_change
SBER,37,2022-02-17 08:30:00+00:00,2022-02-17 09:30:00+00:00,269.52,269.8,1,608.6631375940386,-10.213367448810004,-1.0620253164538282e-05,3,0.0,-0.5999999999999659,signal_change
SBER,38,2022-02-17 10:30:00+00:00,2022-02-17 11:00:00+00:00,268.23,266.02,1,434.8671064740258,-1088.3079877382552,-0.0011316766149870954,2,0.0,0.0,signal_change
SBER,39,2022-02-17 13:00:00+00:00,2022-02-17 13:30:00+00:00,266.65,266.77,1,327.92609862490815,-56.877798028192956,-5.921136308217338e-05,2,0.0,0.0,signal_change
SBER,40,2022-02-17 14:00:00+00:00,2022-02-17 17:00:00+00:00,265.3,260.81,1,344.36499399321593,-1644.9940405212503,-0.0017125857618437881,7,1.259999999999991,-2.3100000000000023,stop_atr
SBER,41,2022-02-17 17:00:00+00:00,2022-02-17 22:00:00+00:00,260.81,261.1,1,388.88827053498875,1.0849982748005544,1.131517960610824e-06,11,2.420000000000016,-0.9300000000000068,signal_change
SBER,42,2022-02-18 06:30:00+00:00,2022-02-18 11:30:00+00:00,262.13,258.6,1,659.0298619952746,-2513.843047386477,-0.0026216219931271423,11,4.5400000000000205,-2.159999999999968,stop_atr
SBER,43,2022-02-18 11:30:00+00:00,2022-02-18 14:30:00+00:00,258.6,259.0,1,421.44301184073885,48.50809066285946,5.0720805791617346e-05,7,1.4899999999999523,0.0,signal_change
SBER,44,2022-02-18 16:00:00+00:00,2022-02-18 17:00:00+00:00,251.34,249.67,1,372.9783732437201,-725.3075448095541,-0.0007583542618384469,3,0.9900000000000091,0.0,signal_change
SBER,45,2022-02-21 06:30:00+00:00,2022-02-21 07:00:00+00:00,249.15,254.2,1,443.03871833848433,2113.4630411875314,0.0022114344370860878,2,0.0,0.0,signal_change
SBER,46,2022-04-06 09:30:00+00:00,2022-04-06 10:00:00+00:00,143.51,147.98,1,237.96553285534748,1024.970378356275,0.0010701172670807444,2,0.0,0.0,signal_change
SBER,47,2022-04-07 09:30:00+00:00,2022-04-07 10:00:00+00:00,143.1,145.06,1,365.1715822006481,657.4673324278447,0.0006856930359085996,2,0.0,0.0,signal_change
SBER,48,2022-04-07 18:00:00+00:00,2022-04-08 10:00:00+00:00,146.93,146.77,1,599.1486130396864,-192.59452421576606,-0.00020072515611061279,4,2.1200000000000045,0.0,signal_change
SBER,49,2022-04-11 16:00:00+00:00,2022-04-11 16:30:00+00:00,141.08,139.25,1,612.4129311906407,-1214.5220148140068,-0.0012660487916096716,2,0.0,0.0,signal_change
SBER,50,2022-04-11 17:00:00+00:00,2022-04-12 10:00:00+00:00,139.87,134.13,1,639.3332827837637,-3764.102193720574,-0.003928770352716869,6,0.0,-1.1800000000000068,stop_atr
SBER,51,2022-04-13 09:30:00+00:00,2022-04-13 10:00:00+00:00,136.78,135.16,1,761.7169237224263,-1347.2304417816895,-0.0014117140250855275,2,0.0,0.0,signal_change
SBER,52,2022-04-13 16:00:00+00:00,2022-04-13 16:30:00+00:00,134.06,134.5,1,611.4415039370472,178.5714912248132,0.00018738313473877033,2,0.0,0.0,signal_change
SBER,53,2022-04-13 17:00:00+00:00,2022-04-13 18:30:00+00:00,134.87,135.5,1,723.6525822550713,348.04070943557326,0.00036514642082429165,4,0.5300000000000011,0.0,signal_change
SBER,54,2022-04-14 15:00:00+00:00,2022-04-14 18:30:00+00:00,131.24,129.05,1,936.1168433881919,-2182.9823535233086,-0.0022894368863955105,8,0.0,-1.4399999999999977,stop_atr
