scope,symbol,feature_group,feature,bin_index,q_low,q_high,value_low,value_high,n_trades,pf,win_rate,mean_pnl_rel,pnl_std,pnl_sum,mae_mean,mae_p95,bars_in_trade_mean
pooled,ALL,volatility,atr_14_pct,0,0.0,0.05,0.0010233319688907,0.00220856204243558,166,0.7250747381547467,0.4939759036144578,-0.0004436292971671832,0.003174371920352275,-0.07364246332975241,-0.7398795180722917,0.0,9.987951807228916
pooled,ALL,volatility,atr_14_pct,1,0.05,0.1,0.00220856204243558,0.00268735687101504,165,0.5514428580006063,0.4303030303030303,-0.0007612943152911944,0.0029535113728765064,-0.12561356202304708,-1.3737878787878812,0.0,10.248484848484848
pooled,ALL,volatility,atr_14_pct,2,0.1,0.2,0.00268735687101504,0.0034603536117931,331,0.6315946034539796,0.3987915407854985,-0.0005991292490794344,0.0029757741028940262,-0.1983117814452928,-1.6835196374622345,0.0,10.6797583081571
pooled,ALL,volatility,atr_14_pct,3,0.2,0.3,0.0034603536117931,0.00421294546200592,330,0.5239400465862841,0.3696969696969697,-0.0008146847743296931,0.002996539403121515,-0.26884597552879874,-2.736954545454547,0.0,11.32121212121212
pooled,ALL,volatility,atr_14_pct,4,0.3,0.4,0.00421294546200592,0.00503388322575358,331,0.589411453658615,0.40181268882175225,-0.0006310849171399341,0.0026824343955475596,-0.2088891075733182,-4.253867069486402,0.0,11.148036253776436
pooled,ALL,volatility,atr_14_pct,5,0.4,0.5,0.00503388322575358,0.0059198937306881,331,0.6867321711130877,0.42900302114803623,-0.0004546074434620158,0.0026772640948552057,-0.15047506378592723,-4.3355287009063455,0.0,10.072507552870091
pooled,ALL,volatility,atr_14_pct,6,0.5,0.6,0.0059198937306881,0.0069344201469673196,331,0.5708817116119472,0.3957703927492447,-0.0006002607485498549,0.0024283566975693074,-0.19868630777000199,-5.875830815709969,0.0,10.749244712990937
pooled,ALL,volatility,atr_14_pct,7,0.6,0.7,0.0069344201469673196,0.008222676729828479,331,0.6076302891615407,0.39274924471299094,-0.0005466701308250118,0.0024477991957286226,-0.1809478133030789,-4.459712990936555,0.0,10.114803625377643
pooled,ALL,volatility,atr_14_pct,8,0.7,0.8,0.008222676729828479,0.009862520951152122,330,0.6580796313606251,0.40606060606060607,-0.0004478443827624349,0.002545255689031686,-0.14778864631160352,-6.5000151515151545,0.0,11.345454545454546
pooled,ALL,volatility,atr_14_pct,9,0.8,0.9,0.009862520951152122,0.012917271051094642,331,0.801481902804487,0.4108761329305136,-0.00022631757463927182,0.0024224680881091325,-0.07491111720559897,-9.019380664652568,0.0,10.770392749244714
