year,month,count_trades,win_rate,mean_pnl_rel,pf
2022,1,23,0.43478260869565216,-0.0006138230554068739,0.6129318914745634
2022,2,29,0.3448275862068966,-0.0009602649807915379,0.43147912075948125
2022,3,2,1.0,0.0028421789970181,inf
2022,4,26,0.23076923076923078,-0.001351529292715468,0.30393284688285566
2022,5,14,0.21428571428571427,-0.0015972051213911647,0.20396880416465715
2022,6,16,0.4375,-1.4763014730506197e-05,0.9890777667199129
2022,7,5,0.0,-0.00238133984483608,0.0
