feature_x,feature_y,bin_x_idx,bin_x_low,bin_x_high,bin_y_idx,bin_y_low,bin_y_high,trades,win_rate,pf,mean_pnl_rel,symbol,profile,share
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,7,0.42857142857142855,0.6984554697505745,-0.00039300828293137145,CHMF,range_v0_aggressive,0.00030306966272676105
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,7,0.42857142857142855,0.6984554697505745,-0.00039300828293137145,CHMF,range_v0_baseline,0.00030306966272676105
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,7,0.42857142857142855,0.6984554697505745,-0.00039300828293137145,CHMF,range_v0_conservative,0.00030306966272676105
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,7,0.42857142857142855,0.6984554697505745,-0.00039300828293137145,CHMF,range_v2_aggressive,0.00030306966272676105
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,7,0.42857142857142855,0.6984554697505745,-0.00039300828293137145,CHMF,range_v2_balanced,0.00030306966272676105
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,7,0.42857142857142855,0.6984554697505745,-0.00039300828293137145,CHMF,range_v2_conservative,0.00030306966272676105
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,7,0.42857142857142855,0.6984554697505745,-0.00039300828293137145,CHMF,,0.00030306966272676105
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,0.654274282123477,-0.0007876656522214499,GAZP,range_v0_aggressive,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,0.654274282123477,-0.0007876656522214499,GAZP,range_v0_baseline,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,0.654274282123477,-0.0007876656522214499,GAZP,range_v0_conservative,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,0.654274282123477,-0.0007876656522214499,GAZP,range_v2_aggressive,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,0.654274282123477,-0.0007876656522214499,GAZP,range_v2_balanced,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,0.654274282123477,-0.0007876656522214499,GAZP,range_v2_conservative,8.659133220764602e-05
atr_14_pct,band_pos,0,0.0010233319688907,0.0032467532467532,0,-1.7111676770571271,-0.5006577883425565,2,0.5,0.654274282123477,-0.0007876656522214499,GAZP,,8.659133220764602e-05
