hour,count_trades,win_rate,mean_pnl_rel,pf
6,2,0.0,-0.0028853664176057,0.0
7,2,0.5,-0.0009547594400398501,0.22138169622441822
8,3,0.6666666666666666,0.000978887899332,2.27689235699143
9,12,0.5833333333333334,0.0011181458405414917,2.6101316446630776
10,33,0.30303030303030304,-0.0006535103978593834,0.5884866143181
11,16,0.625,0.00021104649557494382,1.2103784094706653
12,13,0.23076923076923078,-0.0011253398279323923,0.37214480754547946
13,13,0.07692307692307693,-0.0019393402152337615,0.026308560088338772
14,18,0.4444444444444444,-0.00024258777291531655,0.7997300229556824
15,10,0.4,-0.0002886064535509201,0.7815023146347787
16,6,0.16666666666666666,-0.0017676362682617,0.09971845113660796
17,15,0.4,-0.00033075535911321325,0.7403440453572075
18,15,0.4666666666666667,0.00028612362233626374,1.2585801164433128
19,6,0.3333333333333333,-0.00199784317611425,0.10815778536776637
20,1,0.0,-0.002586035576923,0.0
21,7,0.2857142857142857,-0.0018731055311178714,0.2204518997653159
22,5,0.2,-0.00156018790327002,0.10988259056671205
23,1,0.0,-0.0028187720430107,0.0
