hour,count_trades,win_rate,mean_pnl_rel,pf
6,2,0.5,0.0003510384248530999,1.3201934700674431
7,5,0.4,-0.00011376831096139998,0.9198576994425396
9,30,0.4666666666666667,-0.0004705508988097834,0.7019341371758439
10,77,0.38961038961038963,-0.0005412050342033974,0.622426035612666
11,55,0.4,-0.00036372641450955275,0.7740867573090804
12,42,0.6190476190476191,0.00031954873218802615,1.3522375593887845
13,33,0.48484848484848486,-0.00037213311007133515,0.7080704612299081
14,33,0.6060606060606061,0.0003436885794493545,1.3634085030200387
15,25,0.52,-3.5531102318863244e-05,0.9700434072832068
16,28,0.5714285714285714,0.00017072997930961428,1.160811811924375
17,31,0.3548387096774194,-0.0009131835093407445,0.4170231559305387
18,46,0.5434782608695652,-5.8841553717442145e-05,0.9546729729602556
19,13,0.46153846153846156,-0.000659870879109977,0.5709629717869724
20,9,0.7777777777777778,0.0012227351873598336,3.1675131442568745
21,22,0.5,5.320503735499555e-05,1.04854484450087
22,15,0.4666666666666667,-0.0007555832158629133,0.5030845834421662
23,15,0.6,-0.0004812783442409673,0.7017726820574215
