hour,count_trades,win_rate,mean_pnl_rel,pf
6,1,0.0,-0.0101606168831168,0.0
7,7,0.2857142857142857,-0.00046412823941934287,0.72921908638039
8,2,0.0,-0.00460743947947655,0.0
9,4,0.25,-0.000829939399348275,0.6352203998929509
10,23,0.21739130434782608,-0.0012212841114078118,0.33232912270497095
11,9,0.3333333333333333,-0.001068185973131378,0.42386927778176287
12,13,0.3076923076923077,-0.0009629305152095076,0.4462620531321542
13,10,0.6,0.0006900295049069499,1.9438682577095425
14,8,0.375,-0.0003440476236888625,0.767840867116688
15,5,0.4,-0.00100338995104554,0.3249072846010564
16,4,0.0,-0.0020453115647549,0.0
17,10,0.2,-0.0017880273883726899,0.1969336556170759
18,9,0.4444444444444444,-0.0007776808285838221,0.42094518816023113
20,1,0.0,-0.0017301977892409,0.0
21,4,0.5,0.00020691497209007504,1.3392340749209888
22,2,1.0,0.00222600832970105,inf
23,3,0.6666666666666666,0.00020695439253636664,1.2561484848996023
