symbol,trades_base,pf_base,win_rate_base,calmar_base,total_return_base,max_drawdown_base,trades_tp08,pf_tp08,win_rate_tp08,calmar_tp08,total_return_tp08,max_drawdown_tp08,total_pnl_base,total_pnl_tp08,pf_delta,calmar_delta,return_delta,dd_delta,pnl_delta,trades_delta
SNGS,280,1.3818604388422326,0.5304659498207885,4.620778623061714,0.294383473457849,-0.0637086295345591,34,2.129491338780765,0.6470588235294118,6.766553669182167,0.0658780074280098,-0.00973582870229,293803.0324383612,63226.69955510336,0.7476308999385324,2.145775046120453,-0.22850546602983918,0.053972800832269095,-230576.33288325783,-246
SBER,123,1.2114767514216365,0.5245901639344263,1.174252056159371,0.0601666341254103,-0.0512382616745824,16,1.896396049836104,0.7333333333333333,3.4938565110946067,0.0252817966841336,-0.0072360718317573,58995.64139343758,25281.796684133576,0.6849192984144676,2.3196044549352357,-0.0348848374412767,0.0440021898428251,-33713.844709304,-107
TATN,199,1.183482109092806,0.5255102040816326,1.9693422566020935,0.0921944810179293,-0.0468148594835932,27,0.7531016707517063,0.4444444444444444,-0.2507212925357792,-0.0128511928337663,-0.0512568864965164,84549.11965080407,-16977.411972000984,-0.43038043834109974,-2.2200635491378726,-0.10504567385169561,-0.004442027012923198,-101526.53162280505,-172
OZON,245,1.182998165065143,0.512396694214876,1.496722671559639,0.1142366284855034,-0.0763245126543481,33,1.411338377481296,0.53125,1.4104576210321245,0.0271115946760243,-0.0192218428060142,115796.21319100434,26417.097582304734,0.22834021241615288,-0.08626505052751443,-0.0871250338094791,0.0571026698483339,-89379.1156086996,-212
GAZP,214,1.178767881410616,0.5330188679245284,1.3998022844140934,0.0949130621335541,-0.0678046201169626,33,1.1855573386390548,0.5757575757575758,0.884400744207463,0.0204034612549695,-0.023070380015627,94086.31388066574,13260.637026184722,0.006789457228438822,-0.5154015402066304,-0.0745096008785846,0.0447342401013356,-80825.67685448102,-181
MGNT,223,1.1669815425212096,0.5318181818181819,1.8717009585167956,0.1017180418513397,-0.0543452421651505,22,1.5006592215933157,0.5,1.2256870801710575,0.0154386651575508,-0.01259592713941,94006.01555838046,17960.49962704637,0.3336776790721061,-0.6460138783457381,-0.0862793766937889,0.0417493150257405,-76045.51593133408,-201
ROSN,209,1.124630157028776,0.5528846153846154,1.264549718700163,0.0745893438033638,-0.0589849040336939,21,2.0965952323200363,0.75,1.3831770629417186,0.0279680588074215,-0.020220158038147,67067.2183967403,31857.358513266256,0.9719650752912603,0.11862734424155552,-0.04662128499594229,0.0387647459955469,-35209.85988347404,-188
MTSS,168,1.110680897683094,0.5389221556886228,0.3513407566798077,0.0402990378740923,-0.1147007203346427,17,1.9947520748390892,0.7058823529411765,3.0239556078540777,0.0353252243795039,-0.0116817933066722,51222.17777177048,28128.97575364905,0.8840711771559953,2.67261485117427,-0.0049738134945883986,0.1030189270279705,-23093.202018121432,-151
PLZL,259,1.0787489406135151,0.5405405405405406,0.9016928625841886,0.0583747962929248,-0.0647391131894143,30,1.3516864783764928,0.6333333333333333,1.7325850802946945,0.0191197178807815,-0.011035370267375,50966.17271887435,19242.27135999764,0.2729375377629777,0.8308922177105059,-0.039255078412143304,0.053703742922039305,-31723.901358876712,-229
NLMK,288,1.0486084317060458,0.4861111111111111,0.4373763217128828,0.0432963579901979,-0.0989910880878,35,0.9802877917270042,0.5142857142857142,0.2480023461057964,0.0051291081182018,-0.0206816919224378,35993.28348426655,-1906.7956386255878,-0.06832063997904159,-0.1893739756070864,-0.0381672498719961,0.0783093961653622,-37900.07912289214,-253
CHMF,284,0.9874827078689395,0.5177304964539007,-0.0112644550545978,-0.0018013421557594,-0.1599138304541574,43,1.7806560362849009,0.627906976744186,3.61536647035611,0.0636382020763091,-0.0176021442357517,-8788.732760669083,60133.27457787344,0.7931733284159613,3.6266309254107076,0.0654395442320685,0.1423116862184057,68922.00733854252,-241
VKCO,438,0.9538254887750696,0.4767441860465116,-0.4554835812114566,-0.0636710061205282,-0.1397877085957335,54,1.9608804863499316,0.6346153846153846,5.078551667463532,0.1059047798648393,-0.020853343,-53839.5516847939,101667.92808896938,1.007054997574862,5.534035248674988,0.1695757859853675,0.1189343655957335,155507.47977376328,-384
GMKN,255,0.948660175877933,0.5039370078740157,-0.3540277844341419,-0.0386227299907327,-0.1090951944703018,39,2.1439892746641203,0.6052631578947368,5.79544566842339,0.0878072118535395,-0.0151510715270715,-34247.84265114926,80192.5613705649,1.1953290987861873,6.149473452857532,0.1264299418442722,0.0939441229432303,114440.40402171416,-216
PIKK,375,0.9142670463169404,0.4718498659517426,-0.4548863383734185,-0.0791590478708839,-0.1740194004373502,47,0.932617063546302,0.5319148936170213,-0.1578302769797251,-0.0072624050698204,-0.0460140171378739,-85604.93453578773,-8638.476983585038,0.01835001722936158,0.29705606139369345,0.0718966428010635,0.1280053832994763,76966.45755220269,-328
NVTK,312,0.8950639742552158,0.5129032258064516,-0.6681796945774138,-0.0770575023341597,-0.1153245196756455,39,0.8013046874319749,0.4871794871794871,-0.4895018415121538,-0.0236913267356991,-0.0483988510901464,-84128.2228115954,-19558.862186000883,-0.09375928682324086,0.17867785306525996,0.0533661755984606,0.0669256685854991,64569.36062559452,-273
YNDX,156,0.7666931527143237,0.4294871794871794,-0.7008710657029873,-0.0968612043992998,-0.1382011744230675,17,1.2387888211526583,0.4117647058823529,0.0937111111889843,0.0019900356949547,-0.021235856343027,-103183.17596850477,9667.136806823264,0.4720956684383346,0.7945821768919716,0.0988512400942545,0.11696531808004051,112850.31277532804,-139
