file,f1,auc,precision,recall,include
ALL_30m_BASE_catboost_intrade_feat_signal_vol_band_width.json,0.7159763313609467,0.6490309946654061,0.5694117647058824,0.9641434262948207,"v3_signal,range_vs_atr,atr_14_pct,band_width_pct"
ALL_30m_BASE_catboost_intrade_feat_bands_only.json,0.7157584683357879,0.6490309946654061,0.5677570093457944,0.9681274900398407,"dist_from_ma,band_pos,band_width_pct,edge_proximity,z_ma"
ALL_30m_BASE_catboost_intrade_feat_signal_band_width.json,0.7157584683357879,0.6490309946654061,0.5677570093457944,0.9681274900398407,"v3_signal,band_width_pct"
ALL_30m_BASE_catboost_intrade_feat_vol_band_width.json,0.7157584683357879,0.6490309946654061,0.5677570093457944,0.9681274900398407,"range_vs_atr,atr_14_pct,band_width_pct"
ALL_30m_BASE_catboost_intrade_feat_signal_plus_bands.json,0.7136563876651983,0.6490309946654061,0.5651162790697675,0.9681274900398407,"v3_signal,dist_from_ma,band_pos,band_width_pct,edge_proximity,z_ma"
ALL_30m_BASE_catboost_intrade_feat_compact.json,0.7126099706744868,0.6490309946654061,0.5638051044083526,0.9681274900398407,"v3_signal,dist_from_ma,band_pos,band_width_pct,edge_proximity,z_ma,range_vs_atr,atr_14_pct"
ALL_30m_BASE_catboost_intrade_feat_signal_band_pos.json,0.7126099706744868,0.6490309946654061,0.5638051044083526,0.9681274900398407,"v3_signal,band_pos"
ALL_30m_BASE_catboost_intrade_feat_signal_dist.json,0.7126099706744868,0.6490309946654061,0.5638051044083526,0.9681274900398407,"v3_signal,dist_from_ma"
ALL_30m_BASE_catboost_intrade_feat_signal_edge.json,0.7126099706744868,0.6490309946654061,0.5638051044083526,0.9681274900398407,"v3_signal,edge_proximity"
ALL_30m_BASE_catboost_intrade_feat_signal_vol_z.json,0.7126099706744868,0.6490309946654061,0.5638051044083526,0.9681274900398407,"v3_signal,range_vs_atr,atr_14_pct,z_ma"
ALL_30m_BASE_catboost_intrade_feat_signal_z.json,0.7126099706744868,0.6490309946654061,0.5638051044083526,0.9681274900398407,"v3_signal,z_ma"
ALL_30m_BASE_catboost_intrade_feat_vol_z.json,0.7126099706744868,0.6490309946654061,0.5638051044083526,0.9681274900398407,"range_vs_atr,atr_14_pct,z_ma"
ALL_30m_BASE_catboost_intrade_feat_vol_edge.json,0.7076461769115443,0.6490309946654061,0.5673076923076923,0.9402390438247012,"range_vs_atr,atr_14_pct,edge_proximity"
ALL_30m_BASE_catboost_intrade_feat_signal_vol_band_pos.json,0.6980273141122914,0.6490309946654061,0.5637254901960784,0.9163346613545816,"v3_signal,range_vs_atr,atr_14_pct,band_pos"
ALL_30m_BASE_catboost_intrade_feat_signal_vol_edge.json,0.6972477064220183,0.6490309946654061,0.56575682382134,0.9083665338645418,"v3_signal,range_vs_atr,atr_14_pct,edge_proximity"
ALL_30m_BASE_catboost_intrade_feat_vol_dist.json,0.6880000000000001,0.6490309946654061,0.5748663101604278,0.8565737051792829,"range_vs_atr,atr_14_pct,dist_from_ma"
ALL_30m_BASE_catboost_intrade_feat_vol_band_pos.json,0.6825396825396826,0.6490309946654061,0.5672823218997362,0.8565737051792829,"range_vs_atr,atr_14_pct,band_pos"
ALL_30m_BASE_catboost_intrade_feat_signal_vol_dist.json,0.6783216783216782,0.6490309946654061,0.6043613707165109,0.7729083665338645,"v3_signal,range_vs_atr,atr_14_pct,dist_from_ma"
ALL_30m_BASE_catboost_intrade_feat_signal_plus_vol.json,0.6215722120658135,0.6490309946654061,0.5743243243243243,0.6772908366533864,"v3_signal,range_vs_atr,atr_14_pct"
ALL_30m_BASE_catboost_intrade_feat_bands_plus_vol.json,0.6134751773049645,0.6490309946654061,0.5527156549520766,0.6892430278884463,"dist_from_ma,band_pos,band_width_pct,edge_proximity,z_ma,range_vs_atr,atr_14_pct"
ALL_30m_BASE_catboost_intrade_feat_vol_only.json,0.6004228329809725,0.6490309946654061,0.6396396396396397,0.5657370517928287,"range_vs_atr,atr_14_pct"
ALL_30m_BASE_catboost_intrade_feat_signal_only.json,0.41487603305785126,0.6490309946654061,0.26173096976016685,1.0,v3_signal
