symbol,side,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_rel,bars_held,entry_reason,exit_reason,post_circuit_breaker,entry_geo_class,entry_geo_valid_box,entry_geo_h_pct,entry_atr_pct,entry_slope_pct_per_bar,entry_dist_L_pct,entry_dist_U_pct
YNDX,-1,2022-01-06 19:30:00+00:00,2022-01-06 22:00:00+00:00,4268.4,4247.0,163.99587667510076,3509.5117608470964,0.0035095117608470966,15,v3_short,opposite_signal,False,A,True,0.023130589502270964,0.005626411261231559,-0.0003394671536264457,0.6295546558704423,0.37044534412955765
YNDX,-1,2022-01-12 21:00:00+00:00,2022-01-12 22:40:00+00:00,4432.8,4395.6,158.46793408964828,5895.007148134887,0.005874390904168893,10,v3_short,opposite_signal,False,A,True,0.01878103837471779,0.004287096328373346,6.862302483070306e-05,0.8629807692307733,0.1370192307692267
YNDX,-1,2022-02-02 10:30:00+00:00,2022-02-02 10:30:00+00:00,3782.0,3725.27,186.8279120138253,10598.747448544313,0.010500000000000002,0,v3_short,tp,False,A,True,0.017874140666314094,0.0042930628335176284,0.00033632998413538,0.7396449704142022,0.2603550295857978
YNDX,-1,2022-02-03 20:40:00+00:00,2022-02-03 22:30:00+00:00,3585.6,3546.0,199.13049042008825,7885.567420635477,0.0077309236947790995,11,v3_short,opposite_signal,False,A,True,0.03200981485612305,0.005524270828117111,-0.00025429399955386963,0.890243902439025,0.10975609756097508
YNDX,-1,2022-02-04 11:00:00+00:00,2022-02-04 13:10:00+00:00,3618.4,3591.0,198.85092406718803,5448.51531944097,0.005300685385805898,13,v3_short,opposite_signal,False,A,True,0.015808091974353254,0.004808755250939647,0.00040294052619942313,0.7517482517482541,0.24825174825174587
YNDX,-1,2022-02-08 10:20:00+00:00,2022-02-08 10:30:00+00:00,3490.6,3479.0,207.2240143151097,2403.798566055254,0.0023262476365094645,1,v3_short,opposite_signal,False,A,True,0.016954977660671274,0.0037614083323786575,0.00010367739718180724,0.6385135135135108,0.3614864864864891
YNDX,-1,2022-02-08 12:30:00+00:00,2022-02-08 14:20:00+00:00,3494.2,3529.142,207.4920735403127,-7250.188033645608,-0.007000000000000002,11,v3_short,sl,False,A,True,0.014592274678111588,0.0038980055541529865,,0.6509803921568592,0.34901960784314084
YNDX,-1,2022-02-10 12:20:00+00:00,2022-02-10 15:40:00+00:00,3721.0,3758.21,193.48123400725845,-7199.436717410094,-0.007000000000000007,20,v3_short,sl,False,A,True,0.01263101316850309,0.004358554640736856,,0.851063829787234,0.14893617021276595
YNDX,-1,2022-10-20 13:20:00+00:00,2022-10-20 16:20:00+00:00,1940.4,1911.294,368.4312853220066,10723.560990582322,0.010499999999999999,18,v3_short,tp,False,A,True,0.01864441697569018,0.0043851904173288535,,0.7955801104972416,0.2044198895027584
YNDX,-1,2022-10-25 13:20:00+00:00,2022-10-25 17:00:00+00:00,1987.0,2006.8700000000001,363.56847445003984,-7224.105587322335,-0.007000000000000041,22,v3_short,sl,False,A,True,0.018922999496728692,0.004347305102212005,,0.7978723404255339,0.20212765957446616
