symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final,circuit_breaker_hit,circuit_breaker_time,calmar
SBER,110,-85506.93986959333,-0.0855069398695933,0.4909090909090909,208863.92433604796,294370.86420564126,0.7095264842180169,-0.1095010503415146,1000000.0,914493.0601304064,False,,-0.7808778053079138
GAZP,124,-63436.97594409556,-0.0634369759440955,0.5241935483870968,286225.0361917762,349662.01213587174,0.8185763001345278,-0.1054493822738547,1000000.0,936563.0240559046,False,,-0.6015869849227573
LKOH,121,13711.365562378478,0.0137113655623784,0.5371900826446281,302650.6792058263,288939.3136434479,1.0474541362664769,-0.0502055324444677,1000000.0,1013711.3655623788,False,,0.2731046738234383
GMKN,108,-21860.12991571921,-0.0218601299157192,0.5462962962962963,277319.56693325745,299179.69684897666,0.9269331102813636,-0.0826999843764095,1000000.0,978139.8700842814,False,,-0.2643305205019469
YNDX,41,-77534.31764444582,-0.0775343176444458,0.3414634146341463,51133.88946067761,128668.20710512344,0.3974088907518593,-0.0825805241583657,1000000.0,922465.6823555538,False,,-0.9388935034579978
ROSN,120,-12256.116494570031,-0.01225611649457,0.5,330317.84269110765,342573.9591856777,0.9642234438259588,-0.0583372768991107,1000000.0,987743.8835054296,False,,-0.21009065122744586
NVTK,92,-62663.62864232736,-0.0626636286423273,0.4782608695652174,210165.6191575445,272829.2477998719,0.7703192412556408,-0.0823468362600789,1000000.0,937336.3713576732,False,,-0.7609719023620357
NLMK,116,12294.790625794918,0.0122947906257949,0.5517241379310345,385972.4615768462,373677.6709510513,1.0329021281750748,-0.0772430698521765,1000000.0,1012294.790625794,False,,0.15917014496347684
MTSS,136,-10479.932380297189,-0.0104799323802971,0.5367647058823529,349517.9503209571,359997.8827012543,0.9708889055078304,-0.0884794228272516,1000000.0,989520.0676197032,False,,-0.1184448546952918
TATN,119,-88926.54244026175,-0.0889265424402617,0.4789915966386555,275959.17784622323,364885.720286485,0.7562893325328207,-0.1671150977431888,1000000.0,911073.4575597378,False,,-0.532127519542956
CHMF,109,-109112.01143008932,-0.1091120114300893,0.4128440366972477,232348.43215287264,341460.443582962,0.6804549004705454,-0.1121542150123496,1000000.0,890887.9885699105,False,,-0.9728748172155162
SNGS,122,18810.68334764941,0.0188106833476494,0.5,403174.7374886491,384364.0541409997,1.048939756839876,-0.0869491376425202,1000000.0,1018810.6833476492,False,,0.21634122957017723
PIKK,85,5140.658912791257,0.0051406589127912,0.5529411764705883,243083.25587788373,237942.59696509247,1.0216046179976148,-0.0480130781340797,1000000.0,1005140.6589127908,False,,0.10706788884552598
PLZL,127,16037.639940327055,0.016037639940327,0.5039370078740157,357300.8856984828,341263.2457581557,1.0469949229507491,-0.0735752433043682,1000000.0,1016037.6399403274,False,,0.21797603677614802
MGNT,110,-1023.6947849157452,-0.0010236947849157,0.5272727272727272,281388.40337690286,282412.0981618186,0.9963751737564404,-0.0642810477228531,1000000.0,998976.3052150843,False,,-0.01592529713157985
VKCO,69,-90817.3646110412,-0.0908173646110412,0.4347826086956521,170306.54390662952,261123.90851767076,0.6522058622414675,-0.1235306543131489,1000000.0,909182.6353889588,False,,-0.7351807947266283
OZON,51,-62171.26031849797,-0.0621712603184979,0.392156862745098,98077.15260267512,160248.4129211731,0.6120319746999286,-0.0719161408396815,1000000.0,937828.739681502,False,,-0.8644966149823404
