symbol,trades_base,pf_base,win_rate_base,calmar_base,total_return_base,max_drawdown_base,total_pnl_base,avg_trade_base,low_trades_base,rank_pf_base,rank_calmar_base,rank_avg_base,trades_curr,pf_curr,win_rate_curr,calmar_curr,total_return_curr,max_drawdown_curr,total_pnl_curr,avg_trade_curr,low_trades_curr,rank_pf_curr,rank_calmar_curr,rank_avg_curr,trades_delta,pf_delta,win_rate_delta,calmar_delta,total_return_delta,max_drawdown_delta,total_pnl_delta,avg_trade_delta,rank_pf_delta,rank_calmar_delta
LKOH,136,0.7165959986844828,0.47794117647058826,-0.8789339783118308,-0.10820636518516902,-0.12311091373779981,-98842.53201961331,-726.7833236736273,False,17,17,17.0,17,3.8437294282598375,0.6470588235294118,6.742065130261077,0.04719445591182758,-0.007000000000000006,44597.7227960608,2623.395458591812,True,1,2,1.5,-119,3.1271334295753546,0.16911764705882354,7.620999108572907,0.1554008210969966,0.1161109137377998,143440.2548156741,3350.178782265439,1,1
GMKN,255,0.948660175877933,0.5039370078740157,-0.3540277844341419,-0.038622729990732796,-0.1090951944703018,-34247.84265114926,-134.834026185627,False,13,12,12.5,39,2.1439892746641203,0.6052631578947368,5.79544566842339,0.08780721185353957,-0.015151071527071514,80192.5613705649,2110.330562383287,False,2,3,2.5,-216,1.1953290987861873,0.1013261500207211,6.149473452857532,0.12642994184427236,0.09394412294323029,114440.40402171416,2245.164588568914,2,2
VKCO,438,0.9538254887750696,0.47674418604651164,-0.45548358121145666,-0.06367100612052823,-0.13978770859573353,-53839.55168479389,-125.2082597320788,False,12,14,13.0,54,1.9608804863499314,0.6346153846153846,5.078551667463532,0.10590477986483937,-0.02085334300000008,101667.92808896939,1955.1524632494113,False,6,4,5.0,-384,1.007054997574862,0.15787119856887294,5.534035248674988,0.1695757859853676,0.11893436559573345,155507.47977376328,2080.36072298149,3,3
CHMF,284,0.9874827078689395,0.5177304964539007,-0.011264455054597897,-0.0018013421557594445,-0.1599138304541574,-8788.73276066911,-31.16571900946488,False,11,11,11.0,43,1.7806560362849009,0.627906976744186,3.61536647035611,0.0636382020763091,-0.017602144235751793,60133.27457787343,1398.4482459970566,False,8,5,6.5,-241,0.7931733284159613,0.11017648029028537,3.6266309254107076,0.06543954423206855,0.14231168621840562,68922.00733854255,1429.6139650065215,6,4
MTSS,168,1.110680897683094,0.5389221556886228,0.35134075667980774,0.04029903787409239,-0.11470072033464274,51222.17777177048,306.71962737587114,False,8,10,9.0,17,1.9947520748390895,0.7058823529411765,3.0239556078540777,0.03532522437950392,-0.011681793306672295,28128.975753649043,1654.6456325675908,True,5,7,6.0,-151,0.8840711771559955,0.16696019725255373,2.67261485117427,-0.004973813494588475,0.10301892702797044,-23093.20201812144,1347.9260051917197,5,5
SBER,123,1.2114767514216365,0.5245901639344263,1.174252056159371,0.060166634125410345,-0.05123826167458245,58995.64139343759,483.5708310937507,False,2,7,4.5,16,1.8963960498361039,0.7333333333333333,3.4938565110946067,0.02528179668413366,-0.00723607183175734,25281.796684133576,1685.4531122755716,True,7,6,6.5,-107,0.6849192984144674,0.20874316939890702,2.3196044549352357,-0.034884837441276684,0.04400218984282511,-33713.844709304016,1201.8822811818209,8,6
SNGS,280,1.3818604388422326,0.5304659498207885,4.620778623061714,0.294383473457849,-0.06370862953455914,293803.0324383612,1053.0574639367785,False,1,1,1.0,34,2.1294913387807646,0.6470588235294118,6.766553669182167,0.06587800742800987,-0.009735828702290061,63226.69955510335,1859.608810444216,False,3,1,2.0,-246,0.7476308999385319,0.11659287370862326,2.145775046120453,-0.22850546602983912,0.053972800832269074,-230576.33288325786,806.5513465074375,7,7
PLZL,259,1.0787489406135153,0.5405405405405406,0.9016928625841886,0.05837479629292486,-0.06473911318941439,50966.17271887434,196.78058964816347,False,9,8,8.5,30,1.3516864783764928,0.6333333333333333,1.7325850802946943,0.019119717880781595,-0.011035370267375,19242.27135999764,641.4090453332548,False,11,8,9.5,-229,0.27293753776297747,0.09279279279279273,0.8308922177105057,-0.03925507841214326,0.05370374292203939,-31723.901358876697,444.6284556850913,11,8
YNDX,156,0.7666931527143237,0.42948717948717946,-0.7008710657029873,-0.0968612043992998,-0.13820117442306756,-103183.17596850477,-661.4306151827229,False,16,16,16.0,17,1.2387888211526583,0.4117647058823529,0.09371111118898433,0.001990035694954706,-0.02123585634302705,9667.136806823268,568.6551062837216,True,12,14,13.0,-139,0.4720956684383346,-0.01772247360482654,0.7945821768919716,0.0988512400942545,0.11696531808004051,112850.31277532804,1230.0857214664445,9,9
PIKK,375,0.9142670463169404,0.4718498659517426,-0.4548863383734185,-0.0791590478708839,-0.1740194004373502,-85604.93453578773,-229.50384594044968,False,14,13,13.5,47,0.9326170635463019,0.5319148936170213,-0.1578302769797251,-0.0072624050698204545,-0.0460140171378739,-8638.476983585038,-183.7973826294689,False,15,15,15.0,-328,0.01835001722936147,0.06006502766527866,0.29705606139369345,0.07189664280106345,0.1280053832994763,76966.45755220269,45.70646331098078,13,10
NVTK,312,0.8950639742552158,0.5129032258064516,-0.6681796945774138,-0.07705750233415976,-0.1153245196756455,-84128.2228115954,-271.38136390837224,False,15,15,15.0,39,0.8013046874319749,0.48717948717948717,-0.4895018415121538,-0.02369132673569918,-0.04839885109014641,-19558.862186000883,-501.50928682053546,False,16,17,16.5,-273,-0.09375928682324086,-0.025723738626964476,0.17867785306525996,0.053366175598460575,0.06692566858549909,64569.36062559452,-230.12792291216323,16,11
