symbol,side,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_rel,bars_held
LKOH,1,2022-01-03 16:50:00+00:00,2022-01-04 06:50:00+00:00,6649.0,6688.0,105.27898932170253,4105.880583546398,0.004105880583546398,84
LKOH,1,2022-01-04 10:30:00+00:00,2022-01-04 18:30:00+00:00,6649.0,6719.0,105.71125227981389,7399.787659586972,0.007369529252519176,48
LKOH,1,2022-01-05 14:20:00+00:00,2022-01-05 22:20:00+00:00,6695.0,6565.0,105.75862102616779,-13748.620733401813,-0.013592233009708738,48
LKOH,1,2022-01-06 11:20:00+00:00,2022-01-06 19:20:00+00:00,6546.0,6666.5,106.69568182963825,12856.829660471409,0.012885731744576839,48
LKOH,1,2022-01-10 10:10:00+00:00,2022-01-10 18:10:00+00:00,6736.5,6652.0,105.01443093878751,-8873.719414327545,-0.008780524010984933,48
LKOH,1,2022-01-10 20:30:00+00:00,2022-01-11 06:50:00+00:00,6732.0,6799.0,104.16192965376005,6978.849286801924,0.0069667260843731425,62
LKOH,1,2022-01-11 10:10:00+00:00,2022-01-11 18:10:00+00:00,6795.0,6767.5,103.91512949667022,-2857.666061158431,-0.002832965415746873,48
LKOH,1,2022-01-11 18:20:00+00:00,2022-01-12 07:00:00+00:00,6769.5,6826.5,104.01107004757561,5928.63099271181,0.00589408375803235,76
LKOH,1,2022-01-12 10:40:00+00:00,2022-01-12 18:40:00+00:00,6798.5,6934.0,104.17783045994872,14116.096027323052,0.013951606972126204,48
LKOH,1,2022-01-13 10:50:00+00:00,2022-01-13 19:00:00+00:00,6897.5,6670.5,104.11515006902319,-23634.139065668263,-0.02303733236679956,49
LKOH,1,2022-01-14 10:40:00+00:00,2022-01-14 18:40:00+00:00,6719.5,6630.0,104.41109461345633,-9344.792967904341,-0.009323610387677653,48
LKOH,1,2022-01-17 10:50:00+00:00,2022-01-17 19:00:00+00:00,6648.0,6521.0,104.55008952731448,-13277.86136996894,-0.013372442839951863,49
