symbol,trades,pf,win_rate,calmar,total_return,max_drawdown
ALL,147,0.4562066776974709,0.36551724137931035,-0.9710070053225732,-0.6030896481167505,-0.6210971134203107
CHMF,3,0.0,0.0,-1.0,-0.01643716010245766,-0.01643716010245766
GAZP,3,0.0,0.0,-1.0,-0.02122795746717987,-0.02122795746717987
GMKN,5,0.2947888552589741,0.2,-0.6633382402462442,-0.019080480373702913,-0.028764330496942048
LKOH,5,0.14665399318662078,0.2,-0.8496292923614992,-0.052850368420682026,-0.06220403285977494
MGNT,17,0.5170341048571924,0.5882352941176471,-0.783951949139725,-0.05483316236499369,-0.06994454497519298
MTSS,3,0.0,0.0,-1.0,-0.027552006332519197,-0.027552006332519197
NLMK,20,1.212527145868319,0.4,0.9021616535247136,0.020723301622262102,-0.02297071876342438
NVTK,14,0.9105877197595863,0.5714285714285714,-0.2701858416560084,-0.009201549680907473,-0.03405637254901972
OZON,6,1.7937391002149845,0.5,0.47535005999129076,0.01021128716215669,-0.021481615385393615
PIKK,11,0.4826179711123838,0.4,-0.8732599539607393,-0.043563466783542726,-0.04988602372747908
PLZL,13,0.48171133876274785,0.3076923076923077,-0.7199118815543868,-0.035075630520250645,-0.04872211644085889
ROSN,10,0.8251240924203286,0.3,-0.1440966502215336,-0.005154870516714483,-0.035773701253911216
SBER,3,0.0,0.0,-1.0,-0.03570008359798105,-0.03570008359798105
SNGS,13,0.6196895361356566,0.38461538461538464,-0.6451761696514098,-0.04032024381489485,-0.06249493659488381
TATN,5,0.14985771642326057,0.2,-0.81544518700187,-0.056563156981546125,-0.06936475667912234
VKCO,5,0.0941740454202316,0.2,-0.5480094324316469,-0.008984296267845693,-0.016394419030308027
YNDX,11,0.27517215625763075,0.4,-0.8489602367150768,-0.07333726088220704,-0.08638480073692789
