symbol,trades,pf,win_rate,calmar,total_return,max_drawdown
LKOH,17,3.8437294282598375,0.6470588235294118,6.742065130261077,0.04719445591182758,-0.007000000000000006
GMKN,39,2.1439892746641203,0.6052631578947368,5.79544566842339,0.08780721185353957,-0.015151071527071514
SNGS,34,2.1294913387807646,0.6470588235294118,6.766553669182167,0.06587800742800987,-0.009735828702290061
ROSN,21,2.0965952323200363,0.75,1.3831770629417186,0.027968058807421592,-0.02022015803814703
MTSS,17,1.9947520748390895,0.7058823529411765,3.0239556078540777,0.03532522437950392,-0.011681793306672295
VKCO,54,1.9608804863499314,0.6346153846153846,5.078551667463532,0.10590477986483937,-0.02085334300000008
SBER,16,1.8963960498361039,0.7333333333333333,3.4938565110946067,0.02528179668413366,-0.00723607183175734
CHMF,43,1.7806560362849009,0.627906976744186,3.61536647035611,0.0636382020763091,-0.017602144235751793
MGNT,22,1.5006592215933157,0.5,1.2256870801710575,0.01543866515755088,-0.012595927139410046
OZON,33,1.411338377481296,0.53125,1.4104576210321245,0.02711159467602431,-0.019221842806014244
PLZL,30,1.3516864783764928,0.6333333333333333,1.7325850802946943,0.019119717880781595,-0.011035370267375
YNDX,17,1.2387888211526583,0.4117647058823529,0.09371111118898433,0.001990035694954706,-0.02123585634302705
GAZP,33,1.1855573386390548,0.5757575757575758,0.884400744207463,0.0204034612549695,-0.023070380015627
NLMK,35,0.9802877917270042,0.5142857142857142,0.24800234610579644,0.005129108118201886,-0.02068169192243785
PIKK,47,0.9326170635463019,0.5319148936170213,-0.1578302769797251,-0.0072624050698204545,-0.0460140171378739
NVTK,39,0.8013046874319749,0.48717948717948717,-0.4895018415121538,-0.02369132673569918,-0.04839885109014641
TATN,27,0.7531016707517063,0.4444444444444444,-0.25072129253577924,-0.012851192833766345,-0.051256886496516496
