symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final
SBER,5,-41669.56401831691,-0.04166956401831691,0.2,444.9794552522416,42114.543473569145,0.010565933251336519,-0.0416695640183168,1000000.0,958330.4359816832
GAZP,34,-226795.42774338892,-0.22679542774338893,0.5,152268.8998911112,379064.32763450017,0.40169672741649093,-0.2308099302779922,1000000.0,773204.5722566108
LKOH,11,-18681.783783121246,-0.018681783783121245,0.45454545454545453,30820.88086798433,49502.66465110557,0.6226105419821272,-0.023247486184883072,1000000.0,981318.2162168787
GMKN,10,-26424.180257313747,-0.026424180257313745,0.4,17012.338804586096,43436.51906189984,0.3916598100400821,-0.03479042991017064,1000000.0,973575.8197426863
YNDX,3,-45941.64227106518,-0.04594164227106518,0.0,0.0,45941.64227106518,0.0,-0.04594164227106527,1000000.0,954058.3577289347
ROSN,12,-46597.536008412615,-0.04659753600841261,0.4166666666666667,60236.50113105771,106834.03713947033,0.5638324895690294,-0.05433599015989895,1000000.0,953402.4639915875
NVTK,11,-59365.929397498425,-0.05936592939749843,0.45454545454545453,37564.72799577547,96930.6573932739,0.38754228028563975,-0.07299830723231715,1000000.0,940634.0706025017
NLMK,21,-19573.76229179779,-0.01957376229179779,0.42857142857142855,72616.36304593271,92190.1253377305,0.7876804894223648,-0.037960704839550004,1000000.0,980426.2377082021
MTSS,7,-26010.674238986034,-0.026010674238986033,0.2857142857142857,8724.904024811218,34735.57826379725,0.2511806182856799,-0.02825203590383931,1000000.0,973989.325761014
TATN,8,-13193.96601152675,-0.013193966011526751,0.375,33910.08953142073,47104.055542947484,0.7198974513033797,-0.030195751699277667,1000000.0,986806.0339884732
CHMF,23,33840.98737328477,0.03384098737328477,0.5217391304347826,134763.82279108628,100922.83541780151,1.3353154638708817,-0.031060482167756486,1000000.0,1033840.9873732848
SNGS,15,-41080.368872995685,-0.04108036887299568,0.5333333333333333,60593.01263299528,101673.38150599095,0.5959574840089775,-0.062270030384455284,1000000.0,958919.6311270044
PIKK,37,73718.54598251829,0.07371854598251829,0.5945945945945946,243098.58418382975,169380.03820131146,1.4352257017140495,-0.061101964931381286,1000000.0,1073718.5459825182
PLZL,3,-36160.524360058946,-0.03616052436005895,0.0,0.0,36160.524360058946,0.0,-0.03616052436005883,1000000.0,963839.4756399412
MGNT,13,-43331.82074640628,-0.04333182074640628,0.5384615384615384,65904.38631186791,109236.20705827419,0.6033199804961182,-0.06690928466185518,1000000.0,956668.1792535938
VKCO,6,-139619.26664202305,-0.13961926664202307,0.3333333333333333,3525.5886138859396,143144.855255909,0.02462951677573759,-0.1412665288383597,1000000.0,860380.7333579769
OZON,4,-110140.76516313196,-0.11014076516313195,0.25,1387.3596124201717,111528.12477555213,0.012439549353243427,-0.11137360952780374,1000000.0,889859.2348368681
