symbol,side,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_rel,bars_held
NVTK,1,2022-01-04 10:30:00+00:00,2022-01-05 10:30:00+00:00,1761.2,1798.2,397.4562798092209,14705.882352941175,0.014705882352941175,48
NVTK,1,2022-01-05 13:30:00+00:00,2022-01-06 13:30:00+00:00,1777.0,1718.8,399.71531662749516,-23263.431427720236,-0.022926280247608347,48
NVTK,1,2022-01-10 17:30:00+00:00,2022-01-11 17:30:00+00:00,1757.0,1774.6,394.9969924004864,6951.9470662485255,0.007011952191235024,48
NVTK,1,2022-01-12 08:30:00+00:00,2022-01-13 08:30:00+00:00,1766.4,1789.4,395.64995391419194,9099.948940026414,0.009114583333333332,48
NVTK,1,2022-01-13 10:00:00+00:00,2022-01-14 10:00:00+00:00,1784.6,1739.8,395.1843790496734,-17704.26018142535,-0.01757256528073516,48
NVTK,1,2022-02-01 09:00:00+00:00,2022-02-02 09:00:00+00:00,1631.2,1633.8,424.75052766371346,1104.3513719256164,0.0011157430112800001,48
NVTK,1,2022-02-02 11:30:00+00:00,2022-02-03 11:30:00+00:00,1625.2,1602.0,426.7943063533087,-9901.627907396782,-0.009992616293379296,48
NVTK,1,2022-02-03 18:00:00+00:00,2022-02-04 18:00:00+00:00,1613.6,1627.0,425.567034674157,5702.5982646337425,0.005813088745661914,48
NVTK,1,2022-02-10 11:30:00+00:00,2022-02-11 11:30:00+00:00,1647.4,1600.4,419.2587021582271,-19705.159001436674,-0.01997086317834163,48
NVTK,1,2022-02-15 16:30:00+00:00,2022-02-16 16:30:00+00:00,1614.0,1602.6,419.38858403621913,-4781.0298580129365,-0.0049442379182156534,48
NVTK,1,2022-02-18 11:30:00+00:00,2022-02-21 06:30:00+00:00,1542.2,1492.8,436.74390723242675,-21575.14901728192,-0.022422513292698783,134
