symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final,circuit_breaker_hit,circuit_breaker_time,entry_ai_mode,entry_ai_threshold,entry_ai_top_pct,entry_ai_trend_mode,entry_ai_trend_threshold,entry_ai_trend_top_pct,entry_ai_trend_slope_k,entry_ai_signal_bars,entry_ai_trend_bars,entry_ai_allowed,entry_ai_blocked,calmar
SBER,55,16420.624219494428,0.0164206242194944,0.4909090909090909,143698.52411348806,127277.89989399364,1.1290139469080709,-0.0368860157317306,1000000.0,1016420.6242194946,False,,top_pct,0.5332017554092312,0.3,top_pct,0.5275770083185182,0.3,0.00025,298,2542,90,208,0.445172076564746
GAZP,92,8334.154076949251,0.0083341540769492,0.5108695652173914,264966.2594343818,256632.10535743253,1.0324751030871278,-0.0694932759843037,1000000.0,1008334.1540769488,False,,top_pct,0.537764918776447,0.3,top_pct,0.5125223931309397,0.3,0.00025,548,3849,165,383,0.11992748879519823
LKOH,58,-44384.19858851386,-0.0443841985885138,0.4137931034482758,110324.83255692768,154709.03114544155,0.713111779836638,-0.0507439291096278,1000000.0,955615.801411486,False,,top_pct,0.545186562184751,0.3,top_pct,0.5344889128000766,0.3,0.00025,397,2442,120,277,-0.8746701204911752
GMKN,103,103497.7606752776,0.1034977606752775,0.5728155339805825,338475.40729454305,234977.64661926543,1.4404578995676776,-0.0280972317739276,1000000.0,1103497.7606752785,False,,top_pct,0.5416894757752001,0.3,top_pct,0.5353619816893669,0.3,0.00025,689,3862,207,482,3.6835572097645817
YNDX,58,-37702.196428505486,-0.0377021964285054,0.3793103448275862,140580.42989976634,178282.6263282718,0.7885256841623792,-0.0925236844369147,1000000.0,962297.803571494,False,,top_pct,0.5438389566615094,0.3,top_pct,0.5396312320798985,0.3,0.00025,318,2396,96,222,-0.40748697652882426
ROSN,83,70784.96739374132,0.0707849673937413,0.6385542168674698,261145.4684370384,190360.50104329703,1.3718469273078948,-0.0297882470363277,1000000.0,1070784.9673937417,False,,top_pct,0.5569714034655548,0.3,top_pct,0.5698960307994625,0.3,0.00025,554,3288,167,387,2.376271665379195
NVTK,139,19552.757291939382,0.0195527572919393,0.5107913669064749,372186.6983086273,352633.9410166879,1.055447746282069,-0.0622750538903962,1000000.0,1019552.7572919398,False,,top_pct,0.5514385938327858,0.3,top_pct,0.5464243061809972,0.3,0.00025,865,4253,260,605,0.3139741528983991
NLMK,115,-11855.423690671842,-0.0118554236906718,0.5043478260869565,286569.9190241729,298425.34271484474,0.9602734017733872,-0.0532121138845981,1000000.0,988144.576309328,False,,top_pct,0.5444795800566529,0.3,top_pct,0.529972390607582,0.3,0.00025,717,4528,216,501,-0.22279557839748357
MTSS,59,70651.77675259547,0.0706517767525954,0.5254237288135594,200791.77935479785,130140.00260220237,1.5428905435675766,-0.0293920227771542,1000000.0,1070651.7767525956,False,,top_pct,0.5566193800369093,0.3,top_pct,0.5471449506948275,0.3,0.00025,398,2644,120,278,2.4037738840999925
TATN,84,48650.38585088671,0.0486503858508867,0.5833333333333334,233947.14418224775,185296.75833136108,1.2625538961879006,-0.0338421962118109,1000000.0,1048650.3858508868,False,,top_pct,0.5500166191804376,0.3,top_pct,0.5471289298571639,0.3,0.00025,536,3191,161,375,1.4375658585038211
CHMF,117,24234.903345097828,0.0242349033450978,0.5299145299145299,311973.2389710209,287738.3356259231,1.0842254935977824,-0.0591276375416192,1000000.0,1024234.903345098,False,,top_pct,0.5565097860963709,0.3,top_pct,0.5638732130058937,0.3,0.00025,792,4464,238,554,0.4098743726745239
SNGS,116,213669.7054467959,0.2136697054467959,0.6120689655172413,440087.1771787274,226417.47173193152,1.943697956753848,-0.0407119619406499,1000000.0,1213669.7054467967,False,,top_pct,0.5401316928302347,0.3,top_pct,0.5324387102221352,0.3,0.00025,656,3528,197,459,5.248327402110579
PIKK,163,-79064.29327454614,-0.0790642932745461,0.4417177914110429,354865.3597013904,433929.6529759365,0.8177946753988471,-0.1023956678971435,1000000.0,920935.706725454,False,,top_pct,0.5321787367217662,0.3,top_pct,0.5424937352518492,0.3,0.00025,1164,6361,349,815,-0.7721449051337429
PLZL,102,24345.77886610997,0.0243457788661099,0.5490196078431373,269942.6150495397,245596.83618342972,1.0991290410920715,-0.0567130811189469,1000000.0,1024345.77886611,False,,top_pct,0.5513293009303386,0.3,top_pct,0.5274141019183771,0.3,0.00025,738,3944,222,516,0.4292797778884276
MGNT,83,29511.502960665614,0.0295115029606656,0.5421686746987951,231825.82491043067,202314.32194976503,1.145869569075754,-0.0497023518210653,1000000.0,1029511.502960665,False,,top_pct,0.5389669057489431,0.3,top_pct,0.5172773310731887,0.3,0.00025,542,3629,163,379,0.5937647189595919
VKCO,182,82353.15509030086,0.0823531550903008,0.5,544825.5847663855,462472.4296760846,1.1780714909815944,-0.0538466585794366,1000000.0,1082353.1550903015,False,,top_pct,0.5368486875444787,0.3,top_pct,0.5341650819757783,0.3,0.00025,1361,5847,408,953,1.52940140136663
OZON,99,14685.67690273495,0.0146856769027349,0.4848484848484848,253641.3613704396,238955.68446770465,1.0614577424071272,-0.0450402495618207,1000000.0,1014685.676902735,False,,top_pct,0.5409542914724351,0.3,top_pct,0.5136071269469833,0.3,0.00025,539,4099,162,377,0.32605673915234074
