symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final
SBER,3,-16262.410922606388,-0.01626241092260639,0.0,0.0,16262.410922606388,0.0,-0.01626241092260636,1000000.0,983737.5890773936
GAZP,18,-92082.52714876327,-0.09208252714876328,0.4444444444444444,47783.4121298602,139865.93927862347,0.34163723045302724,-0.10138051127857142,1000000.0,907917.4728512367
LKOH,12,-20350.725401987766,-0.020350725401987766,0.5,51386.07421044156,71736.79961242933,0.7163140046400712,-0.045088721907697596,1000000.0,979649.2745980121
GMKN,25,112.86691694464382,0.00011286691694464382,0.6,103276.85286836796,103163.98595142331,1.001094053471313,-0.04514967381491794,1000000.0,1000112.8669169446
YNDX,5,-40377.55139755656,-0.04037755139755656,0.2,2146.4606736096293,42524.01207116619,0.05047643834776017,-0.04037755139755644,1000000.0,959622.4486024436
ROSN,12,-24934.896072078773,-0.02493489607207877,0.5,47185.42660286771,72120.32267494648,0.654259782163443,-0.04617282577485107,1000000.0,975065.1039279209
NVTK,11,-43426.72773210202,-0.04342672773210202,0.5454545454545454,40635.70639017388,84062.4341222759,0.4833991165550336,-0.0635372411071223,1000000.0,956573.2722678981
NLMK,6,-17666.557694196963,-0.017666557694196963,0.5,6577.804515731965,24244.362209928928,0.27131274721832527,-0.024085929672960516,1000000.0,982333.4423058031
MTSS,3,-15516.87815505897,-0.01551687815505897,0.0,0.0,15516.87815505897,0.0,-0.015516878155058948,1000000.0,984483.121844941
TATN,26,-23735.04403566744,-0.02373504403566744,0.5769230769230769,98585.16781440347,122320.2118500709,0.8059597536933658,-0.04039186158127707,1000000.0,976264.9559643326
CHMF,7,-36554.760562252995,-0.03655476056225299,0.2857142857142857,3651.5152090709516,40206.27577132395,0.0908195334937064,-0.038554795163695456,1000000.0,963445.239437747
SNGS,5,-13471.994288669983,-0.013471994288669983,0.2,13840.790387475472,27312.784676145453,0.5067513456276684,-0.021189027208770455,1000000.0,986528.00571133
PIKK,10,68277.76051142324,0.06827776051142324,0.6,101070.77361919012,32793.01310776687,3.082082554812628,-0.028317192825168355,1000000.0,1068277.760511423
PLZL,6,-28385.989072286786,-0.028385989072286785,0.3333333333333333,9777.720165949962,38163.70923823675,0.25620466042523793,-0.028385989072286875,1000000.0,971614.0109277131
MGNT,13,-65128.50768019383,-0.06512850768019382,0.5384615384615384,27434.738161298184,92563.24584149201,0.2963891111627419,-0.07541466505558175,1000000.0,934871.4923198061
VKCO,10,-134352.63727950552,-0.13435263727950553,0.4,19544.409702926096,153897.04698243164,0.12699665189259426,-0.14009575062156063,1000000.0,865647.3627204944
OZON,19,-225936.99923973216,-0.22593699923973215,0.42105263157894735,56676.1695886492,282613.16882838134,0.20054327200536848,-0.2259369992397324,1000000.0,774063.0007602676
