symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final,circuit_breaker_hit,circuit_breaker_time,entry_ai_mode,entry_ai_threshold,entry_ai_top_pct,entry_ai_signal_bars,entry_ai_allowed,entry_ai_blocked
SBER,55,46956.64257748987,0.04695664257748987,0.5272727272727272,158863.7314642119,111907.088886722,1.419603825321752,-0.0156479782362564,1000000.0,1046956.6425774897,False,,top_pct,0.5230281296380264,0.3,298,90,208
GAZP,96,-911.0009975923882,-0.0009110009975923882,0.5,279303.4353902242,280214.4363878166,0.9967489148334543,-0.07065614445730874,1000000.0,999088.9990024073,False,,top_pct,0.5324369119676318,0.3,548,165,383
LKOH,61,-3705.087568720568,-0.003705087568720568,0.47540983606557374,145426.50224492225,149131.58981364281,0.9751555819035356,-0.034851137688925934,1000000.0,996294.9124312793,False,,top_pct,0.5370554415791621,0.3,397,119,278
GMKN,109,124313.24283411655,0.12431324283411654,0.5779816513761468,375757.3901757975,251444.14734168095,1.4943970426370294,-0.02248705513280746,1000000.0,1124313.2428341166,False,,top_pct,0.5378995983380608,0.3,689,207,482
YNDX,61,-53023.51975612167,-0.05302351975612167,0.39344262295081966,132282.35297874932,185305.872734871,0.7138594747507769,-0.09181544624658818,1000000.0,946976.4802438783,False,,top_pct,0.5425465591890859,0.3,318,96,222
ROSN,81,92699.24886535018,0.09269924886535018,0.6296296296296297,294511.42357340397,201812.1747080538,1.4593342745523212,-0.033256113444116,1000000.0,1092699.2488653504,False,,top_pct,0.5555757781703595,0.3,554,166,388
NVTK,146,36683.254604348185,0.03668325460434819,0.5205479452054794,419079.836014298,382396.58140994987,1.0959298706831841,-0.06571885405222687,1000000.0,1036683.2546043481,False,,top_pct,0.546210528168011,0.3,865,260,605
NLMK,122,-120004.99733747312,-0.12000499733747312,0.4262295081967213,246841.7071676301,366846.70450510323,0.6728742663795587,-0.13619889788962994,1000000.0,879995.0026625271,False,,top_pct,0.5366518857047795,0.3,717,215,502
MTSS,60,112909.7860702366,0.1129097860702366,0.5833333333333334,230024.58982074822,117114.80375051164,1.964094909049816,-0.028803389931551963,1000000.0,1112909.7860702365,False,,top_pct,0.5546647020035224,0.3,398,120,278
TATN,84,43918.10136278889,0.04391810136278889,0.5714285714285714,231565.86095459477,187647.75959180587,1.2340454341598581,-0.03230372837138372,1000000.0,1043918.1013627887,False,,top_pct,0.5465321788837485,0.3,536,161,375
CHMF,117,11297.600971357107,0.011297600971357107,0.5128205128205128,297242.70810593246,285945.1071345754,1.0395096845145178,-0.06499220879985552,1000000.0,1011297.6009713564,False,,top_pct,0.5515975062160404,0.3,792,238,554
SNGS,121,244300.66360283009,0.2443006636028301,0.6033057851239669,488883.73981716885,244583.07621433877,1.9988453305278522,-0.043383212979924354,1000000.0,1244300.6636028301,False,,top_pct,0.5262317956340715,0.3,656,197,459
PIKK,159,-80238.31271591393,-0.08023831271591393,0.44025157232704404,338968.7225589357,419207.0352748496,0.8085950235465243,-0.11955442158154025,1000000.0,919761.687284086,False,,top_pct,0.5337401282058214,0.3,1164,349,815
PLZL,102,11405.486279536019,0.011405486279536019,0.5196078431372549,256145.6373177288,244740.1510381928,1.0466024321352818,-0.0759282178180848,1000000.0,1011405.4862795359,False,,top_pct,0.5479162038578123,0.3,738,222,516
MGNT,80,55946.654992497184,0.05594665499249719,0.5625,243268.86371778903,187322.20872529186,1.2986653604674445,-0.037658863127842036,1000000.0,1055946.654992497,False,,top_pct,0.5403396676033974,0.3,542,163,379
VKCO,178,31070.863011825393,0.031070863011825392,0.47191011235955055,502055.51479508396,470984.6517832586,1.0659700117491808,-0.06397151234402258,1000000.0,1031070.863011826,False,,top_pct,0.5334991169830375,0.3,1361,409,952
OZON,103,-14470.368009271278,-0.014470368009271279,0.46601941747572817,263056.3385574181,277526.70656668936,0.9478595476871915,-0.054634089479417045,1000000.0,985529.6319907288,False,,top_pct,0.5406879009278784,0.3,539,162,377
