symbol,interval,trade_id,trade_uid,dt,entry_dt,exit_dt,direction,entry_price,exit_price,qty,trade_pnl_abs,trade_pnl_rel,trade_bars_in_trade,trade_exit_reason,bars_held,time_since_entry_min,pnl_abs,pnl_rel,mae_abs,mfe_abs,mae_rel,mfe_rel,y_exit,begin,open,high,low,close,volume,v3_signal,v3_L,v3_U,v3_M,v3_segment_quality,v3_breakout,ma_close,std_close,band_lower,band_upper,dist_from_ma,band_pos,ret_1,ret_3,ret_6,ret_mean_20,ret_vol_20,atr_14,atr_14_pct,bar_range,bar_range_pct,bar_body,bar_body_pct,hour,day_of_week,z_ma,band_width_pct,edge_proximity,range_vs_atr,body_vs_range
SBER,30min,0,SBER:0,2022-01-04 21:30:00,2022-01-04 21:30:00,2022-01-05 21:30:00,1,303.91,293.03,2303.313480964759,-25060.050672896698,-0.0250600506728966,48,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022-01-04 21:30:00+00:00,304.52,304.57,303.91,303.91,533810,1.0,303.152,308.914,306.033,ROLLING,False,304.6937406990909,1.2181839760679183,302.866464734989,306.52101666319277,-0.002572224481187692,0.2855439696882162,-0.002003152502298544,-0.0029853684141459835,-0.004291986108380885,0.00015325077913350138,0.002636658256164393,1.0128571428571433,0.003332753587763296,0.6599999999999682,0.0021716955677666683,0.6099999999999568,0.002007173176269148,21,1,-0.002111523818832666,0.011994181172933683,0.2855439696882162,0.6516220028208428,0.9242424242424032
SBER,30min,0,SBER:0,2022-01-04 22:00:00,2022-01-04 21:30:00,2022-01-05 21:30:00,1,303.91,293.03,2303.313480964759,-25060.050672896698,-0.0250600506728966,48,,1,30.0,667.9609094796963,0.0009542298706852805,0.0,667.9609094796963,0.0,0.0009542298706852805,0,2022-01-04 22:00:00+00:00,303.91,304.33,303.7,304.2,344760,1.0,303.16,308.914,306.03700000000003,ROLLING,False,304.64671777536796,1.168226246627887,302.89437840542615,306.39905714530977,-0.0014663469169471262,0.3725367405907205,0.0009542298706852748,-0.0011164379063506313,0.0004933399111988201,-0.0001604238659460966,0.0020610797668392565,0.9064285714285713,0.00297971259509721,0.6299999999999955,0.0020710059171597487,0.2899999999999636,0.0009533201840892953,22,1,-0.0012551908683611343,0.011504075164426357,0.3725367405907205,0.695035460992903,0.46031746031740584
SBER,30min,0,SBER:0,2022-01-04 22:30:00,2022-01-04 21:30:00,2022-01-05 21:30:00,1,303.91,293.03,2303.313480964759,-25060.050672896698,-0.0250600506728966,48,,2,60.0,1474.1206278174143,0.002105886611167735,0.0,1474.1206278174143,0.0,0.002105886611167735,1,2022-01-04 22:30:00+00:00,304.1,304.76,304.08,304.55,217650,1.0,303.24,308.914,306.077,ROLLING,False,304.63750655866625,1.1115863372343717,302.9701270528147,306.3048860645178,-0.00028724814503227524,0.473759255658614,0.0011505588428666336,9.851569683450023e-05,0.0008544480594170345,-0.00016842887049170474,0.0020553685257651377,0.8399999999999993,0.002758167788540467,0.6800000000000068,0.0022328024954851645,0.44999999999998863,0.0014775898867180712,22,1,-0.0002584128064644524,0.010946646226770223,0.473759255658614,0.8095238095238184,0.6617647058823295
SBER,30min,0,SBER:0,2022-01-04 23:00:00,2022-01-04 21:30:00,2022-01-05 21:30:00,1,303.91,293.03,2303.313480964759,-25060.050672896698,-0.0250600506728966,48,,3,90.0,1474.1206278174143,0.002105886611167735,0.0,1474.1206278174143,0.0,0.002105886611167735,1,2022-01-04 23:00:00+00:00,304.5,304.95,304.47,304.55,260050,0.0,303.24,308.914,306.077,ROLLING,False,304.62917260069804,1.0576577597944026,303.04268596100644,306.21565924038964,-0.0002598982888674542,0.47504781990681616,0.0,0.00210588661116784,-0.0008857686503509488,-0.00023387603826552917,0.0020264868318344976,0.8128571428571385,0.002669043319182855,0.47999999999996135,0.0015760958791658556,0.05000000000001137,0.00016417665407982717,23,1,-0.00024573004496083464,0.010415854963248287,0.47504781990681616,0.5905096660807991,0.10416666666669874
SBER,30min,0,SBER:0,2022-01-04 23:30:00,2022-01-04 21:30:00,2022-01-05 21:30:00,1,303.91,293.03,2303.313480964759,-25060.050672896698,-0.0250600506728966,48,,4,120.0,760.0934487183338,0.0010858477838833341,0.0,1474.1206278174143,0.0,0.002105886611167735,0,2022-01-04 23:30:00+00:00,304.67,304.67,304.02,304.24,377150,1.0,303.37,308.914,306.142,ROLLING,False,304.5921085434887,1.0128376138277855,303.072852122747,306.11136496423035,-0.0011560002167239198,0.3841181321725873,-0.0010178952552947207,0.00013149243918486597,-0.0009850922703094067,-0.0002864048413583786,0.002032819882129423,0.8114285714285684,0.0026670673528417315,0.6500000000000341,0.002136471206942,0.4300000000000068,0.001413357875361579,23,1,-0.0011413480314530226,0.00997567814876435,0.3841181321725873,0.8010563380282141,0.6615384615384373
SBER,30min,0,SBER:0,2022-01-05 00:00:00,2022-01-04 21:30:00,2022-01-05 21:30:00,1,303.91,293.03,2303.313480964759,-25060.050672896698,-0.0250600506728966,48,,5,150.0,,,,,,,0,2022-01-05 00:00:00+00:00,,,,,0,0.0,303.37,308.914,306.142,ROLLING,False,,,,,,,,,,,,,,,,,,0,2,,,,,
SBER,30min,0,SBER:0,2022-01-05 00:30:00,2022-01-04 21:30:00,2022-01-05 21:30:00,1,303.91,293.03,2303.313480964759,-25060.050672896698,-0.0250600506728966,48,,6,180.0,,,,,,,0,2022-01-05 00:30:00+00:00,,,,,0,0.0,,,,,False,,,,,,,,,,,,,,,,,,0,2,,,,,
SBER,30min,0,SBER:0,2022-01-05 01:00:00,2022-01-04 21:30:00,2022-01-05 21:30:00,1,303.91,293.03,2303.313480964759,-25060.050672896698,-0.0250600506728966,48,,7,210.0,,,,,,,0,2022-01-05 01:00:00+00:00,,,,,0,0.0,,,,,False,,,,,,,,,,,,,,,,,,1,2,,,,,
SBER,30min,0,SBER:0,2022-01-05 01:30:00,2022-01-04 21:30:00,2022-01-05 21:30:00,1,303.91,293.03,2303.313480964759,-25060.050672896698,-0.0250600506728966,48,,8,240.0,,,,,,,0,2022-01-05 01:30:00+00:00,,,,,0,0.0,,,,,False,,,,,,,,,,,,,,,,,,1,2,,,,,
SBER,30min,0,SBER:0,2022-01-05 02:00:00,2022-01-04 21:30:00,2022-01-05 21:30:00,1,303.91,293.03,2303.313480964759,-25060.050672896698,-0.0250600506728966,48,,9,270.0,,,,,,,0,2022-01-05 02:00:00+00:00,,,,,0,0.0,,,,,False,,,,,,,,,,,,,,,,,,2,2,,,,,
