symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final,circuit_breaker_hit,circuit_breaker_time
SBER,110,-85506.93986959333,-0.08550693986959333,0.4909090909090909,208863.92433604793,294370.86420564126,0.7095264842180169,-0.10950105034151467,1000000.0,914493.0601304065,False,
GAZP,124,-63436.97594409556,-0.06343697594409556,0.5241935483870968,286225.0361917762,349662.01213587174,0.8185763001345278,-0.10544938227385474,1000000.0,936563.0240559046,False,
LKOH,121,13711.365562378478,0.013711365562378479,0.5371900826446281,302650.6792058263,288939.3136434479,1.0474541362664767,-0.050205532444467724,1000000.0,1013711.3655623787,False,
GMKN,108,-21860.12991571921,-0.02186012991571921,0.5462962962962963,277319.56693325745,299179.69684897666,0.9269331102813637,-0.08269998437640957,1000000.0,978139.8700842814,False,
YNDX,41,-77534.31764444582,-0.07753431764444582,0.34146341463414637,51133.88946067761,128668.20710512344,0.3974088907518593,-0.08258052415836578,1000000.0,922465.6823555538,False,
ROSN,120,-12256.116494570031,-0.012256116494570032,0.5,330317.84269110765,342573.9591856777,0.9642234438259589,-0.05833727689911078,1000000.0,987743.8835054296,False,
NVTK,92,-62663.62864232736,-0.06266362864232736,0.4782608695652174,210165.6191575445,272829.2477998719,0.7703192412556408,-0.08234683626007894,1000000.0,937336.3713576733,False,
NLMK,116,12294.790625794918,0.012294790625794918,0.5517241379310345,385972.4615768462,373677.6709510513,1.0329021281750748,-0.07724306985217656,1000000.0,1012294.7906257941,False,
MTSS,136,-10479.932380297189,-0.010479932380297189,0.5367647058823529,349517.9503209571,359997.8827012543,0.9708889055078305,-0.08847942282725163,1000000.0,989520.0676197032,False,
TATN,119,-88926.54244026175,-0.08892654244026175,0.4789915966386555,275959.17784622323,364885.720286485,0.7562893325328207,-0.16711509774318883,1000000.0,911073.4575597378,False,
CHMF,109,-109112.01143008932,-0.10911201143008932,0.41284403669724773,232348.43215287264,341460.443582962,0.6804549004705454,-0.11215421501234965,1000000.0,890887.9885699105,False,
SNGS,122,18810.683347649414,0.018810683347649414,0.5,403174.7374886491,384364.0541409997,1.048939756839876,-0.08694913764252027,1000000.0,1018810.6833476493,False,
PIKK,85,5140.658912791257,0.005140658912791257,0.5529411764705883,243083.25587788373,237942.59696509247,1.0216046179976148,-0.048013078134079734,1000000.0,1005140.6589127907,False,
PLZL,127,16037.639940327055,0.016037639940327055,0.5039370078740157,357300.8856984828,341263.2457581557,1.0469949229507491,-0.07357524330436828,1000000.0,1016037.6399403274,False,
MGNT,110,-1023.6947849157452,-0.0010236947849157452,0.5272727272727272,281388.40337690286,282412.0981618186,0.9963751737564404,-0.06428104772285313,1000000.0,998976.3052150845,False,
VKCO,69,-90817.36461104121,-0.0908173646110412,0.43478260869565216,170306.54390662952,261123.90851767073,0.6522058622414675,-0.12353065431314893,1000000.0,909182.6353889588,False,
OZON,51,-62171.26031849797,-0.06217126031849797,0.39215686274509803,98077.15260267512,160248.4129211731,0.6120319746999286,-0.0719161408396815,1000000.0,937828.7396815019,False,
