symbol,n_bars,f1,precision,recall,auc,target_rate,trades,pf,win_rate,calmar,total_return,max_drawdown
PIKK,49,0.912280701754386,0.8666666666666667,0.9629629629629629,0.5,0.5510204081632653,1,0.0,0.0,0.0,0.0,0.0
PLZL,49,0.878048780487805,0.782608695652174,1.0,0.2903225806451613,0.3673469387755102,1,0.0,0.0,0.0,0.0,0.0
MTSS,49,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.3942652329749104,0.6326530612244898,1,0.0,0.0,0.0,0.0,0.0
GAZP,49,0.8421052631578947,0.8571428571428571,0.8275862068965517,0.4982758620689655,0.5918367346938775,1,0.0,0.0,0.0,0.0,0.0
YNDX,49,0.8260869565217391,0.8636363636363636,0.7916666666666666,0.29833333333333334,0.4897959183673469,1,0.0,0.0,0.0,0.0,0.0
MGNT,85,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.15918803418803418,0.15294117647058825,1,0.0,0.0,0.0,0.0,0.0
GMKN,62,0.6666666666666666,0.5,1.0,0.05,0.03225806451612903,1,0.0,0.0,0.0,0.0,0.0
SNGS,49,0.6363636363636365,0.7,0.5833333333333334,0.28603603603603606,0.24489795918367346,1,0.0,0.0,0.0,0.0,0.0
LKOH,49,0.5517241379310345,0.8,0.42105263157894735,0.6877192982456141,0.3877551020408163,1,0.0,0.0,0.0,0.0,0.0
ROSN,49,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.29069767441860467,0.12244897959183673,1,0.0,0.0,0.0,0.0,0.0
NVTK,87,0.5,0.5,0.5,0.13786008230452676,0.06896551724137931,1,0.0,0.0,0.0,0.0,0.0
TATN,95,0.5,1.0,0.3333333333333333,0.04868913857677903,0.06315789473684211,1,0.0,0.0,0.0,0.0,0.0
VKCO,87,0.5,0.625,0.4166666666666667,0.16333333333333333,0.13793103448275862,1,0.0,0.0,0.0,0.0,0.0
OZON,96,0.4666666666666667,0.5384615384615384,0.4117647058823529,0.08190618019359643,0.17708333333333334,1,0.0,0.0,0.0,0.0,0.0
CHMF,89,0.30769230769230765,0.36363636363636365,0.26666666666666666,0.12612612612612611,0.16853932584269662,1,0.0,0.0,0.0,0.0,0.0
NLMK,64,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0
SBER,88,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0
