symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final,circuit_breaker_hit,circuit_breaker_time
SBER,123,58995.64139343758,0.05899564139343758,0.5203252032520326,337965.50922450575,278969.8678310682,1.2114767514216365,-0.05123826167458242,1000000.0,1058995.641393438,True,2022-02-11 21:30:00+00:00
GAZP,214,94086.31388066574,0.09408631388066574,0.5280373831775701,620390.6653013595,526304.3514206938,1.178767881410616,-0.06780462011696245,1000000.0,1094086.3138806652,False,
LKOH,136,-98842.5320196133,-0.0988425320196133,0.47794117647058826,249926.47463096894,348769.00665058225,0.7165959986844825,-0.12311091373779905,1000000.0,901157.4679803874,True,2025-04-08 19:50:00+00:00
GMKN,255,-34247.84265114926,-0.03424784265114926,0.5019607843137255,632833.5748800192,667081.4175311684,0.948660175877933,-0.10909519447030228,1000000.0,965752.1573488506,False,
YNDX,156,-103183.17596850477,-0.10318317596850478,0.42948717948717946,339080.6374126793,442263.8133811841,0.7666931527143236,-0.13820117442306729,1000000.0,896816.8240314955,False,
ROSN,209,67067.2183967403,0.06706721839674029,0.5502392344497608,605197.1541654564,538129.9357687162,1.124630157028776,-0.05898490403369394,1000000.0,1067067.2183967396,True,2025-03-28 23:50:00+00:00
NVTK,312,-84128.2228115954,-0.0841282228115954,0.5096153846153846,717581.4113630812,801709.6341746765,0.8950639742552159,-0.11635750585196877,1000000.0,915871.7771884043,True,2025-02-12 20:00:00+00:00
NLMK,288,35993.283484266554,0.03599328348426655,0.4861111111111111,776467.3580631771,740474.0745789105,1.048608431706046,-0.0989910880877998,1000000.0,1035993.2834842673,False,
MTSS,168,51222.17777177049,0.05122217777177049,0.5357142857142857,514013.66974567744,462791.491973907,1.110680897683094,-0.11470072033464286,1000000.0,1051222.1777717713,False,
TATN,199,84549.11965080406,0.08454911965080406,0.5175879396984925,545352.1923255286,460803.07267472456,1.183482109092806,-0.046814859483592854,1000000.0,1084549.119650804,False,
CHMF,284,-8788.732760669085,-0.008788732760669086,0.5140845070422535,693338.5858836496,702127.3186443187,0.9874827078689395,-0.15991383045415772,1000000.0,991211.2672393307,False,
SNGS,280,293803.0324383612,0.2938030324383612,0.5285714285714286,1063202.0131998828,769398.9807615215,1.3818604388422329,-0.06370862953455897,1000000.0,1293803.032438362,False,
PIKK,375,-85604.93453578772,-0.08560493453578771,0.4693333333333333,912901.8339613634,998506.7684971511,0.9142670463169404,-0.1740194004373513,1000000.0,914395.0654642109,True,2025-07-18 21:00:00+00:00
PLZL,259,50966.17271887434,0.05096617271887434,0.5405405405405406,698164.3740128671,647198.2012939928,1.078748940613515,-0.06473911318941443,1000000.0,1050966.172718874,False,
MGNT,223,94006.01555838046,0.09400601555838047,0.5246636771300448,656978.5102365891,562972.4946782087,1.166981542521209,-0.054345242165150076,1000000.0,1094006.0155583816,True,2025-03-05 21:30:00+00:00
VKCO,438,-53839.5516847939,-0.0538395516847939,0.4680365296803653,1112161.9988789966,1166001.5505637904,0.9538254887750698,-0.13978770859573347,1000000.0,946160.4483152063,False,
OZON,245,115796.21319100432,0.11579621319100432,0.5061224489795918,748568.7502805619,632772.5370895575,1.1829981650651433,-0.07632451265434836,1000000.0,1115796.213191004,False,
