symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final,circuit_breaker_hit,circuit_breaker_time,calmar
SBER,228,-120400.0793961104,-0.1204000793961103,0.5350877192982456,496928.3182413016,617328.397637412,0.8049659146462473,-0.1615760630232859,1000000.0,879599.9206038896,False,,-0.7451603730359402
GAZP,316,-26302.89367624293,-0.0263028936762429,0.5474683544303798,843576.0191039508,869878.9127801937,0.9697625804122816,-0.0991141220567396,1000000.0,973697.1063237574,False,,-0.2653798785725545
LKOH,258,-43511.71493398714,-0.0435117149339871,0.5155038759689923,617011.0219696363,660522.7369036234,0.9341253336138589,-0.1023926696985187,1000000.0,956488.2850660132,False,,-0.4249495111525213
GMKN,361,-18017.55198436349,-0.0180175519843634,0.5207756232686981,1064305.1886300428,1082322.7406144063,0.9833528842107342,-0.0958123995828679,1000000.0,981982.4480156364,False,,-0.18805031564604605
YNDX,191,3366.9704226615304,0.0033669704226615,0.5497382198952879,490121.5850946746,486754.614672013,1.0069171823361764,-0.0793842905073997,1000000.0,1003366.9704226616,False,,0.042413560682357576
ROSN,326,-126713.1326827076,-0.1267131326827076,0.5122699386503068,848314.2745055924,975027.4071883,0.8700414657592939,-0.2035355213833847,1000000.0,873286.8673172923,False,,-0.6225602873713011
NVTK,331,-168532.16983586896,-0.1685321698358689,0.4894259818731117,787636.993720557,956169.163556426,0.8237423080984734,-0.1953463245785319,1000000.0,831467.8301641308,False,,-0.862735299471256
NLMK,390,-90941.01128476822,-0.0909410112847682,0.5,1087621.3204731722,1178562.3317579404,0.9228373342382996,-0.1806509996269458,1000000.0,909058.9887152306,False,,-0.503407185526603
MTSS,334,-218924.40105874892,-0.2189244010587489,0.4850299401197604,711255.8886222589,930180.289681008,0.7646430444856814,-0.2644947328311845,1000000.0,781075.5989412507,False,,-0.8277079800998488
TATN,369,14296.890080890447,0.0142968900808904,0.5338753387533876,1051078.6535528349,1036781.7634719444,1.013789681285494,-0.0917035702290751,1000000.0,1014296.8900808902,False,,0.1559033093823592
CHMF,391,-169634.75793951054,-0.1696347579395105,0.5063938618925832,952554.3851442438,1122189.1430837545,0.8488358589236058,-0.2167158437669183,1000000.0,830365.2420604895,False,,-0.7827519898450787
SNGS,423,-143604.31399020448,-0.1436043139902044,0.5130023640661938,1043293.8280021264,1186898.1419923308,0.8790087296377852,-0.2784605924232241,1000000.0,856395.6860097946,False,,-0.5157078520178698
PIKK,336,-267600.1082820847,-0.2676001082820847,0.4583333333333333,746789.2072565883,1014389.315538673,0.7361958528319272,-0.2989015340842411,1000000.0,732399.8917179153,False,,-0.8952784705570145
PLZL,386,-92785.89211446648,-0.0927858921144664,0.5414507772020726,891525.7047121052,984311.5968265716,0.9057352443945508,-0.1764314309557846,1000000.0,907214.1078855342,False,,-0.5259034153484786
MGNT,382,-270481.83670065866,-0.2704818367006587,0.4973821989528796,724911.3250963169,995393.1617969756,0.728266330248482,-0.2967417774150396,1000000.0,729518.163299342,False,,-0.9115057510838714
VKCO,326,-328602.90164989163,-0.3286029016498916,0.4263803680981595,582142.734765459,910745.6364153506,0.6391935481093752,-0.3707356726729502,1000000.0,671397.0983501085,False,,-0.886353609515676
OZON,299,-20290.790050455103,-0.0202907900504551,0.5351170568561873,854539.649415729,874830.4394661841,0.9768060310489008,-0.0706813040996121,1000000.0,979709.2099495452,False,,-0.2870743587562989
