symbol,side,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_rel,bars_held
MGNT,1,2022-01-03 17:50:00+00:00,2022-01-04 06:50:00+00:00,5510.5,5519.0,127.03021504400688,1079.7568278740584,0.0010797568278740584,78
MGNT,1,2022-01-04 10:20:00+00:00,2022-01-04 18:20:00+00:00,5511.5,5553.0,127.14430368856243,5276.4886030753405,0.005270797423568901,48
MGNT,1,2022-01-04 21:50:00+00:00,2022-01-05 06:50:00+00:00,5545.5,5570.0,127.03081269527809,3112.254911034313,0.0030925976016590024,54
MGNT,1,2022-01-05 10:10:00+00:00,2022-01-05 18:10:00+00:00,5545.0,5558.0,127.43515784299164,1656.6570519588913,0.001641118124436429,48
MGNT,1,2022-01-05 18:20:00+00:00,2022-01-06 06:50:00+00:00,5550.0,5398.0,127.52929913076755,-19384.45346787667,-0.01917117117117117,75
MGNT,1,2022-01-10 10:10:00+00:00,2022-01-10 18:10:00+00:00,5544.0,5455.0,125.21978584925077,-11144.560940583318,-0.011237373737373737,48
MGNT,1,2022-01-10 20:00:00+00:00,2022-01-11 06:50:00+00:00,5452.0,5473.0,125.9019259152307,2643.9404442198447,0.002696258253851797,65
MGNT,1,2022-01-11 10:10:00+00:00,2022-01-11 18:10:00+00:00,5478.0,5497.0,125.64221584534351,2387.2021010615267,0.0024278933917488135,48
MGNT,1,2022-01-11 20:50:00+00:00,2022-01-12 06:50:00+00:00,5510.0,5502.0,125.21580759918962,-1001.7264607935169,-0.0010163339382940108,60
MGNT,1,2022-01-12 10:10:00+00:00,2022-01-12 18:10:00+00:00,5500.0,5590.0,125.31598024526897,11278.438222074208,0.011454545454545455,48
MGNT,1,2022-01-13 10:10:00+00:00,2022-01-13 18:10:00+00:00,5597.0,5293.5,124.55472540725948,-37802.35916110325,-0.03795783455422548,48
MGNT,1,2022-01-14 10:10:00+00:00,2022-01-14 18:10:00+00:00,5374.0,5210.5,124.7992457557981,-20404.67668107299,-0.021296985485671754,48
MGNT,1,2022-01-17 11:00:00+00:00,2022-01-17 19:00:00+00:00,5227.0,5204.5,125.57640578054485,-2825.469130062259,-0.0030132006887315863,48
