symbol,side,entry_time,exit_time,entry_price,exit_price,pnl,pnl_rel,bars_held,entry_reason,exit_reason,entry_atr_pct,entry_slope_pct_per_bar,entry_geo_class,entry_geo_h_pct,entry_dist_L_pct,entry_dist_U_pct,trend
CHMF,1,2024-12-16 23:10:00+00:00,2024-12-17 09:50:00+00:00,1056.0,1012.0,-30387.13944225764,-0.0291666666666666,64,v3_long,gap_sl,0.0033704390847248,-3.59848484848502e-05,A,0.0168560606060607,0.0224719101123644,0.9775280898876356,False
NVTK,1,2022-10-05 22:10:00+00:00,2022-10-06 09:50:00+00:00,995.0,959.0,-25126.19265527112,-0.0253266331658291,70,v3_long,gap_sl,0.0032277380405538,1.0048231511251734e-05,A,0.007837620578778,0.0,1.0,False
GAZP,-1,2025-02-14 23:40:00+00:00,2025-02-17 06:50:00+00:00,167.9,172.02,-18080.13682718768,-0.0171768910065515,331,v3_short,gap_sl,0.0060537530472421,-0.0002853738456955,A,0.0125111706881143,0.90476190476191,0.09523809523809,True
GAZP,-1,2024-08-23 22:20:00+00:00,2024-08-26 09:50:00+00:00,116.94,119.5,-16105.344110010215,-0.0153240978279459,357,v3_short,gap_sl,0.0035476524940886,-0.0001598973920478,A,0.0130825138948268,0.9934640522875784,0.0065359477124216,False
ROSN,-1,2025-06-13 20:40:00+00:00,2025-06-14 09:50:00+00:00,440.4,446.8,-10633.238378873186,-0.010172570390554,79,v3_short,gap_sl,0.003380507516358,0.0004995458673932,A,0.0086285195277019,0.8684210526315774,0.1315789473684226,True
YNDX,-1,2023-02-01 23:10:00+00:00,2023-02-02 09:50:00+00:00,2070.0,2099.8,-10490.131097173362,-0.0100772946859904,64,v3_short,gap_sl,0.0041013506852016,-0.000383574879227,A,0.0109178743961352,0.9734513274336324,0.0265486725663677,True
OZON,-1,2022-11-11 23:30:00+00:00,2022-11-14 09:50:00+00:00,1449.0,1469.0,-9684.27024934164,-0.0096618357487922,350,v3_short,gap_sl,0.0033168546921874,-0.0002173913043478,A,0.0151828847481021,1.0,0.0,False
ROSN,1,2022-01-20 23:30:00+00:00,2022-01-21 06:50:00+00:00,564.2,556.5,-9690.184508602671,-0.0095533498759305,44,v3_long,gap_sl,0.0044206843204869,0.0001576337229897,A,0.0157633722989726,0.0224719101123647,0.9775280898876352,False
MGNT,-1,2024-06-19 21:40:00+00:00,2024-06-20 09:50:00+00:00,6526.5,6615.0,-9731.061240877783,-0.0094920707883245,73,v3_short,gap_sl,0.0032451530025488,-0.0001157709116,A,0.0095836847351069,0.952,0.048,False
PIKK,-1,2022-02-04 20:50:00+00:00,2022-02-07 06:50:00+00:00,936.5,949.0,-9358.981640708207,-0.0093432995194874,348,v3_short,gap_sl,0.0046470366422762,-0.0003620634412047,A,0.0169817366228772,0.7798742138364777,0.2201257861635223,True
