name,n,n_valid,missing_rate,unique,mean,std,auc,auc_abs,corr
volume,4744,4744,0.0,2053,467287.3857504216,1915590.0938423062,0.8403970444993354,0.8403970444993354,0.19958888179822157
bars_held,4744,4744,0.0,240,43.44266441821248,39.99246979267989,0.2681793965224972,0.7318206034775028,-0.29643111293602387
time_since_entry_min,4744,4744,0.0,240,1303.2799325463743,1199.7740937803967,0.2681793965224972,0.7318206034775028,-0.29643111293602376
entry_price,4744,4744,0.0,72,1150.012870994941,2193.6725818473064,0.6211383951394607,0.6211383951394607,0.09360172919276252
qty,4744,4744,0.0,72,2039.8194827537884,935.2150646393254,0.4097668211147167,0.5902331788852833,-0.1309652047560848
v3_signal,4744,4744,0.0,2,0.12204890387858347,0.327342281015789,0.5779750084758076,0.5779750084758076,0.19359911737205215
mae_abs,4744,2062,0.565345699831366,299,-6559.356169380795,13691.657958147613,0.44206367211131276,0.5579363278886873,-0.028470017862601376
mae_rel,4744,2062,0.565345699831366,299,-0.00967730580341399,0.020500457090458373,0.446332425892317,0.5536675741076831,-0.025921479200810688
mfe_abs,4744,2062,0.565345699831366,303,3933.5289911880736,4623.787859213002,0.5525006616757411,0.5525006616757411,0.005267334780836055
mfe_rel,4744,2062,0.565345699831366,303,0.005815910008168982,0.0069139627896572945,0.5503492702661827,0.5503492702661827,-0.00344307046411981
band_width_pct,4744,2062,0.565345699831366,2062,0.019572716514256207,0.02670701210892342,0.527929333030853,0.527929333030853,0.006250238962699101
body_vs_range,4744,1992,0.5801011804384486,1857,0.43624736393894337,0.2574964131038398,0.4747154341551876,0.5252845658448124,-0.04467762495885048
band_upper,4744,2062,0.565345699831366,2062,1525.6711341606667,2521.967458631535,0.5224988656987296,0.5224988656987296,0.02126826567049654
std_close,4744,2062,0.565345699831366,2062,8.738033171298007,16.288530270578427,0.5219855943738657,0.5219855943738657,-0.005859081167911369
ma_close,4744,2062,0.565345699831366,2062,1512.5640844037198,2501.188739347609,0.5218768905021174,0.5218768905021174,0.021502186863352063
atr_14_pct,4744,1169,0.7535834738617201,1169,0.005232679465241035,0.0016913479857575,0.47837135228816335,0.5216286477118366,-0.013050763301010094
close,4744,2062,0.565345699831366,1729,1510.4754025218235,2499.0368597698334,0.5215030437084089,0.5215030437084089,0.02215089798560258
high,4744,2062,0.565345699831366,1648,1514.1616828322017,2504.8277696694836,0.5210115131578947,0.5210115131578947,0.022000508483874255
low,4744,2062,0.565345699831366,1681,1506.792279340446,2493.209000952059,0.5209127344222626,0.5209127344222626,0.0220763527347727
open,4744,2062,0.565345699831366,1722,1510.7100096993208,2499.2761105410586,0.520724629461585,0.520724629461585,0.021996549503045505
band_lower,4744,2062,0.565345699831366,2062,1499.4570346467729,2480.47662360782,0.5205507032667877,0.5205507032667877,0.02173944348928163
v3_U,4744,1656,0.6509274873524452,735,1475.0148765096617,2481.692731498238,0.5198080166420835,0.5198080166420835,0.04669025846781698
v3_L,4744,1656,0.6509274873524452,749,1456.4876141304348,2450.676478820199,0.519137367706601,0.519137367706601,0.046771364564319906
v3_M,4744,1656,0.6509274873524452,1122,1465.751245320048,2466.181131602704,0.5190308571965846,0.5190308571965846,0.04673062232490363
ret_3,4744,1858,0.6083473861720068,1842,-0.0009415842507890184,0.01087456423673585,0.5188536103362583,0.5188536103362583,0.006103249851300093
bar_range,4744,2062,0.565345699831366,772,7.369403491755579,14.334558270082727,0.5174327926497277,0.5174327926497277,0.004640760424979524
dist_from_ma,4744,2062,0.565345699831366,2062,-0.002760540697983574,0.013444712030445796,0.5148725801572898,0.5148725801572898,-0.01282653531708628
bar_body_pct,4744,2062,0.565345699831366,1959,0.002600906611032577,0.006917827026877429,0.48599043405928616,0.5140095659407138,0.018824400313565533
band_pos,4744,2062,0.565345699831366,2062,0.4242558782937004,0.30227212783108176,0.5124593542044767,0.5124593542044767,0.010975741944273056
ret_1,4744,1990,0.5805227655986509,1957,-0.00032739811215785945,0.0064408888672077835,0.5118442184154176,0.5118442184154176,0.00021720264422670556
ret_vol_20,4744,1990,0.5805227655986509,1990,0.0033680410675964705,0.003453959551878869,0.5117803435857504,0.5117803435857504,0.0183263557755409
z_ma,4744,2062,0.565345699831366,2062,-0.0006904790836022177,0.0027452818678092446,0.5109979960677556,0.5109979960677556,0.0030792026208712785
pnl_rel,4744,2062,0.565345699831366,1854,-0.0034536162101980873,0.020886919892117186,0.5101822444041137,0.5101822444041137,-0.016261190969191954
