symbol,trades,pf,win_rate,calmar,total_return,max_drawdown,total_pnl,avg_trade,low_trades,rank_pf,rank_calmar,rank_avg
LKOH,17,3.8437294282598375,0.6470588235294118,6.742065130261077,0.04719445591182758,-0.007000000000000006,44597.7227960608,2623.395458591812,True,1,2,1.5
SNGS,34,2.1294913387807646,0.6470588235294118,6.766553669182167,0.06587800742800987,-0.009735828702290061,63226.69955510335,1859.608810444216,False,3,1,2.0
GMKN,39,2.1439892746641203,0.6052631578947368,5.79544566842339,0.08780721185353957,-0.015151071527071514,80192.5613705649,2110.330562383287,False,2,3,2.5
VKCO,54,1.9608804863499314,0.6346153846153846,5.078551667463532,0.10590477986483937,-0.02085334300000008,101667.92808896939,1955.1524632494113,False,6,4,5.0
MTSS,17,1.9947520748390895,0.7058823529411765,3.0239556078540777,0.03532522437950392,-0.011681793306672295,28128.975753649043,1654.6456325675908,True,5,7,6.0
CHMF,43,1.7806560362849009,0.627906976744186,3.61536647035611,0.0636382020763091,-0.017602144235751793,60133.27457787343,1398.4482459970566,False,8,5,6.5
SBER,16,1.8963960498361039,0.7333333333333333,3.4938565110946067,0.02528179668413366,-0.00723607183175734,25281.796684133576,1685.4531122755716,True,7,6,6.5
ROSN,21,2.0965952323200363,0.75,1.3831770629417186,0.027968058807421592,-0.02022015803814703,31857.358513266256,1592.8679256633127,True,4,10,7.0
OZON,33,1.411338377481296,0.53125,1.4104576210321245,0.02711159467602431,-0.019221842806014244,26417.097582304734,825.5342994470232,False,10,9,9.5
PLZL,30,1.3516864783764928,0.6333333333333333,1.7325850802946943,0.019119717880781595,-0.011035370267375,19242.27135999764,641.4090453332548,False,11,8,9.5
MGNT,22,1.5006592215933157,0.5,1.2256870801710575,0.01543866515755088,-0.012595927139410046,17960.499627046374,816.3863466839261,True,9,11,10.0
GAZP,33,1.1855573386390548,0.5757575757575758,0.884400744207463,0.0204034612549695,-0.023070380015627,13260.637026184726,401.8374856419614,False,13,12,12.5
YNDX,17,1.2387888211526583,0.4117647058823529,0.09371111118898433,0.001990035694954706,-0.02123585634302705,9667.136806823268,568.6551062837216,True,12,14,13.0
NLMK,35,0.9802877917270042,0.5142857142857142,0.24800234610579644,0.005129108118201886,-0.02068169192243785,-1906.7956386255842,-54.47987538930241,False,14,13,13.5
PIKK,47,0.9326170635463019,0.5319148936170213,-0.1578302769797251,-0.0072624050698204545,-0.0460140171378739,-8638.476983585038,-183.7973826294689,False,15,15,15.0
NVTK,39,0.8013046874319749,0.48717948717948717,-0.4895018415121538,-0.02369132673569918,-0.04839885109014641,-19558.862186000883,-501.50928682053546,False,16,17,16.5
TATN,27,0.7531016707517063,0.4444444444444444,-0.25072129253577924,-0.012851192833766345,-0.051256886496516496,-16977.411972000977,-628.7930360000362,True,17,16,16.5
