symbol,trades,pf,win_rate,calmar,total_return,max_drawdown
SNGS,280,1.3818604388422326,0.5304659498207885,4.620778623061714,0.294383473457849,-0.06370862953455914
SBER,123,1.2114767514216365,0.5245901639344263,1.174252056159371,0.060166634125410345,-0.05123826167458245
TATN,199,1.183482109092806,0.5255102040816326,1.9693422566020937,0.09219448101792937,-0.04681485948359321
OZON,245,1.182998165065143,0.512396694214876,1.496722671559639,0.11423662848550342,-0.07632451265434814
GAZP,214,1.178767881410616,0.5330188679245284,1.3998022844140934,0.0949130621335541,-0.06780462011696264
MGNT,223,1.1669815425212096,0.5318181818181819,1.8717009585167954,0.1017180418513397,-0.054345242165150576
ROSN,209,1.124630157028776,0.5528846153846154,1.264549718700163,0.0745893438033638,-0.05898490403369394
MTSS,168,1.110680897683094,0.5389221556886228,0.35134075667980774,0.04029903787409239,-0.11470072033464274
PLZL,259,1.0787489406135153,0.5405405405405406,0.9016928625841886,0.05837479629292486,-0.06473911318941439
NLMK,288,1.0486084317060458,0.4861111111111111,0.4373763217128828,0.04329635799019793,-0.0989910880878
CHMF,284,0.9874827078689395,0.5177304964539007,-0.011264455054597897,-0.0018013421557594445,-0.1599138304541574
VKCO,438,0.9538254887750696,0.47674418604651164,-0.45548358121145666,-0.06367100612052823,-0.13978770859573353
GMKN,255,0.948660175877933,0.5039370078740157,-0.3540277844341419,-0.038622729990732796,-0.1090951944703018
PIKK,375,0.9142670463169404,0.4718498659517426,-0.4548863383734185,-0.0791590478708839,-0.1740194004373502
NVTK,312,0.8950639742552158,0.5129032258064516,-0.6681796945774138,-0.07705750233415976,-0.1153245196756455
YNDX,156,0.7666931527143237,0.42948717948717946,-0.7008710657029873,-0.0968612043992998,-0.13820117442306756
LKOH,136,0.7165959986844828,0.47794117647058826,-0.8789339783118308,-0.10820636518516902,-0.12311091373779981
