symbol,segment,trades,pf,win_rate,calmar,total_return,max_drawdown
CHMF,trend,7,11.45928617517331,0.5714285714285714,14.3727889980253,0.015705905951684196,-0.0010927528368949169
CHMF,nontrend,36,1.5137672085508438,0.6388888888888888,2.383152825040048,0.04194650238662434,-0.01760126415137453
GAZP,trend,6,2.3014493718612203,0.6666666666666666,1.3358197014439475,0.009440744321488781,-0.007067379161487031
GAZP,nontrend,27,1.0604377782992944,0.5555555555555556,0.339459526217068,0.010960381598786872,-0.03228774199071449
GMKN,trend,5,1.6532774091396505,0.5,-0.6462750180796357,-0.00485141166683889,-0.007506729381640875
GMKN,nontrend,34,2.2123217670932704,0.6176470588235294,5.693986524535709,0.08217029644965512,-0.014431066195112807
LKOH,trend,3,53.141141694160304,0.6666666666666666,11.881719056999685,0.002169749467393123,-0.00018261241971673225
LKOH,nontrend,14,3.2585901780074593,0.6428571428571429,5.3288095747611885,0.03757847088249333,-0.00705194478340454
MGNT,trend,5,3.448600922321311,0.6,2.700278769782663,0.0036313588526084573,-0.0013448088742706865
MGNT,nontrend,17,1.3546796421814769,0.47058823529411764,1.3904332197566922,0.01745521796380567,-0.01255379813700086
MTSS,trend,3,inf,1.0,inf,0.0060300176420726714,0.0
MTSS,nontrend,14,1.7367875891869977,0.6428571428571429,2.390893336379957,0.027979609057699584,-0.011702575197295673
NLMK,trend,2,0.0,0.0,-1.0,-0.0038768957390132863,-0.0038768957390132863
NLMK,nontrend,33,1.069006492065825,0.5454545454545454,0.6806110455264518,0.01321363204496473,-0.019414366152027407
NVTK,trend,10,2.504029577989763,0.7,1.290834316889918,0.01566281622359722,-0.012133870333827623
NVTK,nontrend,29,0.5601591831770352,0.41379310344827586,-0.844507366314665,-0.041980321192789605,-0.04970983423861297
OZON,trend,7,23.07958436873919,0.7142857142857143,21.238862831869916,0.025432150489631766,-0.0011974346598006003
OZON,nontrend,26,0.9992319538928316,0.48,0.019421785526728776,0.0006281848568430171,-0.03234434115125473
PIKK,trend,12,0.2305068610176344,0.3333333333333333,-0.9737641742940295,-0.027788818615114175,-0.028537524124114366
PIKK,nontrend,35,1.28800797062507,0.6,0.9285392628124398,0.02593620408444397,-0.027932264281303687
PLZL,trend,1,inf,1.0,0.0,0.0,0.0
PLZL,nontrend,29,1.3494886196335945,0.6206896551724138,2.1288745565584435,0.023495719829830453,-0.011036685913431099
ROSN,trend,5,1.0683526159691954,0.6,-0.35438451000366766,-0.003086861820550957,-0.008710487432193381
ROSN,nontrend,16,2.6380292093944004,0.8,1.4813510098943572,0.027004637281568877,-0.01822973562727359
SBER,trend,0,0.0,0.0,0.0,0.0,0.0
SBER,nontrend,16,1.8963960498361039,0.7333333333333333,3.4938565110946067,0.02528179668413366,-0.00723607183175734
SNGS,trend,2,0.810081422663255,0.5,inf,0.0020200539118335747,0.0
SNGS,nontrend,32,2.1908470537564364,0.65625,5.867054270461885,0.05698394527125106,-0.009712530793884233
TATN,trend,4,0.07475074800096457,0.25,-0.8802640574068864,-0.006944898138922184,-0.007889562319948307
TATN,nontrend,23,0.9064233738715024,0.4782608695652174,-0.026386999463666405,-0.0010728976448228789,-0.04066008514155639
VKCO,trend,6,2.1003795478297778,0.6666666666666666,0.2675154034948304,0.0023556000661058007,-0.008805474508503663
VKCO,nontrend,48,1.947960123558397,0.6304347826086957,3.2490983679324477,0.09599740651177924,-0.029545860309814764
YNDX,trend,5,1.2363985779763702,0.4,-0.3788115427263462,-0.004667962281623694,-0.012322650593030726
YNDX,nontrend,12,1.2398581466572896,0.4166666666666667,0.9339127944079846,0.01013147283928717,-0.010848414220205216
