symbol,side,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_rel,bars_held
ROSN,1,2022-01-03 19:10:00+00:00,2022-01-04 06:50:00+00:00,607.4,610.9,1152.4530786960818,4033.585775436286,0.004033585775436286,70
ROSN,1,2022-01-04 10:50:00+00:00,2022-01-04 19:00:00+00:00,608.15,613.6,1155.6746033754919,6298.426588396484,0.0062731234070542334,49
ROSN,1,2022-01-04 20:40:00+00:00,2022-01-05 06:50:00+00:00,614.4,612.2,1151.0944151280646,-2532.4077132816637,-0.0025065104166665892,61
ROSN,1,2022-01-05 11:20:00+00:00,2022-01-05 19:20:00+00:00,611.2,602.1,1154.2207513995183,-10503.408837735644,-0.010422120418848192,48
ROSN,1,2022-01-06 11:10:00+00:00,2022-01-06 19:10:00+00:00,588.8,598.2,1185.6442545328987,11145.055992609356,0.011175271739130544,48
ROSN,1,2022-01-10 10:10:00+00:00,2022-01-10 18:10:00+00:00,605.9,595.7,1165.058386307637,-11883.595540337818,-0.011784122792539943,48
ROSN,1,2022-01-10 18:20:00+00:00,2022-01-11 06:50:00+00:00,600.5,602.05,1161.6825302007674,1800.6079218111365,0.001806827643630255,75
ROSN,1,2022-01-11 10:10:00+00:00,2022-01-11 18:10:00+00:00,602.85,610.1,1159.2448949669547,8404.525488510422,0.00841834618893589,48
ROSN,1,2022-01-12 10:20:00+00:00,2022-01-12 18:20:00+00:00,611.4,624.85,1152.6561216434181,15503.224836104026,0.015399084069349086,48
ROSN,1,2022-01-13 10:40:00+00:00,2022-01-13 18:40:00+00:00,623.9,598.65,1146.9565798334006,-28960.653640793367,-0.028329860554576054,48
ROSN,1,2022-01-14 10:50:00+00:00,2022-01-14 19:00:00+00:00,603.95,600.65,1151.2770140069595,-3799.2141462230447,-0.0038248199354251966,49
ROSN,1,2022-01-17 10:50:00+00:00,2022-01-17 19:00:00+00:00,604.35,591.75,1146.1145076646762,-14441.042796574946,-0.01459419210722266,49
