symbol,side,entry_time,exit_time,entry_price,exit_price,pnl,pnl_rel,bars_held,entry_reason,exit_reason,entry_atr_pct,entry_slope_pct_per_bar,entry_geo_class,entry_geo_h_pct,entry_dist_L_pct,entry_dist_U_pct,trend
NVTK,-1,2025-08-06 20:10:00+00:00,2025-08-06 20:20:00+00:00,1051.8,1062.318,-6955.94560487784,-0.007,1,v3_short,sl,0.0032519568009748,-0.0001350066552576,A,0.0230081764594027,0.6776859504132225,0.3223140495867774,False
NVTK,-1,2025-08-14 13:20:00+00:00,2025-08-14 15:40:00+00:00,1237.0,1249.37,-6907.2539856437415,-0.007,14,v3_short,sl,0.0032797624970975,,A,0.0147153945666235,0.8681318681318635,0.1318681318681365,False
NVTK,1,2025-08-28 19:20:00+00:00,2025-08-28 20:30:00+00:00,1225.6,1213.3439999999998,-6858.903207744217,-0.007,7,v3_long,sl,0.0031637981563382,3.5900783289817975e-05,A,0.0159921671018276,0.1224489795918303,0.8775510204081697,False
NLMK,-1,2023-02-09 13:20:00+00:00,2023-02-09 14:40:00+00:00,120.22,121.4222,-7000.000000000028,-0.007,8,v3_short,sl,0.0039378813089295,,A,0.0188019966722129,0.8318584070796473,0.1681415929203526,False
NLMK,-1,2023-04-18 13:20:00+00:00,2023-04-18 17:20:00+00:00,134.0,135.34,-6913.441824196614,-0.007,24,v3_short,sl,0.003375473454566,,A,0.0191016266228921,0.8828124999999957,0.1171875000000043,False
NLMK,-1,2023-05-31 13:20:00+00:00,2023-05-31 17:40:00+00:00,145.5,146.955,-7009.970605299642,-0.007,26,v3_short,sl,0.003671562082777,,A,0.0145684442001099,0.8584905660377308,0.1415094339622692,False
NLMK,-1,2024-09-04 13:20:00+00:00,2024-09-04 13:50:00+00:00,129.48,130.7748,-6960.900811062534,-0.007,3,v3_short,sl,0.0045897877223178,,A,0.0214704973741118,0.8129496402877662,0.1870503597122338,False
NLMK,-1,2024-09-27 13:20:00+00:00,2024-09-27 17:50:00+00:00,143.24,144.6724,-6922.332798845268,-0.007,27,v3_short,sl,0.0044958765629156,,A,0.0227653631284917,0.8098159509202452,0.1901840490797548,False
NLMK,-1,2025-04-02 19:50:00+00:00,2025-04-02 21:30:00+00:00,142.34,143.76340000000002,-7072.768352128785,-0.007,10,v3_short,sl,0.0040587021325383,0.0001460674157303,A,0.0150280898876405,0.5514018691588779,0.4485981308411221,False
NLMK,-1,2025-04-16 12:40:00+00:00,2025-04-16 13:10:00+00:00,129.88,131.1788,-7067.141060745853,-0.007,3,v3_short,sl,0.003281645221599,,A,0.0149345650500384,0.8556701030927828,0.1443298969072172,False
NLMK,-1,2025-06-03 19:20:00+00:00,2025-06-04 06:50:00+00:00,118.92,120.48,-9251.100573791986,-0.0091826437941473,69,v3_short,gap_sl,0.0029860581972445,-3.0272452068618706e-05,A,0.0126135216952573,0.9866666666666694,0.0133333333333306,False
MTSS,-1,2025-04-02 19:40:00+00:00,2025-04-02 21:30:00+00:00,221.5,223.715,-7159.519058702015,-0.007,11,v3_short,sl,0.0038817873719885,-2.9332129963900457e-05,A,0.0108303249097473,0.9583333333333358,0.0416666666666642,False
TATN,-1,2023-04-05 13:20:00+00:00,2023-04-05 17:50:00+00:00,383.3,387.133,-6930.132141057594,-0.007,27,v3_short,sl,0.0040344604995282,,A,0.0211157455683003,0.8765432098765435,0.1234567901234564,False
CHMF,-1,2023-02-22 13:20:00+00:00,2023-02-22 17:00:00+00:00,1017.4,1027.574,-7062.838309204274,-0.007,22,v3_short,sl,0.0039588948787061,,A,0.0157232704402515,0.8374999999999986,0.1625000000000014,False
CHMF,-1,2023-11-03 13:20:00+00:00,2023-11-03 20:00:00+00:00,1360.2,1373.802,-7092.71684039169,-0.007,40,v3_short,sl,0.0032422969187675,,A,0.0176470588235294,0.8000000000000019,0.1999999999999981,False
CHMF,-1,2025-02-21 21:00:00+00:00,2025-02-21 23:10:00+00:00,1372.0,1385.72,-7232.0029957323695,-0.007,13,v3_short,sl,0.003918581574633,-2.9158769499930417e-05,A,0.0125382708849686,0.8372093023255844,0.1627906976744155,False
CHMF,-1,2025-02-24 19:30:00+00:00,2025-02-24 22:50:00+00:00,1404.4,1418.4440000000002,-7181.378974762279,-0.007,20,v3_short,sl,0.0036823045937258,-8.117345485616374e-05,A,0.0169467388208487,0.7983193277310939,0.201680672268906,False
CHMF,1,2025-05-29 19:20:00+00:00,2025-05-29 21:20:00+00:00,992.2,982.278,-7375.972519349236,-0.007,12,v3_long,sl,0.0032416110971701,0.0001894779278371,A,0.0139084861922998,0.1594202898550762,0.8405797101449237,False
CHMF,-1,2025-05-30 12:30:00+00:00,2025-05-30 14:10:00+00:00,993.6,1003.536,-7324.340711713799,-0.007,10,v3_short,sl,0.0032212603180994,,A,0.0118783974229917,0.7966101694915265,0.2033898305084734,False
SNGS,-1,2023-10-04 13:20:00+00:00,2023-10-04 14:30:00+00:00,33.785,34.12285,-7072.49688598935,-0.007,7,v3_short,sl,0.0057929343115076,,A,0.0210152434512357,0.8732394366197137,0.1267605633802863,False
SNGS,-1,2024-07-03 13:20:00+00:00,2024-07-03 15:30:00+00:00,30.065,30.36565,-7106.336611490162,-0.007,13,v3_short,sl,0.003931266248177,,A,0.0141478029294274,0.7764705882352971,0.2235294117647028,False
SNGS,-1,2024-11-01 13:20:00+00:00,2024-11-01 19:20:00+00:00,22.745,22.97245,-7238.823588921892,-0.007,36,v3_short,sl,0.005066524301521,,A,0.0206638821719058,0.7446808510638346,0.2553191489361653,False
SNGS,-1,2025-04-18 10:20:00+00:00,2025-04-18 11:00:00+00:00,23.6,23.836,-7281.845741583985,-0.007,4,v3_short,sl,0.0032082324455205,-0.0001949152542372,A,0.0129237288135593,0.7213114754098446,0.2786885245901553,False
PIKK,-1,2025-02-03 19:50:00+00:00,2025-02-03 21:00:00+00:00,678.6,685.3860000000001,-7035.49557844142,-0.007,7,v3_short,sl,0.0035577449370552,-0.0002077807250221,A,0.0153256704980842,0.9230769230769272,0.0769230769230727,False
PIKK,-1,2025-03-03 20:30:00+00:00,2025-03-03 22:20:00+00:00,632.6,638.926,-7048.369922355267,-0.007,11,v3_short,sl,0.0043644351680065,-0.0001830808080808,A,0.0167297979797978,0.5566037735849083,0.4433962264150917,False
PIKK,-1,2025-04-17 21:00:00+00:00,2025-04-17 21:00:00+00:00,435.8,440.158,-7041.864070766258,-0.007,0,v3_short,sl,0.0037565634470451,2.9837043837501824e-05,A,0.0213449621299057,0.8279569892473146,0.1720430107526853,False
PIKK,-1,2025-05-12 20:20:00+00:00,2025-05-13 06:50:00+00:00,499.6,504.8,-7431.738773500317,-0.0072858286629303,63,v3_short,gap_sl,0.0040440515677848,8.406725380304334e-05,A,0.0156124899919936,0.6923076923076956,0.3076923076923043,False
PIKK,1,2025-07-11 19:30:00+00:00,2025-07-11 21:10:00+00:00,622.0,615.78,-6986.477747906755,-0.007,10,v3_long,sl,0.0041439727016208,-0.0003102893890675,A,0.0139871382636654,0.6781609195402326,0.3218390804597674,True
PIKK,-1,2025-08-06 20:10:00+00:00,2025-08-06 20:20:00+00:00,624.8,631.048,-6907.345163301214,-0.007,1,v3_short,sl,0.0033093435869625,-2.5612293901074696e-05,A,0.0193692972626861,0.826446280991734,0.173553719008266,False
PIKK,1,2025-10-02 20:00:00+00:00,2025-10-02 21:00:00+00:00,524.9,519.651,-6881.1745727085945,-0.007,6,v3_long,sl,0.00374804141508,0.0002933892169937,A,0.016003048199657,0.0833333333333254,0.9166666666666744,True
PLZL,-1,2022-10-27 13:20:00+00:00,2022-10-27 13:50:00+00:00,614.3,620.443,-6999.927263370958,-0.007,3,v3_short,sl,0.0044476988582431,,A,0.0208282483117727,0.726562499999999,0.273437500000001,False
PLZL,-1,2024-04-25 13:20:00+00:00,2024-04-25 17:30:00+00:00,1351.15,1364.6615000000002,-7023.666222329896,-0.007,25,v3_short,sl,0.0032463529171378,,A,0.0172375527114005,0.8605150214592285,0.1394849785407714,False
PLZL,1,2025-02-27 19:30:00+00:00,2025-02-27 23:40:00+00:00,1923.9,1904.661,-7061.5184134151405,-0.007,25,v3_long,sl,0.0037024738678545,-0.0001772625669283,A,0.0134636377813588,0.1505791505791535,0.8494208494208464,False
PLZL,-1,2025-10-16 13:10:00+00:00,2025-10-16 16:20:00+00:00,2213.4,2235.534,-7213.411575529454,-0.007,19,v3_short,sl,0.0040827876141968,,A,0.0168970814132104,0.8930481283422462,0.1069518716577537,False
MGNT,1,2025-02-27 19:30:00+00:00,2025-02-27 23:10:00+00:00,5067.0,5016.33,-7055.998917209514,-0.007,22,v3_long,sl,0.0040800215882682,-0.0001638050128281,A,0.0217090980856522,0.1727272727272727,0.8272727272727273,False
