symbol,n_bars_test,f1_test,precision_test,recall_test,auc_test,target_rate_test,trades_full,pf_full,win_rate_full,calmar_full,total_return_full,max_drawdown_full
LKOH,49,0.8955223880597014,0.8571428571428571,0.9375,0.3088235294117647,0.6530612244897959,11,0.6226105419821271,0.45454545454545453,-1.0,-0.023247486184883037,-0.023247486184883037
SBER,49,0.888888888888889,0.8484848484848485,0.9333333333333333,0.22280701754385965,0.6122448979591837,5,0.010565933251336519,0.2,-0.9743528821877937,-0.017036447585191294,-0.017484884477313778
PIKK,49,0.8679245283018868,0.8518518518518519,0.8846153846153846,0.18227424749163879,0.5306122448979592,37,1.4352257017140493,0.5945945945945946,1.8582372540627825,0.08888988952725052,-0.047835597598156476
NLMK,49,0.8571428571428572,0.7894736842105263,0.9375,0.11553030303030302,0.32653061224489793,21,0.7876804894223647,0.42857142857142855,-0.48071202694297327,-0.01824816736760404,-0.03796070483955005
NVTK,135,0.8333333333333334,0.9375,0.75,0.02217391304347826,0.14814814814814814,11,0.3875422802856397,0.45454545454545453,-1.0,-0.07299830723231737,-0.07299830723231737
OZON,49,0.7931034482758621,0.8846153846153846,0.71875,0.35661764705882354,0.6530612244897959,4,0.012439549353243425,0.25,-1.0,-0.11137360952780384,-0.11137360952780384
MTSS,49,0.7924528301886793,0.9130434782608695,0.7,0.8368421052631579,0.6122448979591837,7,0.2511806182856799,0.2857142857142857,-0.829026570332832,-0.02342168843027992,-0.02825203590383929
GAZP,49,0.7741935483870969,0.8,0.75,0.3352272727272727,0.32653061224489793,34,0.40169672741649093,0.5,-0.9833385571436808,-0.22696430381399435,-0.23080993027799213
GMKN,49,0.7719298245614035,0.6666666666666666,0.9166666666666666,0.27666666666666667,0.4897959183673469,10,0.39165981004008193,0.4,-0.7645817039092044,-0.026600126180452044,-0.03479042991017067
MGNT,49,0.7647058823529411,0.7222222222222222,0.8125,0.6647727272727273,0.32653061224489793,13,0.6033199804961181,0.5384615384615384,-0.7806231857500301,-0.05223093894899311,-0.0669092846618553
YNDX,49,0.7037037037037037,0.5428571428571428,1.0,0.14736842105263157,0.3877551020408163,3,0.0,0.0,-1.0,-0.040665743518647046,-0.040665743518647046
SNGS,49,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.4816053511705686,0.5306122448979592,15,0.5959574840089776,0.5333333333333333,-0.9144542529160314,-0.05694309411427578,-0.062270030384455444
TATN,49,0.6153846153846153,0.47058823529411764,0.8888888888888888,0.2956989247311828,0.3673469387755102,8,0.7198974513033798,0.375,-0.3555300661472252,-0.009415168288376186,-0.02648205928237124
PLZL,49,0.358974358974359,0.875,0.22580645161290322,0.7258064516129032,0.6326530612244898,3,0.0,0.0,-1.0,-0.02659205304786405,-0.02659205304786405
VKCO,144,0.3157894736842105,0.375,0.2727272727272727,0.016404647983595352,0.0763888888888889,6,0.02462951677573759,0.3333333333333333,-1.0,-0.14126652883835966,-0.14126652883835966
ROSN,141,0.18181818181818182,0.125,0.3333333333333333,0.014492753623188406,0.02127659574468085,12,0.5638324895690295,0.4166666666666667,-1.0,-0.054335990159899095,-0.054335990159899095
CHMF,128,0.0,0.0,0.0,,0.0,23,1.3353154638708815,0.5217391304347826,1.2697150287779342,0.03943796100948971,-0.031060482167756698
