symbol,n_bars,f1,precision,recall,auc,target_rate,trades,pf,win_rate,calmar,total_return,max_drawdown
MTSS,76,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.06382978723404255,0.3815789473684211,1,0.0,0.0,0.0,0.0,0.0
NVTK,50,0.9629629629629629,0.9512195121951219,0.975,0.2125,0.8,1,0.0,0.0,0.0,0.0,0.0
SBER,49,0.942528735632184,0.9534883720930233,0.9318181818181818,0.4090909090909091,0.8979591836734694,1,0.0,0.0,0.0,0.0,0.0
YNDX,66,0.9302325581395349,0.8695652173913043,1.0,0.043478260869565216,0.30303030303030304,1,0.0,0.0,0.0,0.0,0.0
MGNT,49,0.9135802469135802,0.8809523809523809,0.9487179487179487,0.22564102564102564,0.7959183673469388,1,0.0,0.0,0.0,0.0,0.0
TATN,49,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.3163265306122449,0.8571428571428571,1,0.0,0.0,0.0,0.0,0.0
CHMF,49,0.9,0.9230769230769231,0.8780487804878049,0.29878048780487804,0.8367346938775511,1,0.0,0.0,0.0,0.0,0.0
PLZL,49,0.8571428571428571,0.8333333333333334,0.8823529411764706,0.13333333333333333,0.6938775510204082,1,0.0,0.0,0.0,0.0,0.0
GAZP,60,0.8275862068965518,0.8,0.8571428571428571,0.043478260869565216,0.23333333333333334,1,0.0,0.0,0.0,0.0,0.0
VKCO,49,0.7462686567164178,0.9259259259259259,0.625,0.3277777777777778,0.8163265306122449,1,0.0,0.0,0.0,0.0,0.0
NLMK,49,0.7323943661971831,0.9285714285714286,0.6046511627906976,0.3333333333333333,0.8775510204081632,1,0.0,0.0,0.0,0.0,0.0
ROSN,50,0.6557377049180327,0.4878048780487805,1.0,0.095,0.4,1,0.0,0.0,0.0,0.0,0.0
PIKK,49,0.6086956521739131,0.5,0.7777777777777778,0.1971326164874552,0.3673469387755102,1,0.0,0.0,0.0,0.0,0.0
GMKN,49,0.6046511627906976,0.8666666666666667,0.4642857142857143,0.33163265306122447,0.5714285714285714,1,0.0,0.0,0.0,0.0,0.0
LKOH,50,0.6,0.42857142857142855,1.0,0.0920138888888889,0.36,1,0.0,0.0,0.0,0.0,0.0
SNGS,49,0.56,0.4375,0.7777777777777778,0.28888888888888886,0.1836734693877551,1,0.0,0.0,0.0,0.0,0.0
OZON,413,0.19999999999999998,0.12,0.6,0.026470588235294117,0.012106537530266344,1,0.0,0.0,0.0,0.0,0.0
