symbol,side,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_rel,bars_held
GMKN,1,2022-01-03 19:10:00+00:00,2022-01-04 06:50:00+00:00,233.34,234.0,2999.914288163195,1979.9434301876986,0.0019799434301876985,70
GMKN,1,2022-01-04 10:30:00+00:00,2022-01-04 18:30:00+00:00,233.92,232.76,2998.4009935068884,-3478.1451524679806,-0.0034712722298221514,48
GMKN,1,2022-01-05 19:20:00+00:00,2022-01-06 06:50:00+00:00,234.32,229.4,2982.892022850818,-14675.828752425989,-0.014697849095254316,69
GMKN,1,2022-01-06 11:30:00+00:00,2022-01-06 19:30:00+00:00,231.6,232.28,2973.567265404601,2022.025740475149,0.0020552677029361172,48
GMKN,1,2022-01-10 18:00:00+00:00,2022-01-11 06:50:00+00:00,234.84,235.1,2938.5692245189834,764.027998374909,0.0007749957417816113,77
GMKN,1,2022-01-11 10:10:00+00:00,2022-01-11 18:10:00+00:00,235.26,237.1,2935.5964306932783,5401.497432475642,0.005474793845107551,48
GMKN,1,2022-01-11 21:00:00+00:00,2022-01-12 06:50:00+00:00,236.92,237.02,2930.9871031894045,293.09871031900707,0.0002954583825764643,59
GMKN,1,2022-01-12 10:10:00+00:00,2022-01-12 18:10:00+00:00,237.0,239.9,2930.8634328474973,8499.503955257758,0.008565400843881871,48
GMKN,1,2022-01-13 14:50:00+00:00,2022-01-13 22:50:00+00:00,228.44,228.48,3066.732123767892,122.66928495069128,0.0001225704780248399,48
GMKN,1,2022-01-13 23:10:00+00:00,2022-01-14 07:10:00+00:00,227.66,228.92,3077.616422968474,3877.7966929402496,0.003874198365984335,48
GMKN,1,2022-01-14 10:10:00+00:00,2022-01-14 18:10:00+00:00,227.9,226.98,3086.2861454061476,-2839.383253773705,-0.0028258007898201453,48
GMKN,1,2022-01-14 19:10:00+00:00,2022-01-17 06:50:00+00:00,225.26,227.0,3113.633331529874,5417.721996862009,0.005407085146053477,358
GMKN,1,2022-01-17 10:50:00+00:00,2022-01-17 19:00:00+00:00,225.1,217.68,3132.694134421248,-23244.590477405618,-0.02307418924922253,49
GMKN,1,2022-01-20 10:10:00+00:00,2022-01-20 18:10:00+00:00,223.24,225.7,3085.908602060737,7591.33516106935,0.0077136713850563775,48
GMKN,1,2022-01-20 22:40:00+00:00,2022-01-21 06:50:00+00:00,223.2,220.0,3110.2695830501234,-9952.86266576036,-0.010035842293906777,49
GMKN,1,2022-01-21 12:10:00+00:00,2022-01-21 20:10:00+00:00,219.8,221.72,3126.684108602162,6003.233488516112,0.006114649681528622,48
GMKN,1,2022-01-21 21:00:00+00:00,2022-01-24 06:50:00+00:00,220.74,221.98,3132.406589257572,3884.1841706793284,0.0039322279604964505,347
GMKN,1,2022-01-24 10:40:00+00:00,2022-01-24 18:40:00+00:00,220.16,210.72,3153.008536665116,-29764.40058611869,-0.030014534883720925,48
GMKN,1,2022-01-24 20:20:00+00:00,2022-01-25 06:50:00+00:00,208.36,212.74,3231.5764975134807,14154.30505910903,0.014714916490689177,63
GMKN,1,2022-01-25 10:10:00+00:00,2022-01-25 18:10:00+00:00,212.38,210.06,3217.060422654135,-7463.580180557571,-0.007646671061305186,48
GMKN,1,2022-01-25 18:20:00+00:00,2022-01-26 06:50:00+00:00,210.2,214.0,3225.5698688720026,12257.165501713647,0.012654614652711744,75
GMKN,1,2022-01-26 10:20:00+00:00,2022-01-26 18:20:00+00:00,211.68,221.24,3243.550653288428,31008.344245437376,0.03161375661375662,48
GMKN,1,2022-01-26 22:40:00+00:00,2022-01-27 06:50:00+00:00,219.6,217.0,3225.4127653000937,-8386.073189780225,-0.008287795992714007,49
GMKN,1,2022-01-27 19:10:00+00:00,2022-01-28 06:50:00+00:00,221.32,221.0,3173.8224834043667,-1015.6231946893757,-0.001012109163202581,70
GMKN,1,2022-01-28 10:10:00+00:00,2022-01-28 18:10:00+00:00,221.58,220.84,3166.889862761855,-2343.4984984438015,-0.002337756115172878,48
