symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final,circuit_breaker_hit,circuit_breaker_time,entry_ai_mode,entry_ai_threshold,entry_ai_top_pct,entry_ai_trend_mode,entry_ai_trend_threshold,entry_ai_trend_top_pct,entry_ai_trend_slope_k,entry_ai_signal_bars,entry_ai_trend_bars,entry_ai_allowed,entry_ai_blocked
SBER,55,16420.624219494428,0.016420624219494428,0.4909090909090909,143698.52411348806,127277.89989399364,1.1290139469080707,-0.036886015731730615,1000000.0,1016420.6242194946,False,,top_pct,0.5332017554092312,0.3,top_pct,0.5275770083185182,0.3,0.00025,298,2542,90,208
GAZP,92,8334.154076949251,0.00833415407694925,0.5108695652173914,264966.2594343818,256632.10535743253,1.0324751030871278,-0.06949327598430376,1000000.0,1008334.1540769489,False,,top_pct,0.537764918776447,0.3,top_pct,0.5125223931309397,0.3,0.00025,548,3849,165,383
LKOH,58,-44384.19858851386,-0.044384198588513855,0.41379310344827586,110324.83255692768,154709.03114544155,0.713111779836638,-0.05074392910962783,1000000.0,955615.8014114859,False,,top_pct,0.545186562184751,0.3,top_pct,0.5344889128000766,0.3,0.00025,397,2442,120,277
GMKN,103,103497.76067527759,0.10349776067527759,0.5728155339805825,338475.40729454305,234977.64661926543,1.4404578995676776,-0.028097231773927693,1000000.0,1103497.7606752785,False,,top_pct,0.5416894757752001,0.3,top_pct,0.5353619816893669,0.3,0.00025,689,3862,207,482
YNDX,58,-37702.196428505486,-0.03770219642850549,0.3793103448275862,140580.42989976634,178282.6263282718,0.7885256841623792,-0.09252368443691475,1000000.0,962297.8035714941,False,,top_pct,0.5438389566615094,0.3,top_pct,0.5396312320798985,0.3,0.00025,318,2396,96,222
ROSN,83,70784.96739374132,0.07078496739374132,0.6385542168674698,261145.46843703836,190360.50104329706,1.3718469273078948,-0.029788247036327747,1000000.0,1070784.9673937415,False,,top_pct,0.5569714034655548,0.3,top_pct,0.5698960307994625,0.3,0.00025,554,3288,167,387
NVTK,139,19552.757291939382,0.019552757291939383,0.5107913669064749,372186.6983086273,352633.9410166879,1.055447746282069,-0.06227505389039626,1000000.0,1019552.7572919398,False,,top_pct,0.5514385938327858,0.3,top_pct,0.5464243061809972,0.3,0.00025,865,4253,260,605
NLMK,115,-11855.423690671842,-0.011855423690671841,0.5043478260869565,286569.9190241729,298425.34271484474,0.9602734017733873,-0.05321211388459815,1000000.0,988144.576309328,False,,top_pct,0.5444795800566529,0.3,top_pct,0.529972390607582,0.3,0.00025,717,4528,216,501
MTSS,59,70651.77675259547,0.07065177675259547,0.5254237288135594,200791.77935479785,130140.00260220237,1.5428905435675766,-0.02939202277715427,1000000.0,1070651.7767525956,False,,top_pct,0.5566193800369093,0.3,top_pct,0.5471449506948275,0.3,0.00025,398,2644,120,278
TATN,84,48650.385850886705,0.048650385850886706,0.5833333333333334,233947.14418224778,185296.75833136108,1.2625538961879006,-0.03384219621181092,1000000.0,1048650.3858508868,False,,top_pct,0.5500166191804376,0.3,top_pct,0.5471289298571639,0.3,0.00025,536,3191,161,375
CHMF,117,24234.903345097828,0.024234903345097827,0.5299145299145299,311973.2389710209,287738.3356259231,1.0842254935977824,-0.05912763754161928,1000000.0,1024234.9033450981,False,,top_pct,0.5565097860963709,0.3,top_pct,0.5638732130058937,0.3,0.00025,792,4464,238,554
SNGS,116,213669.7054467959,0.21366970544679592,0.6120689655172413,440087.1771787274,226417.47173193152,1.943697956753848,-0.040711961940649945,1000000.0,1213669.7054467967,False,,top_pct,0.5401316928302347,0.3,top_pct,0.5324387102221352,0.3,0.00025,656,3528,197,459
PIKK,163,-79064.29327454614,-0.07906429327454614,0.44171779141104295,354865.3597013904,433929.65297593654,0.8177946753988471,-0.10239566789714354,1000000.0,920935.706725454,False,,top_pct,0.5321787367217662,0.3,top_pct,0.5424937352518492,0.3,0.00025,1164,6361,349,815
PLZL,102,24345.77886610997,0.02434577886610997,0.5490196078431373,269942.6150495397,245596.83618342975,1.0991290410920715,-0.05671308111894692,1000000.0,1024345.7788661101,False,,top_pct,0.5513293009303386,0.3,top_pct,0.5274141019183771,0.3,0.00025,738,3944,222,516
MGNT,83,29511.502960665614,0.029511502960665615,0.5421686746987951,231825.82491043067,202314.32194976506,1.145869569075754,-0.04970235182106532,1000000.0,1029511.502960665,False,,top_pct,0.5389669057489431,0.3,top_pct,0.5172773310731887,0.3,0.00025,542,3629,163,379
VKCO,182,82353.15509030086,0.08235315509030086,0.5,544825.5847663855,462472.4296760846,1.1780714909815944,-0.05384665857943664,1000000.0,1082353.1550903015,False,,top_pct,0.5368486875444787,0.3,top_pct,0.5341650819757783,0.3,0.00025,1361,5847,408,953
OZON,99,14685.67690273495,0.01468567690273495,0.48484848484848486,253641.36137043958,238955.68446770462,1.0614577424071272,-0.045040249561820754,1000000.0,1014685.676902735,False,,top_pct,0.5409542914724351,0.3,top_pct,0.5136071269469833,0.3,0.00025,539,4099,162,377
