symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final,circuit_breaker_hit,circuit_breaker_time
SBER,123,76515.06113563433,0.07651506113563433,0.5203252032520326,363245.81035854266,286730.74922290834,1.2668533505492656,-0.05540210492072296,1000000.0,1076515.0611356334,True,2022-02-11 21:30:00+00:00
GAZP,216,67827.66224460863,0.06782766224460862,0.5092592592592593,639124.456421909,571296.7941773004,1.118725788304631,-0.08715880052947501,1000000.0,1067827.6622446086,False,
LKOH,136,-80129.5014760335,-0.08012950147603351,0.47794117647058826,280587.7303248286,360717.23180086206,0.7778606220834222,-0.10490182949047984,1000000.0,919870.4985239665,True,2025-04-08 19:50:00+00:00
GMKN,257,-34956.91657330561,-0.03495691657330561,0.5058365758754864,649373.9890531406,684330.9056264462,0.9489181092277199,-0.11701822023158909,1000000.0,965043.0834266945,False,
YNDX,156,-116690.28582635416,-0.11669028582635416,0.4230769230769231,336825.42616941006,453515.7119957642,0.7426984716519721,-0.14658176681710153,1000000.0,883309.714173646,False,
ROSN,210,65926.43371439204,0.06592643371439204,0.5571428571428572,606697.0190084457,540770.5852940537,1.1219120187140788,-0.05898490403369394,1000000.0,1065926.433714391,True,2022-01-21 12:20:00+00:00
NVTK,314,-91462.01807001585,-0.09146201807001585,0.5095541401273885,734915.3795947465,826377.3976647625,0.889321733231722,-0.1289257902013735,1000000.0,908537.9819299853,True,2025-02-12 20:00:00+00:00
NLMK,289,8621.207766378478,0.008621207766378479,0.4809688581314879,770040.1756181789,761418.9678518004,1.0113225545072795,-0.11659963762294828,1000000.0,1008621.2077663792,False,
MTSS,168,51303.29577246792,0.05130329577246792,0.5297619047619048,515406.7241633827,464103.4283909148,1.1105428071288779,-0.11654218177483043,1000000.0,1051303.2957724684,False,
TATN,199,98450.58540455901,0.098450585404559,0.5175879396984925,566214.8488552251,467764.2634506661,1.2104705149519024,-0.049665977228622614,1000000.0,1098450.585404559,False,
CHMF,285,-22458.9968969594,-0.0224589968969594,0.5017543859649123,687258.2593780082,709717.2562749676,0.9683550080001746,-0.16706062100246225,1000000.0,977541.0031030409,False,
SNGS,285,276003.8355149558,0.27600383551495583,0.5368421052631579,1076895.7088464964,800891.8733315405,1.344620596993747,-0.06850241123784229,1000000.0,1276003.8355149555,False,
PIKK,379,-84001.24930235506,-0.08400124930235506,0.46437994722955145,935636.4878814032,1019637.7371837583,0.9176165747509829,-0.17631311939671898,1000000.0,915998.750697645,True,2025-07-18 21:00:00+00:00
PLZL,259,32959.78906194764,0.03295978906194764,0.5366795366795367,700312.2539643643,667352.4649024166,1.0493888773854567,-0.07378320042136209,1000000.0,1032959.7890619481,False,
MGNT,225,96441.84839361205,0.09644184839361204,0.5288888888888889,678495.7397447397,582053.8913511276,1.165692300707312,-0.05399641157560943,1000000.0,1096441.8483936123,True,2025-03-05 21:30:00+00:00
VKCO,440,-17418.55596808315,-0.01741855596808315,0.4772727272727273,1183465.513011965,1200884.0689800482,0.9854952227129823,-0.11290988483891351,1000000.0,982581.4440319171,False,
OZON,244,59443.187384072146,0.059443187384072144,0.4959016393442623,744282.8180971169,684839.6307130448,1.086798696684917,-0.1055718567314344,1000000.0,1059443.1873840715,False,
