iter	Logloss
0	0.6924843802
1	0.6916937477
2	0.6909933556
3	0.6904623056
4	0.6884252767
5	0.6878820027
6	0.686017694
7	0.6845671602
8	0.6841482269
9	0.6836145082
10	0.6825019389
11	0.6820989684
12	0.6816965669
13	0.6812468449
14	0.6809448788
15	0.6805791437
16	0.6802769911
17	0.6799672664
18	0.6796809746
19	0.6793902278
20	0.6791088573
21	0.678764213
22	0.678426452
23	0.678098548
24	0.677843126
25	0.6775622132
26	0.6773359609
27	0.6770855848
28	0.6768519516
29	0.6766290528
30	0.6763535807
31	0.6760676156
32	0.6758224123
33	0.6756046641
34	0.6753736957
35	0.6751785668
36	0.6749625257
37	0.6747455261
38	0.6744756495
39	0.6742847834
40	0.6740090076
41	0.6737832629
42	0.6728228933
43	0.6726296295
44	0.6724533404
45	0.6722706387
46	0.6721305974
47	0.6719482879
48	0.6718082859
49	0.6716800562
50	0.6715073705
51	0.6713045023
52	0.6711150859
53	0.6707887161
54	0.6706034641
55	0.6703945112
56	0.6702259082
57	0.6694859516
58	0.6689189904
59	0.6683230894
60	0.6681341701
61	0.667920321
62	0.6677548297
63	0.6675952047
64	0.6674753767
65	0.6672486139
66	0.6671478429
67	0.6669171883
68	0.6667196104
69	0.6665446893
70	0.666424782
71	0.6662362625
72	0.6661224581
73	0.6659708127
74	0.6658246404
75	0.665740651
76	0.6656213094
77	0.6652719718
78	0.6651556772
79	0.6650438861
80	0.6649148477
81	0.6647256607
82	0.6645549648
83	0.6643929683
84	0.6642857861
85	0.6641328612
86	0.6639722618
87	0.6638216773
88	0.6636302418
89	0.6634298367
90	0.663286199
91	0.6631649738
92	0.6629369886
93	0.6627561612
94	0.6622376969
95	0.6619726306
96	0.6618171389
97	0.6616977595
98	0.6615088548
99	0.6614452016
100	0.6612986211
101	0.66112696
102	0.6609505568
103	0.6608447879
104	0.6607140098
105	0.6606099286
106	0.6604806689
107	0.6602923178
108	0.66012132
109	0.6599590772
110	0.6598680352
111	0.6597686821
112	0.6596656996
113	0.659463052
114	0.6593319284
115	0.6591903954
116	0.6590167492
117	0.6589216408
118	0.6588122576
119	0.6587147969
120	0.6585656159
121	0.6583766706
122	0.6582472275
123	0.658104422
124	0.6579719868
125	0.6576769134
126	0.6576010057
127	0.6574656299
128	0.6573371505
129	0.6572652087
130	0.6571227653
131	0.6569675361
132	0.6568217449
133	0.656681534
134	0.6565910939
135	0.6561751985
136	0.6560308961
137	0.6559041778
138	0.6557807266
139	0.6556424288
140	0.6555263076
141	0.655466838
142	0.6552021339
143	0.6550352527
144	0.6549667542
145	0.6548915541
146	0.6547560824
147	0.6546384045
148	0.6545316719
149	0.6543820508
150	0.6543037125
151	0.6542120271
152	0.6540819409
153	0.6539574206
154	0.6538789624
155	0.6537302627
156	0.6536141555
157	0.6535074574
158	0.6533893404
159	0.6532501191
160	0.6531679633
161	0.652927892
162	0.6527628747
163	0.652652753
164	0.6525922789
165	0.6524784641
166	0.6522843579
167	0.652170626
168	0.6521170203
169	0.6519910094
170	0.6518662422
171	0.651758898
172	0.6515412951
173	0.6514229319
174	0.6513212543
175	0.6512232527
176	0.6509801002
177	0.6508711504
178	0.650678018
179	0.650569214
180	0.6505024644
181	0.650348707
182	0.6502524081
183	0.6501474131
184	0.6499917824
185	0.6499158701
186	0.6498116287
187	0.6496889583
188	0.6492788378
189	0.6492155922
190	0.6490897479
191	0.648975692
192	0.6487980061
193	0.6486533866
194	0.6485236668
195	0.6483743135
196	0.6482683488
197	0.6480728939
198	0.6479947757
199	0.6478861017
200	0.6477563564
201	0.6476882728
202	0.647572197
203	0.6474007742
204	0.6472980623
205	0.64716761
206	0.6470163106
207	0.6468786086
208	0.6466953667
209	0.6465393143
210	0.6464185611
211	0.6462597044
212	0.6460067975
213	0.6458816004
214	0.6457398979
215	0.6456329201
216	0.6454674373
217	0.6453273552
218	0.6452411841
219	0.6450658826
220	0.6449074488
221	0.6447959966
222	0.6445354948
223	0.6443834379
224	0.6442667995
225	0.6441224423
226	0.6437166988
227	0.6435927319
228	0.643470098
229	0.6433825895
230	0.6431722451
231	0.6430641562
232	0.6429086467
233	0.6427064934
234	0.6425009154
235	0.6422624475
236	0.6420899807
237	0.6419469664
238	0.641868739
239	0.6416653704
240	0.6415476215
241	0.6413656228
242	0.6412403147
243	0.6410098539
244	0.640825905
245	0.640694383
246	0.6405236651
247	0.6403720287
248	0.6402156897
249	0.6399620625
250	0.63973824
251	0.6395683947
252	0.6394117525
253	0.63930542
254	0.6390711856
255	0.6389141239
256	0.6386149278
257	0.6384372275
258	0.6381950674
259	0.6380314334
260	0.6378639679
261	0.6377708834
262	0.6375724041
263	0.637336089
264	0.6372106113
265	0.6370445292
266	0.6368841233
267	0.6367245979
268	0.63656096
269	0.6364391072
270	0.6363064929
271	0.636168693
272	0.6360052553
273	0.6358841531
274	0.6356962216
275	0.6355125582
276	0.6353014865
277	0.6351823939
278	0.6350035672
279	0.6348847735
280	0.6346854979
281	0.634547547
282	0.6344755894
283	0.6342896426
284	0.6341309182
285	0.6339540704
286	0.633760262
287	0.6335927337
288	0.6334594865
289	0.6332340022
290	0.6330784511
291	0.6328763535
292	0.6326649974
293	0.6324676653
294	0.6322331933
295	0.6321283185
296	0.6319443077
297	0.6318189064
298	0.631696364
299	0.6315767716
300	0.6313790723
301	0.6311362883
302	0.6310186733
303	0.6308995758
304	0.6307821621
305	0.6306009668
306	0.6303764871
307	0.6301846399
308	0.6300996007
309	0.6299591902
310	0.6297589594
311	0.6295365565
312	0.6293862589
313	0.6292439977
314	0.628987344
315	0.6288672853
316	0.6286745896
317	0.6285016269
318	0.6283618433
319	0.6281513916
320	0.627907684
321	0.6277763702
322	0.6276482417
323	0.6275219891
324	0.6274290558
325	0.6272676368
326	0.6271352969
327	0.6269581314
328	0.626703341
329	0.6265243374
330	0.6263755666
331	0.6261497576
332	0.6259841834
333	0.6257952054
334	0.6256448272
335	0.6254429949
336	0.6253175769
337	0.6252330312
338	0.6250487357
339	0.6248920465
340	0.6247380526
341	0.6244637778
342	0.6243421992
343	0.62423427
344	0.6241259356
345	0.6239919264
346	0.6238423888
347	0.6236326444
348	0.6235101524
349	0.6233029713
350	0.623197545
351	0.6231059553
352	0.6228999072
353	0.6227446721
354	0.6225688658
355	0.622399603
356	0.6222837362
357	0.622201659
358	0.6220476683
359	0.6219057815
360	0.6217190705
361	0.6215612781
362	0.6214282129
363	0.6212817702
364	0.6211309653
365	0.6209869909
366	0.6209143635
367	0.6207244111
368	0.6205652979
369	0.6203856772
370	0.6202469924
371	0.6199744884
372	0.6197877253
373	0.6196578007
374	0.6195862357
375	0.6194856949
376	0.6193912331
377	0.6192428348
378	0.619091939
379	0.618925006
380	0.6187975998
381	0.6186608544
382	0.6185113978
383	0.6183955882
384	0.6182425071
385	0.6180803055
386	0.6179145784
387	0.6177621962
388	0.6176167249
389	0.6174395601
390	0.6173254178
391	0.6170471629
392	0.6168980381
393	0.616656685
394	0.6165327981
395	0.616349196
396	0.6161903614
397	0.6159935186
398	0.6158462871
399	0.6157785993
400	0.6156237397
401	0.6154997998
402	0.6153807395
403	0.6152223971
404	0.6151337118
405	0.6150298561
406	0.6148806184
407	0.6147388331
408	0.61457344
409	0.6144336049
410	0.6142826438
411	0.6141336452
412	0.6139796544
413	0.6138664911
414	0.6137178874
415	0.6136260581
416	0.6135070249
417	0.6133195989
418	0.613218226
419	0.6130852601
420	0.6130087368
421	0.6128954866
422	0.6127907752
423	0.6126490886
424	0.6125258254
425	0.6123406289
426	0.6121524918
427	0.6120017065
428	0.6118258016
429	0.6117368419
430	0.6116086983
431	0.6114534059
432	0.6113583258
433	0.6112078369
434	0.6110324337
435	0.6108798069
436	0.6107260059
437	0.6106072679
438	0.6104628893
439	0.6103662109
440	0.6102501649
441	0.6101690433
442	0.6100168589
443	0.6099121719
444	0.6097307337
445	0.6096487342
446	0.6095399054
447	0.6093942254
448	0.6092687468
449	0.6091988947
450	0.6090342458
451	0.6089257178
452	0.6088355201
453	0.6086957308
454	0.6085830964
455	0.6083919183
456	0.6082056651
457	0.6081167383
458	0.6079709268
459	0.6078261677
460	0.6077298952
461	0.6076263293
462	0.6075034478
463	0.6073108046
464	0.6071429593
465	0.6070514058
466	0.6068913367
467	0.6067767805
468	0.6065856114
469	0.6064751039
470	0.6063855984
471	0.6062511008
472	0.6061640959
473	0.6059921763
474	0.6058420322
475	0.6057442146
476	0.6056020738
477	0.6054406183
